date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,52.8,11.8,25.25,1.4,6.6,-4.0,1.9,7.8,4.0,4.01,3,-1.83,0.08,-0.05,-0.87
1,60.8,13.7,19.44,1.9,4.2,-1.4,5.5,12.4,5.4,2.87,0,-0.83,-0.67,-0.36,-0.95
2,78.7,10.5,6.49,2.1,52.0,4.5,9.7,15.0,8.3,9.92,1,-1.0,-0.94,-0.41,-0.99
3,64.1,13.9,0.01,3.6,41.5,9.8,16.7,23.7,12.1,8.3,0,-0.43,-1.14,-0.38,-1.24
4,61.7,13.8,0.0,4.3,69.2,14.4,21.3,28.2,16.4,9.55,0,-0.28,-0.56,-0.72,-1.52
5,73.7,10.7,0.0,4.4,109.2,21.7,27.0,32.4,24.3,9.43,2,-0.94,-1.2,-1.39,-1.14
6,68.3,10.2,0.0,4.3,85.8,24.4,29.5,34.6,31.6,9.54,1,-1.08,-1.12,-0.99,-0.93
7,58.5,9.1,0.0,3.9,95.3,22.7,27.2,31.8,29.4,10.11,0,-1.23,-1.12,-1.25,-0.72
8,60.2,9.7,0.0,2.9,86.6,16.9,21.7,26.6,20.9,11.15,0,-0.38,-0.85,-1.1,-0.58
9,70.2,9.5,0.0,2.0,46.9,11.7,16.4,21.2,14.8,8.71,0,0.95,-0.42,-0.9,-0.46
10,68.7,7.6,1.72,1.3,78.0,7.2,11.0,14.8,10.5,11.25,0,1.11,-0.64,-0.84,-0.55
11,50.5,9.3,20.27,1.1,12.2,-0.9,3.8,8.5,5.8,5.96,2,0.96,0.01,-0.85,-0.63
12,33.6,11.6,26.09,1.4,4.0,-4.8,1.0,6.8,3.8,3.14,1,-0.96,0.52,-0.75,-0.58
13,51.6,13.0,19.22,1.8,19.1,-1.3,5.2,11.7,5.7,6.14,4,-2.28,-0.5,-1.18,-1.1
14,50.2,14.8,13.65,2.8,1.8,1.6,9.0,16.4,6.6,1.75,0,-1.44,-0.64,-1.06,-1.02
15,62.6,13.7,1.72,3.2,57.4,7.2,14.0,20.9,10.6,9.47,2,-1.62,-1.79,-1.3,-1.13
16,67.2,14.0,0.0,4.2,31.2,13.9,20.9,27.9,15.3,6.44,0,-0.31,-1.3,-1.33,-1.34
17,66.0,11.7,0.0,4.6,120.3,19.8,25.6,31.5,21.6,9.94,0,-0.58,-1.15,-0.93,-1.49
18,71.3,9.6,0.0,4.0,137.6,23.7,28.5,33.3,30.7,11.99,0,0.36,-0.54,-0.25,-0.87
19,64.7,8.5,0.0,3.5,177.4,22.1,26.3,30.6,29.0,13.42,0,0.22,-0.06,-0.22,-1.06
20,61.5,9.9,0.0,2.9,90.1,17.0,21.9,26.9,21.3,11.71,0,0.71,0.04,-0.23,-0.97
21,62.2,10.8,0.0,2.1,47.3,10.4,15.8,21.2,14.1,8.83,0,1.36,0.94,-0.04,-0.69
22,66.4,8.2,6.49,1.3,114.6,4.4,8.5,12.6,8.6,13.31,0,1.57,0.86,-0.06,-0.65
23,43.6,10.5,19.24,1.2,11.8,-0.5,4.8,10.1,6.1,6.17,4,1.48,1.19,-0.12,-0.71
24,20.5,13.7,27.5,1.6,0.0,-6.3,0.6,7.5,2.8,0.0,3,-1.94,0.59,-0.23,-0.71
25,43.7,14.3,22.32,1.9,4.1,-3.5,3.7,10.9,4.4,2.59,0,-1.22,0.79,0.23,-0.71
26,52.1,11.8,8.79,2.4,60.6,3.5,9.4,15.3,8.0,10.69,0,0.57,1.31,0.58,-0.35
27,84.1,8.9,0.11,2.4,82.1,9.3,13.7,18.2,12.1,11.34,0,2.38,1.79,1.69,0.48
28,80.6,8.9,0.0,2.9,209.3,15.2,19.6,24.1,18.9,15.82,1,1.87,1.36,1.5,0.26
29,65.0,11.8,0.0,4.7,63.8,19.9,25.8,31.7,21.7,7.02,0,1.4,1.41,1.79,0.76
30,73.7,8.6,0.0,3.8,184.6,23.1,27.4,31.7,29.1,13.28,0,1.29,2.18,2.25,1.57
31,76.5,7.1,0.0,3.1,301.0,23.1,26.6,30.2,30.5,17.24,0,1.81,2.29,2.33,1.68
32,70.7,7.6,0.0,2.7,119.8,18.4,22.2,26.0,21.4,13.23,3,1.75,1.86,2.09,1.46
33,48.2,13.0,0.06,2.5,2.4,9.5,16.0,22.5,12.4,2.14,1,-0.37,0.93,1.66,1.23
