date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,51.2,11.8,27.23,1.5,5.1,-6.0,-0.1,5.8,2.4,3.91,3,-1.62,0.26,-0.13,-1.05
1,57.0,13.1,21.91,2.0,2.8,-3.1,3.5,10.1,3.6,2.88,0,-0.71,-0.69,-0.39,-1.12
2,77.0,10.5,9.77,2.2,31.1,3.1,8.3,13.6,6.7,8.51,1,-0.68,-0.82,-0.49,-1.05
3,59.9,13.6,0.38,3.8,44.5,8.7,15.5,22.3,9.6,9.53,0,-0.12,-0.71,-0.21,-1.21
4,59.6,13.9,0.0,4.4,61.2,13.1,20.0,27.0,13.3,9.97,0,0.56,0.25,0.27,-1.35
5,78.2,10.2,0.0,4.2,99.7,20.1,25.2,30.3,19.9,11.16,1,0.14,-0.22,-0.18,-0.72
6,70.3,9.8,0.0,4.0,112.7,22.2,27.1,32.0,27.6,12.19,1,-0.33,-0.38,-0.25,-0.73
7,56.3,9.2,0.0,3.8,85.0,20.3,24.9,29.5,25.2,10.73,0,-0.97,-0.51,-0.76,-0.5
8,57.7,9.8,0.0,2.9,80.7,14.9,19.8,24.7,17.3,12.24,0,0.29,0.29,-0.1,0.04
9,78.3,7.2,0.0,1.7,95.8,10.6,14.2,17.8,12.2,13.18,0,1.42,0.61,0.2,0.16
10,65.1,7.5,5.46,1.3,56.6,4.9,8.6,12.4,8.3,11.22,0,1.96,0.2,0.24,0.08
11,44.8,10.2,24.37,1.2,3.5,-3.2,1.9,7.0,4.1,3.12,0,1.13,0.63,0.26,0.07
12,30.2,11.7,28.01,1.3,3.4,-6.9,-1.0,4.9,2.7,3.2,0,-0.32,1.3,0.41,0.18
13,50.5,12.6,21.91,1.8,14.7,-3.1,3.2,9.5,4.1,6.2,3,-1.63,1.24,0.05,-0.26
14,46.4,14.5,17.66,2.8,1.9,0.1,7.3,14.6,4.7,1.69,0,-1.32,-0.39,0.06,-0.29
15,59.9,13.3,3.44,3.4,35.4,6.0,12.6,19.3,8.1,8.39,3,-1.77,-1.73,-0.29,-0.36
16,61.7,14.5,0.0,4.5,20.9,12.5,19.7,27.0,11.8,6.07,0,-0.8,-1.31,-0.66,-0.27
17,63.3,12.2,0.0,4.8,80.9,18.2,24.3,30.4,17.1,10.32,0,-0.89,-1.34,-0.58,-0.47
18,72.2,10.3,0.0,3.9,120.4,21.2,26.3,31.5,26.4,12.61,0,0.69,-0.35,0.46,0.18
19,68.0,8.8,0.0,3.3,187.4,19.8,24.2,28.6,24.7,15.5,0,0.54,0.02,0.52,-0.15
20,59.0,10.3,0.0,2.8,80.5,14.7,19.8,25.0,17.8,12.53,0,1.17,0.32,0.12,-0.0
21,64.6,9.4,0.11,1.9,54.7,9.3,14.0,18.7,11.7,10.79,0,1.32,1.24,0.37,0.39
22,67.3,7.6,11.43,1.2,88.7,2.3,6.1,9.9,6.7,13.74,0,1.77,1.24,0.36,0.4
23,40.8,11.4,24.15,1.3,4.8,-3.0,2.7,8.4,4.4,3.73,3,1.68,1.56,0.24,0.34
24,16.2,12.8,28.48,1.6,0.1,-7.5,-1.1,5.3,1.6,0.03,3,-1.79,0.79,0.11,0.35
25,41.0,14.0,23.92,1.9,1.4,-5.2,1.8,8.8,3.0,1.34,0,-1.01,1.31,0.52,0.36
26,50.0,12.1,12.6,2.5,39.2,2.0,8.0,14.1,6.1,9.46,0,0.93,1.66,0.96,0.69
27,83.4,8.1,0.8,2.4,59.9,8.1,12.1,16.2,9.8,11.04,0,2.65,1.96,1.92,1.26
28,75.5,9.2,0.0,3.1,136.6,13.5,18.1,22.7,15.9,14.41,0,2.05,1.59,1.92,1.04
29,63.9,12.9,0.0,4.8,61.5,18.1,24.5,31.0,18.2,8.86,1,0.88,1.14,1.89,1.02
30,69.7,9.7,0.0,3.9,105.2,21.0,25.8,30.7,25.0,11.65,0,0.56,1.8,2.01,1.68
31,77.5,7.2,0.0,3.0,200.2,21.3,24.9,28.5,26.3,15.95,0,1.1,1.92,2.2,1.84
32,77.6,7.5,0.0,2.4,116.2,16.1,19.8,23.6,18.3,14.76,3,1.21,1.33,1.77,1.35
33,45.8,13.0,1.54,2.4,4.1,7.4,13.9,20.4,10.0,2.95,0,-0.09,0.35,1.25,1.13
34,53.6,11.4,10.93,1.6,19.4,2.5,8.2,13.9,7.2,6.73,0,-1.23,0.5,1.3,1.15
35,40.4,11.7,25.57,1.3,11.5,-4.3,1.6,7.5,3.9,5.28,0,0.47,1.22,1.51,1.24
36,59.6,7.6,25.04,1.1,18.2,-3.8,0.0,3.8,3.6,7.15,0,1.75,0.51,1.73,1.34
37,80.8,6.7,25.89,1.2,19.8,-6.5,-3.1,0.3,2.6,7.12,0,1.73,-0.15,1.72,1.53
38,65.2,9.9,10.78,2.1,26.1,2.7,7.6,12.6,7.0,7.74,0,3.06,2.62,2.2,2.04
39,88.7,7.1,0.0,2.2,129.2,10.3,13.8,17.4,12.3,15.27,0,3.16,3.09,2.01,2.41
40,67.9,9.9,0.0,3.5,124.7,13.7,18.6,23.6,15.1,13.84,1,2.3,2.39,1.99,2.37
41,61.8,13.2,0.0,4.8,37.6,17.3,23.9,30.5,17.2,7.4,0,1.81,2.78,2.7,2.6
42,76.1,8.5,0.0,3.6,230.2,21.7,25.9,30.2,26.3,16.98,0,0.66,2.16,2.25,2.57
43,63.9,8.5,0.0,3.5,115.0,20.6,24.8,29.1,25.8,12.26,0,1.72,2.41,2.37,2.73
44,84.2,6.0,0.0,2.1,148.6,16.2,19.2,22.2,18.5,16.45,0,1.95,2.26,2.84,2.87
45,87.4,5.3,0.0,1.5,121.2,11.7,14.3,17.0,13.1,15.48,1,2.07,1.74,2.91,2.77
46,52.6,10.4,10.43,1.5,11.0,2.7,7.9,13.1,7.1,5.29,0,1.66,2.04,2.86,2.75
47,52.0,9.9,24.15,1.3,5.4,-3.0,2.0,7.0,4.0,4.04,0,-0.68,1.7,2.79,2.84
48,45.3,9.5,24.82,1.3,4.5,-3.6,1.2,6.0,3.6,3.35,0,-0.16,2.07,2.68,2.86
49,63.6,10.0,21.07,1.6,11.9,-2.3,2.7,7.7,4.2,5.55,0,-0.27,1.52,2.55,2.72
50,55.5,13.0,17.13,2.5,24.1,0.3,6.8,13.3,5.0,7.0,0,0.98,0.37,2.34,2.74
51,77.1,10.6,2.1,2.6,63.5,6.9,12.2,17.5,9.7,11.27,3,-0.19,-0.21,1.59,2.23
52,55.2,13.9,0.0,4.5,21.2,13.1,20.0,27.0,13.4,6.16,3,-0.99,-0.95,1.53,2.17
53,63.7,13.8,0.0,5.0,22.9,17.5,24.4,31.3,16.0,5.61,0,-0.33,0.15,1.48,2.43
54,68.0,8.7,0.0,3.9,222.7,21.4,25.7,30.1,25.5,16.45,0,0.08,-0.06,1.31,2.23
55,57.8,10.7,0.0,3.7,105.3,18.6,23.9,29.3,22.8,11.62,3,-0.08,-0.62,0.07,1.78
56,49.6,13.1,0.0,3.3,33.3,13.4,19.9,26.5,15.5,8.22,0,-1.28,-1.11,-0.86,1.87
57,48.2,12.0,0.19,2.3,35.1,9.1,15.1,21.1,11.7,8.73,0,-1.07,-0.58,-0.65,1.97
58,51.2,10.6,9.46,1.6,38.9,3.1,8.4,13.7,7.2,9.26,2,-0.3,-0.21,-0.73,1.9
59,48.9,11.6,25.99,1.5,2.1,-4.7,1.1,6.9,2.7,2.3,2,-0.4,-1.29,-0.8,1.8
60,45.1,11.8,26.19,1.5,2.9,-4.9,1.0,6.9,3.1,2.87,2,-1.63,-1.51,-0.89,1.64
61,45.3,13.5,21.39,2.0,11.2,-2.6,4.2,11.0,4.3,5.53,0,-0.38,-0.56,-0.75,1.65
62,64.6,11.5,12.6,2.2,33.1,2.0,7.7,13.5,6.6,8.58,0,0.17,-0.11,-1.07,1.17
63,68.0,12.3,1.27,3.2,46.6,7.6,13.7,19.9,9.7,9.7,1,0.05,-0.58,-0.84,0.65
64,66.0,11.7,0.0,4.2,40.1,13.6,19.4,25.3,12.5,8.09,0,-0.5,-0.56,-0.57,0.76
65,64.4,12.6,0.0,4.9,54.9,18.6,24.9,31.2,17.2,8.45,0,-0.1,-0.04,-1.03,0.42
66,72.5,9.6,0.0,3.9,174.6,21.6,26.4,31.2,25.8,14.12,3,-0.76,-0.66,-1.4,-0.07
67,56.2,10.0,0.0,4.0,56.7,21.0,26.0,31.0,24.9,8.97,2,-1.21,-1.29,-1.38,-0.92
68,57.7,12.2,0.0,3.0,31.1,12.8,18.9,25.0,14.8,6.99,0,-1.89,-1.42,-1.32,-1.48
69,50.9,12.3,0.83,2.3,35.9,8.1,14.2,20.4,10.2,8.85,1,-1.5,-1.43,-1.48,-1.47
70,42.8,13.0,15.02,1.9,14.2,0.9,7.4,13.9,5.4,5.96,0,-0.9,-1.41,-1.44,-1.48
71,65.1,9.4,26.29,1.3,4.7,-5.0,-0.3,4.4,2.8,3.49,0,-1.1,-1.99,-1.4,-1.48
72,46.2,11.8,28.17,1.5,8.8,-7.1,-1.2,4.7,2.0,4.68,0,0.57,-1.25,-1.18,-1.39
73,57.8,9.0,22.81,1.5,26.2,-4.0,0.5,5.0,3.5,8.15,0,1.94,0.32,-0.99,-1.18
74,60.8,11.3,14.72,2.3,64.8,1.2,6.8,12.5,5.8,11.83,0,2.15,1.21,-0.82,-1.24
75,71.1,10.2,0.8,2.9,63.8,8.1,13.2,18.3,10.1,11.37,0,1.15,1.19,-0.81,-1.09
76,66.8,12.7,0.0,4.2,40.7,14.6,20.9,27.3,14.9,8.19,0,0.33,1.04,-0.68,-0.83
77,65.6,13.1,0.0,4.9,74.5,18.7,25.2,31.8,18.2,9.77,0,0.04,1.1,-0.8,-1.16
78,67.4,8.5,0.0,3.9,164.1,21.7,25.9,30.2,25.9,14.35,0,-0.03,0.51,-0.33,-1.19
79,61.0,8.6,0.0,3.8,102.8,22.5,26.8,31.1,27.4,11.46,0,0.83,0.85,0.91,-0.33
80,72.1,9.6,0.0,2.5,155.4,13.8,18.6,23.4,16.5,16.88,1,0.42,0.32,0.76,-0.41
81,49.4,12.5,1.21,2.3,19.4,7.7,13.9,20.2,10.4,6.61,0,1.62,0.98,1.35,-0.11
82,71.9,7.8,13.47,1.3,85.0,1.5,5.4,9.3,5.9,13.52,1,0.74,0.99,1.32,-0.09
83,17.5,11.2,28.25,1.3,0.2,-7.2,-1.6,4.0,2.2,0.32,0,1.78,1.0,1.34,-0.05
84,57.6,10.1,27.14,1.3,6.4,-5.9,-0.8,4.3,2.7,4.29,2,-1.21,1.33,1.09,-0.07
85,48.6,12.3,26.12,1.8,0.4,-6.8,-0.6,5.6,2.2,0.7,2,-1.54,-0.28,0.65,-0.26
86,57.0,13.1,12.86,2.7,12.7,1.9,8.4,15.0,5.8,4.81,0,-1.25,0.21,0.33,-0.33
87,66.9,13.5,1.6,3.4,39.1,7.3,14.0,20.8,9.3,8.8,0,-0.58,-0.95,0.52,-0.2
88,63.6,12.6,0.0,4.0,53.5,12.9,19.2,25.5,13.5,9.38,4,-1.13,-1.54,-0.02,-0.47
89,50.0,14.1,0.0,5.7,38.2,18.8,25.8,32.9,16.5,6.69,1,-1.31,-1.61,-0.52,-0.82
90,62.2,10.0,0.0,4.2,121.2,20.8,25.8,30.8,24.1,12.47,0,-1.15,-1.27,-0.36,-0.44
91,62.1,8.9,0.0,3.6,114.3,19.5,23.9,28.4,22.7,11.98,0,0.16,-0.5,-0.58,0.26
92,67.4,8.9,0.0,2.7,134.1,15.3,19.7,24.2,17.0,15.74,0,1.14,0.01,0.07,0.56
93,58.2,11.1,1.54,2.1,84.1,7.4,12.9,18.5,10.1,13.09,0,1.37,-0.06,-0.52,0.65
94,52.9,10.8,9.94,1.5,22.7,2.9,8.3,13.7,7.4,7.12,0,1.16,0.64,-0.37,0.72
95,70.7,8.3,18.98,1.2,16.2,-0.4,3.8,8.0,5.2,6.6,0,0.74,1.23,-0.28,0.78
96,59.9,9.3,27.92,1.2,15.0,-6.8,-2.1,2.6,2.6,6.58,0,1.54,1.72,-0.03,0.75
97,72.2,8.1,24.52,1.3,14.6,-5.9,-1.8,2.3,2.8,6.21,0,0.89,1.49,0.17,0.54
98,69.1,11.5,16.33,2.1,14.9,0.6,6.3,12.1,6.0,6.02,0,2.05,1.93,0.84,0.78
99,62.9,10.8,1.17,3.0,110.5,7.7,13.1,18.5,9.8,14.43,1,0.98,1.41,0.65,0.74
100,57.5,12.3,0.0,4.2,31.6,14.3,20.4,26.6,15.6,7.31,3,-0.11,0.26,0.68,0.44
101,57.7,12.8,0.0,5.1,21.3,17.8,24.2,30.6,15.8,5.59,1,-1.7,-0.49,0.67,0.13
102,68.8,9.8,0.0,3.9,106.7,20.6,25.5,30.4,25.4,11.89,3,-1.85,-1.16,0.06,-0.18
103,48.1,11.0,0.0,4.1,68.9,19.4,24.9,30.4,23.6,9.83,0,-0.24,-0.27,0.38,-0.13
104,69.9,8.0,0.0,2.6,163.2,15.7,19.7,23.7,17.7,17.13,2,-0.15,-1.27,-0.26,-0.14
105,47.9,11.4,0.08,2.3,15.6,9.4,15.1,20.8,11.9,5.97,1,0.68,-1.15,-0.38,-0.63
106,46.8,11.8,18.11,1.7,16.4,-0.3,5.6,11.5,4.9,5.95,3,-1.5,-0.85,-0.61,-0.68
107,32.9,13.0,26.87,1.6,0.2,-5.6,0.9,7.4,2.5,0.35,2,-1.55,-0.71,-0.8,-0.76
108,42.2,12.0,28.09,1.5,0.4,-7.0,-1.0,5.0,2.2,0.49,0,-1.42,0.17,-0.89,-0.66
109,60.9,11.1,21.28,1.7,14.1,-2.5,3.1,8.7,4.0,6.14,0,-0.48,-1.51,-0.88,-0.52
110,78.2,10.3,19.5,2.0,14.6,-0.6,4.6,9.8,4.7,6.0,0,0.97,-0.18,-1.22,-0.27
111,66.3,12.3,1.97,3.2,76.7,7.0,13.1,19.3,9.3,12.26,0,1.03,0.42,-0.93,-0.19
112,66.8,11.8,0.0,3.8,58.8,13.5,19.4,25.3,14.8,9.85,0,1.04,0.75,-0.34,0.24
113,64.3,11.2,0.0,4.4,69.5,17.2,22.8,28.4,17.7,9.81,0,0.4,0.76,0.05,0.47
114,62.7,10.2,0.0,4.2,157.5,20.6,25.7,30.8,24.6,13.9,0,-0.1,0.39,0.38,0.33
115,64.4,8.3,0.0,3.6,96.1,20.9,25.0,29.2,25.1,10.71,0,0.08,0.64,-0.1,0.2
116,61.8,9.6,0.0,2.7,109.0,14.2,19.0,23.8,16.9,14.38,0,0.23,0.41,0.28,0.0
117,52.6,11.2,0.33,2.2,54.4,8.8,14.4,20.0,11.1,10.77,2,0.32,0.04,0.17,-0.15
118,47.5,12.4,16.32,1.7,7.6,0.4,6.6,12.8,5.7,4.26,1,-0.45,-0.13,0.26,-0.25
