date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,50.6,11.6,28.91,1.4,3.3,-8.1,-2.3,3.5,1.3,4.24,2,-1.35,0.28,-0.27,-1.1
1,58.6,12.5,23.83,1.8,2.3,-5.1,1.2,7.5,2.4,3.53,0,-0.07,-0.16,-0.43,-1.12
2,78.6,10.0,14.45,2.1,31.0,1.3,6.3,11.3,5.4,9.72,0,-0.08,-0.25,-0.48,-0.92
3,61.3,12.7,2.1,3.4,50.4,6.9,13.2,19.6,8.1,10.98,0,0.24,-0.2,-0.18,-1.06
4,58.8,13.4,0.0,4.0,69.7,10.6,17.3,24.0,11.2,12.52,0,0.58,0.5,0.48,-1.33
5,77.5,9.7,0.0,3.9,96.6,17.5,22.3,27.2,17.1,12.83,1,0.23,0.13,0.3,-0.67
6,67.5,9.1,0.0,3.8,106.3,20.2,24.7,29.3,23.9,14.13,1,-0.23,-0.11,0.0,-0.85
7,57.1,9.3,0.0,3.6,82.3,18.5,23.1,27.8,22.1,13.03,1,-1.08,-0.57,-0.61,-0.75
8,60.0,9.7,0.0,2.7,66.8,12.7,17.5,22.4,14.6,12.92,0,0.5,0.5,0.34,0.09
9,82.2,6.6,0.59,1.6,134.0,8.4,11.7,15.0,10.1,17.9,0,1.44,0.8,0.62,0.26
10,61.9,8.4,11.18,1.3,56.0,2.4,6.6,10.8,6.5,13.96,0,2.36,0.5,0.67,0.23
11,43.1,10.6,26.58,1.2,3.1,-5.3,0.0,5.3,2.8,3.59,0,1.37,0.84,0.68,0.24
12,33.0,11.6,29.37,1.3,3.2,-8.8,-3.0,2.8,1.6,4.17,0,-0.17,1.36,0.74,0.33
13,48.6,12.4,23.38,1.8,10.6,-4.6,1.6,7.8,2.9,7.09,3,-1.8,1.91,0.33,-0.08
14,48.9,14.2,21.52,2.8,1.8,-1.4,5.7,12.8,3.3,1.88,1,-1.43,-0.43,0.24,-0.16
15,63.2,13.2,7.59,3.2,35.7,3.9,10.5,17.1,6.4,8.98,2,-1.79,-1.74,-0.12,-0.25
16,65.3,14.0,0.0,4.0,26.3,9.9,16.9,23.9,9.9,8.11,0,-1.21,-1.61,-0.64,-0.11
17,64.9,12.1,0.0,4.5,62.8,15.9,21.9,28.0,14.5,11.09,0,-1.25,-1.64,-0.63,-0.21
18,72.9,9.5,0.0,3.6,106.9,19.3,24.0,28.8,22.9,14.05,0,0.48,-0.71,0.33,0.26
19,68.3,8.7,0.0,3.2,168.5,17.7,22.0,26.4,21.0,18.09,0,0.62,-0.2,0.66,0.06
20,62.3,10.2,0.0,2.6,95.5,12.1,17.2,22.3,14.8,15.01,0,1.12,0.15,-0.07,0.18
21,69.4,8.6,1.31,1.8,63.1,7.6,11.9,16.2,9.8,12.97,0,1.15,1.02,0.09,0.49
22,66.2,8.0,16.83,1.3,74.7,0.2,4.2,8.2,5.0,15.91,0,1.59,1.23,0.08,0.52
23,42.9,11.5,26.58,1.2,2.6,-5.3,0.5,6.3,3.0,3.44,4,1.53,1.41,-0.05,0.44
24,16.3,13.8,29.98,1.6,0.0,-9.9,-3.0,3.9,0.6,0.0,3,-1.9,0.71,-0.15,0.41
25,39.8,13.8,25.15,1.9,1.1,-6.7,0.2,7.1,1.9,1.69,0,-0.93,1.17,0.29,0.42
26,51.3,12.0,17.39,2.5,39.0,0.2,6.2,12.2,4.6,10.86,0,0.89,1.53,0.72,0.67
27,81.0,8.7,3.78,2.4,61.2,5.8,10.1,14.5,8.1,12.02,0,2.67,2.05,1.73,1.22
28,78.0,9.2,0.0,2.8,129.8,11.4,16.0,20.6,13.7,16.65,1,1.73,1.27,1.66,0.9
29,65.4,12.5,0.0,4.3,41.8,15.4,21.6,27.9,15.5,9.18,1,0.67,0.94,1.71,0.89
30,69.5,9.8,0.0,3.8,103.3,18.6,23.5,28.4,21.3,13.83,0,0.17,1.56,1.76,1.45
31,73.0,8.5,0.0,3.1,165.7,18.6,22.8,27.1,22.4,17.77,0,1.23,1.84,2.15,1.88
32,82.1,7.0,0.0,2.1,147.6,13.8,17.3,20.8,15.6,18.59,3,1.15,1.2,1.63,1.17
33,47.5,12.6,4.45,2.2,9.9,5.5,11.8,18.1,8.3,5.25,0,0.47,0.34,1.24,0.95
34,54.1,10.3,15.02,1.5,27.7,0.9,6.0,11.2,5.6,9.89,0,-0.92,0.77,1.31,1.0
35,42.5,10.8,27.14,1.2,11.5,-5.9,-0.5,4.9,2.7,6.8,0,0.89,1.25,1.47,1.05
36,59.8,8.1,27.32,1.1,8.5,-6.1,-2.0,2.1,2.4,6.72,0,1.73,0.84,1.63,1.12
37,79.2,7.4,26.91,1.3,10.3,-7.9,-4.2,-0.5,1.4,7.07,0,1.39,-0.19,1.62,1.36
