date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,49.0,11.9,26.58,1.4,3.5,-5.3,0.7,6.7,3.1,3.01,3,-1.63,-0.48,-0.65,-1.24
1,52.4,13.6,20.96,2.0,3.1,-2.2,4.6,11.4,4.3,2.69,0,-0.82,-0.73,-0.88,-1.29
2,76.6,10.9,6.93,2.3,21.6,4.3,9.7,15.2,7.4,6.3,1,-0.89,-0.97,-0.93,-1.24
3,58.4,13.9,0.0,4.1,34.6,10.2,17.1,24.1,10.3,7.78,0,-0.38,-0.92,-0.78,-1.39
4,58.8,14.6,0.0,4.7,51.5,14.5,21.8,29.1,14.2,8.1,0,0.59,0.24,-0.01,-1.44
5,75.0,10.3,0.0,4.6,99.8,21.8,26.9,32.1,21.0,10.39,1,0.32,-0.18,-0.37,-0.91
6,68.6,9.8,0.0,4.3,115.6,23.8,28.7,33.6,29.0,11.23,1,-0.08,-0.28,-0.55,-1.05
7,55.2,9.7,0.0,4.0,89.2,21.5,26.3,31.2,26.5,9.85,0,-0.79,-0.33,-0.61,-0.84
8,56.8,10.2,0.0,3.0,80.5,16.1,21.2,26.3,18.5,11.07,0,0.75,0.7,0.24,-0.17
9,76.2,7.2,0.0,1.8,107.9,11.9,15.5,19.1,13.4,13.21,0,1.72,1.04,0.54,-0.03
10,63.9,8.0,3.95,1.3,52.2,5.7,9.7,13.7,9.2,9.66,0,2.21,0.59,0.58,-0.1
11,42.5,10.6,23.68,1.1,2.2,-2.6,2.7,8.0,4.9,2.35,1,1.12,1.0,0.57,-0.13
12,28.5,11.7,27.23,1.3,2.1,-6.0,-0.1,5.8,3.4,2.24,0,-0.47,1.59,0.7,-0.0
13,49.0,12.6,20.74,1.8,11.9,-2.0,4.3,10.6,4.9,5.07,3,-1.71,1.63,0.38,-0.38
14,46.0,14.7,14.45,2.9,0.8,1.3,8.6,16.0,5.4,0.79,1,-1.43,-0.49,0.4,-0.37
15,57.8,14.0,1.72,3.7,25.3,7.2,14.2,21.2,8.7,6.57,3,-1.82,-1.85,0.11,-0.48
16,58.9,15.7,0.0,4.9,19.3,13.6,21.4,29.3,12.6,5.1,0,-0.91,-1.42,-0.38,-0.26
17,59.1,12.9,0.0,5.3,73.8,19.7,26.1,32.6,18.0,9.07,0,-0.64,-1.22,-0.12,-0.31
18,71.0,10.0,0.0,4.1,134.5,22.9,27.9,32.9,27.6,11.87,0,0.68,-0.39,0.65,0.08
19,62.3,9.4,0.0,3.7,166.6,21.0,25.7,30.4,26.0,13.18,0,0.84,0.2,0.86,0.18
20,58.0,11.2,0.0,3.0,103.0,15.7,21.3,26.9,18.8,12.38,0,1.26,0.55,0.29,0.32
21,61.1,9.8,0.0,2.0,49.2,10.3,15.2,20.1,12.6,9.67,0,1.61,1.44,0.53,0.69
22,67.0,7.6,8.74,1.2,80.3,3.4,7.2,11.0,7.6,11.75,0,1.76,1.48,0.51,0.7
23,38.9,11.4,23.21,1.2,3.0,-2.2,3.5,9.2,5.2,2.75,3,1.66,1.63,0.43,0.64
24,15.2,12.7,27.76,1.5,0.0,-6.6,-0.2,6.2,2.4,0.01,3,-1.81,1.16,0.3,0.64
25,40.2,14.2,23.1,1.9,0.5,-4.3,2.8,9.9,3.7,0.52,0,-1.2,1.21,0.63,0.64
26,49.3,12.7,9.77,2.7,31.0,3.1,9.4,15.8,6.8,7.49,0,0.69,1.47,1.09,0.98
27,81.9,8.5,0.08,2.7,50.7,9.4,13.6,17.9,10.5,9.44,0,2.67,1.99,2.06,1.55
28,74.0,9.8,0.0,3.4,132.8,14.9,19.8,24.7,16.8,12.62,0,2.11,1.63,2.12,1.32
29,60.8,13.4,0.0,5.2,56.3,19.6,26.3,33.0,19.1,7.79,1,1.08,1.2,1.93,1.27
30,65.7,10.3,0.0,4.3,110.6,22.3,27.4,32.6,26.3,10.76,0,0.48,1.75,2.06,1.8
31,75.3,8.2,0.0,3.3,181.5,22.4,26.5,30.6,27.6,13.6,0,1.13,2.01,2.24,2.04
