date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,53.0,12.0,25.78,1.4,7.2,-4.5,1.5,7.5,3.8,4.13,3,-1.82,0.25,0.03,-0.81
1,61.9,13.5,20.1,1.9,4.5,-1.7,5.1,11.9,5.1,3.3,0,-0.85,-0.79,-0.29,-0.9
2,79.0,10.3,6.93,2.1,48.6,4.3,9.4,14.6,8.1,9.97,1,-0.93,-0.99,-0.47,-0.91
3,63.3,14.0,0.08,3.5,44.6,9.4,16.4,23.4,11.9,8.79,0,-0.39,-1.1,-0.38,-1.16
4,61.6,13.7,0.0,4.2,68.4,14.1,20.9,27.8,16.1,9.64,0,-0.45,-0.7,-0.75,-1.55
5,76.0,10.9,0.0,4.3,90.5,21.2,26.6,32.1,23.7,8.9,1,-0.73,-1.03,-1.15,-1.01
6,68.8,10.2,0.0,4.2,116.7,23.8,28.9,34.0,30.9,11.01,2,-1.04,-1.09,-0.87,-0.88
7,57.4,9.1,0.0,3.9,80.7,22.2,26.7,31.3,28.7,9.73,0,-1.09,-1.11,-1.27,-0.69
8,60.8,9.9,0.0,2.9,85.1,16.6,21.5,26.5,20.3,11.58,0,-0.45,-0.77,-1.07,-0.5
9,72.8,8.8,0.0,1.9,56.3,11.5,15.9,20.3,14.4,10.17,0,0.98,-0.34,-0.83,-0.36
10,69.2,7.4,2.1,1.3,72.9,6.9,10.6,14.3,10.3,11.54,0,1.23,-0.44,-0.78,-0.45
11,51.9,9.4,20.77,1.1,10.6,-1.1,3.6,8.3,5.6,5.73,1,0.98,-0.05,-0.76,-0.51
12,33.7,11.6,26.39,1.3,6.4,-5.1,0.7,6.5,3.7,3.84,1,-0.67,0.67,-0.63,-0.45
13,53.0,12.9,20.1,1.7,19.6,-1.7,4.8,11.3,5.5,6.63,4,-2.07,-0.16,-1.04,-0.97
14,49.7,14.6,14.19,2.7,2.3,1.4,8.7,16.0,6.3,2.0,0,-1.3,-0.47,-0.93,-0.98
15,62.4,13.2,1.84,3.1,56.3,7.1,13.7,20.3,10.4,9.73,2,-1.56,-1.63,-1.17,-1.06
16,67.1,13.7,0.0,4.1,32.8,13.8,20.6,27.5,15.0,6.76,0,-0.54,-1.35,-1.2,-1.29
17,67.6,11.6,0.0,4.6,102.0,19.7,25.5,31.3,21.0,9.59,0,-0.82,-1.26,-1.05,-1.42
18,71.2,10.1,0.0,4.0,133.5,23.1,28.1,33.2,30.0,12.18,0,0.47,-0.4,-0.05,-0.65
19,65.2,8.4,0.0,3.5,204.8,21.7,25.9,30.1,28.3,14.76,0,0.39,-0.01,-0.06,-0.99
20,61.5,9.8,0.0,2.9,83.2,16.6,21.5,26.4,20.6,11.84,0,0.93,0.1,-0.13,-0.89
21,64.0,10.2,0.0,2.0,47.1,10.4,15.5,20.6,13.7,9.4,0,1.23,0.95,0.08,-0.56
22,67.4,8.0,7.14,1.2,106.8,4.1,8.1,12.1,8.4,13.69,0,1.56,0.97,0.06,-0.53
23,44.4,10.6,20.01,1.2,10.1,-0.8,4.5,9.8,5.9,5.96,4,1.41,1.31,-0.04,-0.6
24,19.9,13.4,27.41,1.6,0.0,-6.2,0.5,7.2,2.6,0.0,3,-2.03,0.44,-0.18,-0.6
25,44.5,14.6,22.71,1.9,4.4,-3.9,3.4,10.7,4.2,2.99,0,-1.18,0.81,0.3,-0.57
26,52.2,11.6,9.52,2.4,60.9,3.2,9.0,14.8,7.7,11.04,0,0.73,1.37,0.65,-0.21
27,84.0,8.6,0.22,2.3,81.1,9.0,13.3,17.6,11.9,11.71,0,2.38,1.7,1.6,0.49
28,79.0,8.8,0.0,2.9,176.6,14.9,19.3,23.7,18.5,14.84,0,1.79,1.28,1.5,0.35
29,66.1,12.0,0.0,4.7,69.9,19.7,25.7,31.7,21.1,7.75,0,0.93,1.06,1.61,0.54
30,72.8,8.8,0.0,3.9,143.5,22.8,27.2,31.6,28.3,12.18,0,1.11,2.01,2.03,1.48
31,77.1,7.1,0.0,3.1,301.5,22.8,26.3,29.9,29.8,17.8,0,1.58,2.05,2.17,1.62
32,73.1,7.4,0.0,2.6,116.7,18.0,21.7,25.4,20.8,13.71,3,1.72,1.59,1.88,1.35
