date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,43.4,12.5,27.5,1.4,1.7,-6.3,0.0,6.3,3.1,1.16,3,-1.74,-0.84,-0.56,-0.85
1,46.2,14.2,21.6,2.0,2.1,-2.8,4.3,11.4,4.3,2.22,0,-1.17,-0.84,-0.7,-0.91
2,71.8,12.1,8.79,2.5,21.2,3.5,9.5,15.6,7.2,5.8,2,-1.16,-1.3,-0.75,-0.94
3,54.0,14.5,0.02,4.3,24.9,9.7,16.9,24.2,10.1,6.49,1,-0.95,-1.59,-0.87,-1.16
4,55.5,14.8,0.0,5.0,29.8,14.4,21.8,29.2,14.3,5.31,0,0.08,-0.37,-0.15,-1.24
5,72.0,10.8,0.0,4.8,94.1,21.3,26.7,32.1,21.2,9.35,0,0.31,-0.29,-0.8,-0.69
6,67.3,10.2,0.0,4.3,153.6,23.8,28.9,34.0,30.2,12.05,0,0.54,0.01,-0.46,-0.57
7,59.5,9.4,0.0,3.8,135.1,21.6,26.3,31.0,27.7,10.8,0,0.45,0.37,0.03,-0.19
8,54.1,10.5,0.0,3.1,112.5,16.0,21.2,26.5,19.1,11.89,0,1.55,1.28,0.64,0.33
9,72.7,8.5,0.0,1.8,93.0,11.1,15.3,19.6,13.5,11.33,0,2.11,1.73,0.88,0.37
10,60.0,8.2,4.87,1.3,44.5,5.2,9.3,13.4,9.1,8.77,0,2.05,1.4,0.9,0.27
11,42.1,10.1,24.71,1.1,2.1,-3.5,1.6,6.7,4.6,2.29,1,0.8,1.61,0.94,0.21
12,29.6,12.1,28.17,1.2,0.8,-7.1,-1.0,5.1,3.4,0.75,0,-0.33,2.02,1.13,0.39
13,48.7,12.1,21.28,1.7,17.4,-2.5,3.6,9.7,4.8,5.96,3,-1.4,1.43,0.87,0.1
14,44.1,15.2,16.06,3.0,0.6,0.7,8.3,15.9,5.2,0.5,1,-1.24,-0.51,0.95,0.15
15,56.6,14.3,1.84,3.9,20.9,7.1,14.2,21.4,8.6,6.01,4,-2.09,-2.08,0.72,-0.1
16,52.4,16.1,0.0,5.4,10.6,13.7,21.7,29.8,12.2,3.2,0,-1.37,-1.76,0.23,0.06
17,53.2,13.2,0.0,5.5,61.3,19.3,25.9,32.5,18.4,7.64,0,-0.71,-1.18,0.44,-0.2
18,70.5,10.3,0.0,4.2,171.6,22.9,28.0,33.2,28.5,12.85,0,0.88,-0.3,0.94,0.37
19,63.5,9.3,0.0,3.6,192.5,21.1,25.7,30.4,27.3,12.86,0,1.2,0.23,0.8,0.54
20,59.4,10.6,0.0,3.0,88.9,16.0,21.3,26.6,19.5,10.7,0,1.44,0.62,0.34,0.62
21,58.4,10.6,0.06,2.0,46.0,9.5,14.8,20.1,12.7,8.53,0,1.69,1.65,0.58,0.94
22,62.9,8.0,10.19,1.2,73.6,2.8,6.8,10.8,7.5,11.06,0,1.75,1.73,0.56,0.94
