date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,55.1,12.0,26.29,1.4,7.0,-5.0,1.0,7.0,3.0,5.56,3,-1.51,0.7,0.27,-0.6
1,63.9,13.1,21.28,1.8,4.5,-2.5,4.1,10.7,4.2,4.14,0,-0.29,-0.31,0.05,-0.64
2,80.5,10.0,8.79,2.0,46.1,3.5,8.5,13.5,7.3,11.3,1,-0.43,-0.47,-0.17,-0.56
3,63.8,13.1,0.27,3.4,55.8,8.9,15.4,22.0,10.6,11.25,0,0.2,-0.33,0.12,-0.71
4,61.0,13.5,0.0,4.0,90.1,12.9,19.6,26.4,14.2,12.76,0,-0.09,-0.15,0.02,-1.14
5,76.0,10.8,0.0,4.0,81.8,19.1,24.5,29.9,20.7,10.22,0,-0.23,-0.42,-0.11,-0.42
6,68.7,10.0,0.0,4.0,120.3,22.1,27.1,32.1,27.4,13.11,1,-0.82,-0.62,-0.16,-0.47
7,57.8,9.0,0.0,3.8,76.7,21.1,25.6,30.1,25.5,11.35,1,-1.2,-1.03,-1.06,-0.49
8,60.2,10.2,0.0,2.9,68.2,14.9,20.0,25.1,17.6,12.75,0,-0.32,-0.39,-0.56,-0.05
9,80.8,7.2,0.0,1.7,98.2,10.8,14.4,18.0,12.5,15.11,0,0.84,-0.14,-0.32,0.1
10,68.8,8.0,4.13,1.3,60.4,5.6,9.6,13.6,8.7,13.85,0,1.75,-0.2,-0.3,0.05
11,52.4,10.5,22.97,1.2,6.9,-2.0,3.3,8.6,4.6,5.94,1,1.09,0.04,-0.29,0.04
12,38.0,12.5,27.14,1.3,6.0,-5.9,0.4,6.7,3.1,5.17,0,-0.38,0.67,-0.16,0.08
13,54.9,13.7,21.39,1.8,21.2,-2.6,4.3,11.2,4.6,8.44,4,-1.93,0.67,-0.63,-0.46
14,50.6,15.2,16.33,2.7,4.2,0.6,8.2,15.8,5.2,3.43,0,-1.09,-0.3,-0.51,-0.51
15,66.3,12.5,2.24,3.1,65.6,6.8,13.0,19.3,8.9,12.03,2,-1.53,-1.52,-0.97,-0.62
16,67.2,13.0,0.0,3.9,35.0,12.9,19.4,25.9,13.1,8.4,0,-1.03,-1.56,-1.22,-0.86
17,68.0,12.0,0.0,4.4,68.3,18.1,24.1,30.1,18.2,9.99,1,-1.6,-1.72,-1.4,-1.04
18,71.7,10.5,0.0,3.9,96.7,21.2,26.4,31.7,26.4,11.97,0,-0.09,-0.98,-0.49,-0.45
19,69.1,8.5,0.0,3.3,167.4,20.2,24.4,28.7,24.7,16.25,0,-0.01,-0.58,-0.3,-0.99
20,61.6,10.0,0.0,2.7,85.0,14.7,19.7,24.7,17.9,14.25,0,0.65,-0.53,-0.62,-0.91
21,70.8,9.3,0.01,1.8,54.6,9.8,14.4,19.1,12.2,11.93,0,0.84,0.36,-0.44,-0.59
22,68.6,8.3,9.22,1.3,83.4,3.2,7.3,11.5,7.0,16.08,0,1.3,0.55,-0.47,-0.58
23,45.9,11.7,22.73,1.3,6.1,-1.9,4.0,9.9,4.8,5.77,4,1.21,0.92,-0.59,-0.67
24,21.5,14.5,28.17,1.6,0.0,-7.1,0.2,7.5,2.1,0.0,3,-2.45,0.13,-0.73,-0.68
25,46.4,15.2,23.38,1.9,3.7,-4.6,3.0,10.6,3.5,3.14,0,-1.1,0.59,-0.26,-0.69
26,53.4,12.1,11.55,2.4,54.9,2.4,8.4,14.5,6.4,12.25,0,0.77,1.27,0.0,-0.38
27,84.0,8.1,0.57,2.3,76.3,8.4,12.4,16.5,10.4,13.06,0,2.6,1.82,1.22,0.26
28,80.1,8.7,0.0,2.8,163.1,13.8,18.1,22.5,16.5,16.68,2,1.71,1.15,1.14,0.04
29,67.1,12.5,0.0,4.3,48.2,17.7,23.9,30.2,18.8,8.39,0,0.68,0.88,1.27,0.05
30,72.3,9.4,0.0,3.8,113.0,21.0,25.7,30.4,24.7,12.83,0,0.45,1.69,1.53,0.85
31,76.2,7.5,0.0,3.1,207.3,21.3,25.0,28.8,26.0,17.79,0,1.25,1.76,1.9,1.27
32,79.5,6.9,0.0,2.3,137.1,16.4,19.8,23.3,18.7,17.63,3,1.18,1.2,1.5,0.76
33,51.1,11.8,0.45,2.2,11.4,8.6,14.5,20.4,10.8,5.44,0,0.11,0.31,1.09,0.52
34,59.3,10.3,7.14,1.5,26.1,4.1,9.2,14.4,7.8,9.23,0,-1.12,0.73,1.16,0.57
35,47.6,11.6,23.68,1.2,12.9,-2.6,3.2,9.0,4.5,8.08,0,0.49,1.21,1.34,0.64
36,67.8,8.3,24.03,1.1,16.7,-2.9,1.3,5.5,4.0,8.44,0,1.49,0.52,1.56,0.74
37,84.8,6.5,24.77,1.1,19.7,-5.2,-1.9,1.4,2.9,8.16,0,1.28,-0.34,1.51,1.01
38,65.6,10.7,10.02,2.1,37.7,3.0,8.3,13.7,7.4,10.22,0,2.55,2.31,1.87,1.42
39,88.5,7.0,0.0,2.1,128.6,10.7,14.2,17.7,13.0,16.11,0,2.89,2.88,1.8,1.93
40,73.0,9.7,0.0,3.1,150.4,13.3,18.1,23.0,15.7,15.92,1,2.25,2.16,1.89,1.91
41,68.2,11.9,0.0,4.2,58.7,17.4,23.3,29.3,18.0,9.37,0,1.81,2.51,2.36,2.21
42,74.3,8.3,0.0,3.7,228.4,22.0,26.1,30.3,26.0,17.82,0,0.86,2.1,2.09,2.27
43,62.3,8.9,0.0,3.6,133.0,20.8,25.2,29.7,25.5,14.39,0,1.83,2.36,2.34,2.62
44,86.8,5.1,0.0,2.0,179.3,16.7,19.2,21.8,18.7,19.49,0,2.03,2.29,2.77,2.83
45,90.5,4.8,0.0,1.5,150.5,12.3,14.7,17.1,13.5,18.99,1,2.04,1.85,2.74,2.69
46,57.5,10.4,7.82,1.5,13.6,3.8,9.0,14.2,7.6,7.02,0,1.83,2.13,2.71,2.65
47,56.2,10.5,23.09,1.2,6.9,-2.1,3.2,8.5,4.4,6.32,1,-0.83,1.82,2.66,2.71
48,50.9,10.0,23.68,1.3,6.6,-2.6,2.4,7.4,4.2,4.96,0,-0.29,2.02,2.57,2.74
49,70.4,9.7,18.99,1.5,13.1,-1.2,3.7,8.6,4.7,6.7,0,-0.11,1.71,2.46,2.59
50,60.6,12.9,14.72,2.4,42.4,1.2,7.6,14.1,5.7,10.75,0,1.06,0.43,2.37,2.66
51,79.7,10.2,1.49,2.4,82.3,7.4,12.5,17.6,10.5,13.43,2,-0.04,-0.15,1.79,2.24
52,58.5,13.6,0.0,4.0,36.5,12.9,19.7,26.5,14.6,8.43,3,-0.95,-0.84,1.68,2.18
53,67.3,13.4,0.0,4.5,40.2,17.0,23.7,30.4,17.1,7.82,0,-0.08,0.4,1.7,2.39
54,70.2,8.3,0.0,3.7,232.1,21.6,25.7,29.9,26.0,17.81,0,0.65,0.52,1.73,2.37
55,59.7,9.6,0.0,3.6,134.9,19.2,24.0,28.8,22.8,14.59,3,0.41,-0.17,0.52,2.0
56,56.8,11.9,0.0,3.1,37.0,13.9,19.8,25.8,16.1,9.65,0,-0.65,-0.53,-0.35,2.13
57,53.3,11.3,0.02,2.2,60.7,9.7,15.3,21.0,12.4,12.46,0,-0.99,-0.09,-0.19,2.17
58,54.6,10.8,7.59,1.5,34.1,3.9,9.3,14.7,7.8,10.69,1,-0.08,0.33,-0.24,2.1
59,52.2,11.7,25.04,1.4,6.6,-3.8,2.1,8.0,3.3,5.82,2,-0.53,-0.78,-0.29,2.03
60,49.6,12.0,25.04,1.4,3.8,-3.8,2.2,8.2,3.7,4.12,1,-1.34,-1.32,-0.34,1.92
