date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,48.7,11.8,28.98,1.3,3.1,-8.2,-2.3,3.6,1.7,3.55,2,-1.5,-0.02,-0.46,-1.25
1,54.0,12.8,23.56,1.8,1.8,-4.8,1.6,8.0,2.9,2.86,0,-0.17,-0.26,-0.62,-1.27
2,77.4,10.3,12.33,2.1,25.0,2.1,7.2,12.4,5.9,7.8,0,-0.22,-0.45,-0.66,-1.1
3,59.5,13.0,1.17,3.6,44.2,7.7,14.2,20.7,8.5,9.74,0,0.1,-0.37,-0.4,-1.28
4,56.6,14.0,0.0,4.3,60.6,11.6,18.6,25.6,11.7,10.63,0,0.86,0.7,0.51,-1.37
5,73.0,10.2,0.0,4.2,102.4,18.6,23.7,28.8,17.6,12.7,1,0.52,0.3,0.27,-0.77
6,65.7,9.5,0.0,4.1,104.0,21.2,25.9,30.7,24.5,12.68,1,-0.04,0.0,-0.08,-0.95
7,56.2,9.6,0.0,3.8,76.8,19.5,24.3,29.1,22.8,11.22,0,-0.97,-0.29,-0.39,-0.73
8,57.9,10.1,0.0,2.8,76.9,13.6,18.6,23.7,15.3,12.45,0,0.71,0.8,0.58,0.14
9,80.1,6.9,0.23,1.6,127.4,9.0,12.4,15.9,10.7,16.52,0,1.62,1.07,0.83,0.28
10,60.0,8.5,10.68,1.2,45.8,2.6,6.8,11.1,7.0,10.95,0,2.36,0.62,0.87,0.25
11,40.8,10.6,26.77,1.1,1.8,-5.5,-0.2,5.1,3.2,2.64,0,1.24,0.96,0.88,0.26
12,31.7,11.7,29.43,1.2,3.0,-8.9,-3.0,2.9,2.0,3.44,0,-0.18,1.55,0.95,0.35
13,47.0,12.7,23.19,1.7,8.3,-4.4,2.0,8.4,3.3,5.86,3,-1.72,1.99,0.58,-0.04
14,47.4,14.5,20.27,2.8,1.3,-0.9,6.4,13.7,3.7,1.25,1,-1.46,-0.56,0.47,-0.12
15,60.8,13.5,5.66,3.3,26.0,4.8,11.5,18.3,6.8,7.27,2,-1.83,-1.79,0.17,-0.19
16,61.0,14.6,0.0,4.3,22.1,11.0,18.3,25.6,10.4,6.75,0,-1.25,-1.62,-0.5,0.0
17,59.4,12.6,0.0,4.9,58.1,17.0,23.3,29.6,14.9,10.0,0,-1.09,-1.56,-0.37,-0.08
18,71.7,9.8,0.0,3.8,109.5,20.3,25.2,30.1,23.5,12.92,0,0.73,-0.45,0.7,0.42
19,62.7,9.0,0.0,3.5,175.0,18.7,23.2,27.7,21.7,16.45,0,0.89,0.06,0.92,0.38
20,60.1,10.6,0.0,2.7,94.6,13.0,18.3,23.6,15.5,13.64,0,1.33,0.45,0.19,0.49
21,65.8,8.8,0.74,1.8,59.8,8.2,12.6,17.0,10.3,11.9,0,1.27,1.27,0.37,0.79
22,65.3,8.1,16.32,1.2,66.3,0.4,4.4,8.5,5.6,12.95,0,1.67,1.46,0.37,0.82
23,41.0,11.4,26.68,1.1,2.2,-5.4,0.3,6.0,3.4,2.96,4,1.51,1.59,0.23,0.74
24,15.5,13.8,29.98,1.5,0.0,-9.9,-3.0,3.9,1.0,0.0,3,-2.05,0.83,0.1,0.71
25,38.9,14.1,24.99,1.9,0.7,-6.5,0.6,7.7,2.3,0.99,0,-1.12,1.19,0.5,0.7
26,49.6,12.3,15.52,2.5,32.0,0.9,7.0,13.2,5.1,8.78,0,0.82,1.45,0.93,0.95
27,79.2,9.0,2.51,2.5,53.3,6.6,11.1,15.6,8.5,10.65,0,2.77,2.12,1.89,1.47
28,75.0,9.7,0.0,3.1,125.4,12.4,17.2,22.1,14.2,14.91,0,2.0,1.53,1.87,1.18
29,61.0,13.0,0.0,4.7,49.9,16.5,23.0,29.5,16.0,9.07,1,0.82,1.02,1.8,1.09
30,65.7,10.2,0.0,4.1,89.2,19.7,24.8,29.9,21.9,11.61,0,0.09,1.55,1.76,1.59
31,71.0,8.8,0.0,3.3,152.9,19.6,24.0,28.4,23.2,15.3,0,0.97,1.83,2.11,1.91
32,80.2,7.4,0.0,2.3,134.6,14.7,18.4,22.1,16.3,16.18,3,1.04,1.2,1.59,1.24
33,43.5,13.0,3.73,2.2,8.3,5.9,12.4,18.9,8.7,4.42,0,0.44,0.27,1.22,1.07
34,51.4,10.5,14.76,1.4,24.3,1.0,6.2,11.5,6.1,8.0,0,-0.88,0.54,1.28,1.11
35,39.7,10.7,27.32,1.1,9.8,-6.1,-0.7,4.7,3.1,5.79,0,0.98,1.18,1.45,1.16
36,58.8,8.2,27.32,1.0,9.3,-6.1,-2.0,2.1,2.8,6.01,0,1.83,0.87,1.64,1.24
37,75.6,7.7,26.78,1.2,9.2,-7.7,-3.8,0.1,2.0,6.15,0,1.58,0.02,1.66,1.46
38,64.9,10.4,13.12,2.1,22.3,1.8,7.0,12.2,6.0,7.35,0,2.57,2.44,1.96,1.88
39,84.6,8.4,0.22,2.4,92.2,9.0,13.2,17.4,11.1,13.3,0,3.36,3.36,1.9,2.34
40,70.6,10.0,0.0,3.3,132.6,12.1,17.1,22.1,13.5,15.3,1,2.36,2.47,1.82,2.31
41,61.5,12.7,0.0,4.6,34.8,16.1,22.4,28.8,15.1,8.0,0,2.2,2.86,2.56,2.57
42,73.6,8.3,0.0,3.7,212.3,20.5,24.6,28.8,23.3,17.57,0,1.04,2.35,2.51,2.58
43,59.2,9.4,0.0,3.6,112.6,19.1,23.8,28.5,22.7,13.44,0,2.01,2.6,2.63,2.79
44,83.5,6.3,0.0,2.1,156.0,14.7,17.8,21.0,16.4,17.5,0,1.98,2.53,2.96,2.9
45,82.2,6.3,0.0,1.6,114.1,9.9,13.0,16.2,11.5,16.0,1,2.01,1.97,2.94,2.81
46,52.0,10.4,15.02,1.4,9.2,0.9,6.1,11.3,6.0,5.17,0,1.64,2.26,2.94,2.8
47,45.7,10.3,26.87,1.1,3.3,-5.6,-0.4,4.8,3.1,3.62,0,-0.64,1.78,2.91,2.87
48,43.0,10.8,27.32,1.2,1.3,-6.1,-0.7,4.7,2.9,1.79,0,-0.23,1.97,2.78,2.87
49,60.8,10.7,22.81,1.6,4.6,-4.0,1.4,6.8,3.4,4.44,0,-0.35,1.49,2.69,2.79
50,52.0,12.9,19.24,2.5,23.5,-0.5,6.0,12.5,4.3,7.16,0,1.09,0.53,2.65,2.8
51,75.5,11.2,3.61,2.7,64.3,5.9,11.5,17.1,8.7,11.55,2,0.04,-0.04,1.82,2.3
52,55.5,14.0,0.0,4.3,24.3,11.6,18.6,25.6,12.1,7.01,2,-0.73,-0.76,1.72,2.23
53,60.5,13.5,0.0,4.9,28.6,16.3,23.0,29.8,14.1,6.94,0,-0.67,-0.05,1.46,2.43
54,67.6,9.0,0.0,3.9,163.0,20.3,24.8,29.3,22.7,15.43,1,-0.56,-0.45,1.11,2.3
55,56.3,11.2,0.0,3.9,76.1,17.5,23.1,28.7,19.7,10.79,3,-0.77,-1.1,-0.37,1.8
56,52.8,12.9,0.0,3.1,39.6,12.2,18.6,25.1,13.7,9.39,0,-1.58,-1.59,-1.26,1.89
57,49.0,12.0,1.42,2.1,35.3,7.5,13.5,19.5,10.3,9.2,0,-1.2,-1.18,-1.07,1.91
58,47.6,11.0,14.76,1.5,28.8,1.0,6.5,12.0,5.9,8.64,2,-0.36,-0.86,-1.15,1.84
59,43.6,12.0,28.48,1.3,1.5,-7.5,-1.5,4.5,2.0,2.09,1,-0.35,-1.54,-1.16,1.76
60,41.2,12.4,28.17,1.3,1.7,-7.1,-0.9,5.3,2.5,2.62,1,-1.38,-1.44,-1.18,1.64
61,42.1,13.4,22.62,1.8,6.2,-3.8,2.9,9.6,3.6,5.08,0,-0.33,-0.6,-1.13,1.63
62,63.0,12.0,14.72,2.3,25.1,1.2,7.2,13.2,5.5,7.76,0,0.33,0.05,-1.36,1.31
63,69.1,11.8,2.1,3.1,47.7,6.9,12.8,18.7,8.6,10.04,1,-0.03,-0.44,-1.28,0.65
64,65.4,11.7,0.0,4.0,33.3,12.2,18.0,23.9,11.0,7.86,0,-0.17,-0.26,-0.86,0.83
65,61.8,13.0,0.0,4.9,69.0,17.3,23.8,30.3,14.8,10.83,0,0.9,0.88,-0.59,0.69
66,71.8,9.7,0.0,3.9,195.3,20.5,25.3,30.2,23.0,16.37,2,0.3,0.23,-0.77,0.28
67,58.5,10.0,0.0,3.9,60.9,19.7,24.7,29.7,22.3,10.13,1,-0.26,-0.3,-0.55,-0.6
68,62.9,10.3,0.0,2.8,51.4,12.5,17.6,22.8,13.2,9.77,0,-1.39,-0.47,-0.42,-1.16
69,52.2,11.6,2.45,2.1,43.2,6.7,12.5,18.3,9.0,10.16,1,-1.04,-0.46,-0.62,-1.14
70,40.3,12.9,20.59,1.6,11.2,-1.3,5.2,11.7,4.5,5.72,1,-0.67,-0.52,-0.6,-1.17
71,56.3,10.0,28.09,1.2,1.2,-7.0,-2.0,3.0,2.1,1.83,0,-0.99,-1.53,-0.56,-1.15
72,42.1,11.9,29.55,1.3,6.8,-9.1,-3.1,2.9,1.4,4.81,0,0.58,-0.86,-0.36,-1.06
73,55.9,9.3,24.27,1.4,13.0,-5.6,-0.9,3.8,2.8,7.27,0,2.22,0.72,0.02,-0.79
74,60.9,11.4,17.92,2.2,59.7,0.0,5.7,11.4,4.9,11.68,0,2.37,1.56,0.22,-0.82
75,71.2,10.5,2.66,2.7,59.1,6.5,11.7,17.0,8.9,11.18,0,1.56,1.55,0.37,-0.63
76,66.3,12.2,0.0,3.9,39.2,13.0,19.1,25.2,13.6,8.71,0,0.67,1.4,0.46,-0.29
77,64.1,12.7,0.0,4.7,73.9,17.2,23.5,29.9,15.9,10.98,0,-0.3,1.01,-0.46,-0.68
78,63.9,9.3,0.0,4.1,110.8,20.3,24.9,29.6,23.0,13.01,0,-0.39,0.51,-0.15,-0.61
79,60.5,9.0,0.0,3.8,90.9,21.1,25.6,30.1,24.3,11.43,0,0.53,0.84,1.05,0.38
80,72.8,9.3,0.0,2.4,156.6,12.8,17.4,22.1,14.8,17.59,2,0.43,0.11,0.77,0.23
81,51.9,12.0,2.9,2.1,15.5,6.4,12.4,18.4,9.2,6.39,0,1.43,0.7,1.26,0.49
82,69.9,8.1,18.87,1.2,62.9,-0.6,3.5,7.6,4.8,12.57,1,0.37,0.6,1.25,0.49
83,15.1,11.9,29.77,1.2,0.1,-9.5,-3.5,2.5,1.5,0.2,0,1.66,0.88,1.24,0.51
84,50.3,11.2,29.11,1.2,4.7,-8.4,-2.8,2.8,2.1,4.22,1,-0.76,1.25,1.08,0.52
85,47.1,12.2,26.91,1.6,0.5,-7.9,-1.8,4.3,1.8,0.89,1,-1.02,-0.32,0.62,0.41
86,56.8,13.0,15.79,2.5,10.9,0.8,7.3,13.8,5.3,4.56,0,-0.59,0.57,0.27,0.35
87,63.2,13.7,3.61,3.3,44.3,5.9,12.7,19.6,8.1,9.65,0,-0.28,-0.49,0.44,0.5
88,63.1,12.4,0.0,3.9,49.7,11.6,17.8,24.0,11.9,9.7,4,-0.99,-1.19,-0.2,0.17
89,49.7,13.7,0.0,5.4,30.8,17.4,24.2,31.1,14.5,7.08,2,-1.91,-1.75,-0.64,-0.72
90,58.4,10.5,0.0,4.4,81.4,19.5,24.7,30.0,21.3,11.09,0,-1.75,-1.57,-0.55,-0.46
91,63.4,9.0,0.0,3.5,93.0,18.3,22.8,27.3,20.2,11.91,0,-0.07,-0.66,-0.75,0.25
92,68.5,8.7,0.0,2.6,143.8,13.9,18.2,22.6,15.2,16.9,0,1.33,-0.08,0.16,0.6
93,56.5,10.7,3.22,1.9,92.0,6.2,11.5,16.9,8.9,14.37,0,1.67,-0.02,-0.26,0.72
94,53.0,10.7,14.25,1.4,29.0,1.2,6.5,11.9,6.4,8.74,0,1.52,0.67,-0.17,0.77
95,65.8,9.0,23.91,1.1,7.2,-2.8,1.7,6.2,4.2,5.03,0,0.92,1.42,-0.11,0.8
96,57.1,10.5,29.49,1.1,8.6,-9.0,-3.7,1.6,2.0,5.71,0,1.32,1.85,0.04,0.77
97,72.0,8.8,25.37,1.3,6.3,-7.0,-2.6,1.8,2.3,5.15,0,0.6,1.72,0.16,0.5
98,65.9,12.1,17.13,2.3,14.7,0.3,6.3,12.4,5.1,6.16,0,1.83,1.84,0.68,0.66
99,63.2,11.4,2.66,3.0,94.4,6.5,12.2,17.9,8.7,13.68,2,0.54,0.94,0.42,0.53
100,55.5,13.3,0.0,4.2,23.5,13.0,19.6,26.3,14.1,6.93,4,-0.55,-0.28,0.41,0.13
101,57.0,13.2,0.0,5.0,18.5,16.4,23.0,29.6,13.6,5.9,1,-1.91,-0.68,0.79,0.12
102,65.6,10.4,0.0,4.0,104.4,19.6,24.8,30.0,22.6,12.61,3,-2.1,-1.48,0.13,-0.28
103,46.2,11.5,0.0,4.2,53.4,18.3,24.0,29.8,20.4,9.54,0,-0.41,-0.67,0.16,-0.39
104,71.1,8.6,0.0,2.5,141.8,14.1,18.4,22.7,15.5,16.65,1,-0.47,-1.56,-0.61,-0.33
105,47.7,11.0,0.59,2.1,22.2,8.4,13.9,19.4,10.7,7.59,0,0.58,-1.28,-0.73,-0.7
106,52.6,11.7,22.46,1.5,18.0,-2.2,3.7,9.6,4.1,6.73,2,-1.13,-0.84,-0.87,-0.72
107,30.2,13.3,28.84,1.3,0.0,-8.0,-1.3,5.4,1.9,0.0,2,-1.04,-0.76,-1.0,-0.77
108,41.1,12.3,29.49,1.3,0.1,-9.0,-2.8,3.4,1.6,0.24,0,-1.1,0.25,-1.06,-0.72
109,60.3,11.4,22.71,1.6,6.9,-3.9,1.8,7.5,3.4,5.48,0,-0.21,-1.13,-1.01,-0.61
110,75.4,10.4,21.77,2.0,12.8,-1.5,3.7,8.9,3.8,5.76,0,1.28,0.51,-1.18,-0.36
111,65.7,12.7,4.31,3.0,73.4,5.5,11.8,18.2,8.1,12.24,0,1.6,1.17,-0.61,-0.15
112,65.7,12.4,0.0,3.8,73.8,12.1,18.3,24.5,13.3,11.64,0,1.48,1.26,0.11,0.34
113,62.5,12.0,0.0,4.3,67.6,15.4,21.4,27.4,15.4,10.87,0,1.11,1.46,0.58,0.83
114,59.3,10.1,0.0,4.4,161.9,20.1,25.1,30.2,21.9,15.56,1,0.17,0.94,0.91,0.7
115,63.0,8.9,0.0,3.6,74.3,19.7,24.1,28.6,22.3,10.63,0,0.17,1.03,0.53,0.45
116,62.6,9.7,0.0,2.6,102.9,12.9,17.7,22.6,14.9,14.42,0,-0.1,0.62,0.77,0.11
117,51.7,11.8,2.31,2.1,49.6,6.8,12.7,18.6,9.5,10.91,1,0.16,0.15,0.64,-0.08
118,44.4,12.8,21.3,1.5,7.6,-1.6,4.8,11.2,4.8,4.14,1,-0.47,-0.06,0.68,-0.14
119,48.0,11.5,27.32,1.2,1.7,-6.1,-0.3,5.5,2.8,2.2,0,-0.9,-0.39,0.74,-0.19
120,41.3,11.6,28.84,1.3,8.6,-8.0,-2.2,3.6,2.0,5.59,0,0.22,0.13,0.77,-0.21
121,57.2,9.9,24.27,1.5,8.3,-5.6,-0.6,4.4,2.8,5.94,1,-0.23,-0.65,0.68,-0.24
122,61.7,11.9,18.71,2.3,8.7,-0.3,5.7,11.7,4.7,4.75,0,0.51,-0.08,0.49,-0.49
123,68.9,11.0,1.97,2.9,52.4,7.0,12.5,18.0,9.0,10.47,2,-0.52,-0.42,-0.04,-0.47
124,50.9,14.5,0.0,4.4,30.5,11.2,18.4,25.7,11.3,7.76,0,2.12,1.85,1.09,0.84
125,73.6,11.1,0.0,3.9,183.7,16.4,21.9,27.5,17.6,17.06,2,0.88,0.94,0.43,0.62
126,63.9,10.2,0.0,4.3,76.0,21.3,26.4,31.5,24.0,10.57,0,1.33,0.97,0.87,1.15
127,56.8,9.1,0.0,3.8,131.1,19.5,24.0,28.6,21.5,14.34,1,-1.02,0.65,0.34,0.56
128,73.9,9.3,0.0,2.5,43.5,13.4,18.0,22.7,14.8,9.86,0,0.02,0.54,0.47,0.8
129,62.4,11.0,2.75,2.0,60.2,6.5,12.0,17.5,8.5,11.75,0,0.66,1.34,1.08,1.13
130,45.7,10.8,16.06,1.4,77.5,0.5,5.9,11.3,5.9,13.83,0,1.73,0.02,1.15,1.2
131,35.6,11.0,28.01,1.1,7.1,-6.9,-1.4,4.1,2.5,5.08,0,2.42,0.95,1.25,1.31
132,55.6,8.8,27.84,0.9,11.1,-6.7,-2.3,2.1,3.2,6.44,0,1.97,1.11,1.32,1.39
133,74.6,7.6,25.73,1.1,8.1,-6.3,-2.5,1.3,3.0,5.78,0,2.21,2.71,1.56,1.49
134,64.4,10.2,12.33,2.1,35.3,2.1,7.2,12.3,6.4,9.16,2,0.46,1.95,1.23,1.16
135,53.7,12.5,3.28,3.3,18.1,6.1,12.3,18.6,8.2,6.45,0,-0.19,0.66,1.44,0.99
136,66.6,13.2,0.0,3.9,42.7,11.7,18.3,24.9,12.0,8.95,0,-0.91,0.12,0.09,0.83
137,61.5,13.3,0.0,5.0,55.9,17.6,24.2,30.9,15.3,9.52,0,-0.38,-0.13,0.71,0.7
138,67.4,9.6,0.0,4.0,127.0,19.6,24.4,29.2,20.9,13.68,3,-1.09,-1.01,-0.14,0.51
139,57.7,9.9,0.0,4.0,59.0,19.5,24.4,29.4,20.3,9.84,0,-0.77,-1.2,0.27,0.39
140,53.5,11.5,0.0,3.0,96.2,11.9,17.6,23.4,12.4,13.93,1,-1.07,-1.05,-0.04,0.27
141,48.5,12.1,3.06,2.2,35.1,6.3,12.3,18.4,8.1,9.33,0,-0.06,-0.92,-0.53,0.4
