date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,50.0,11.6,28.25,1.1,2.6,-7.2,-1.4,4.4,2.6,3.54,2,-1.19,-0.12,-0.19,-1.14
1,55.8,12.5,22.52,1.6,2.0,-3.7,2.6,8.9,3.7,2.88,0,0.03,0.05,-0.21,-1.13
2,78.9,10.0,9.03,2.0,24.5,3.4,8.4,13.4,6.7,7.42,0,-0.14,-0.22,-0.31,-0.96
3,60.2,13.0,0.32,3.5,43.0,8.8,15.3,21.8,9.7,9.15,0,0.15,-0.2,-0.05,-1.09
4,54.3,14.5,0.0,4.3,67.4,12.4,19.6,26.9,12.8,10.65,0,0.96,0.85,0.84,-1.0
5,71.0,10.4,0.0,4.3,105.5,19.3,24.5,29.7,18.5,11.75,1,0.6,0.38,0.47,-0.54
6,63.5,9.7,0.0,4.3,103.0,22.0,26.8,31.7,25.0,11.62,1,0.1,0.12,-0.05,-0.77
7,54.3,9.9,0.0,4.0,79.8,20.5,25.4,30.4,23.8,10.5,1,-1.04,-0.3,-0.27,-0.6
8,56.8,10.5,0.0,2.9,76.0,14.3,19.5,24.8,16.6,11.77,0,0.85,0.94,0.8,0.45
9,82.2,6.7,0.0,1.5,145.8,10.0,13.3,16.7,12.0,17.57,0,1.65,1.17,1.0,0.56
10,58.8,8.5,8.74,1.1,44.2,3.4,7.6,11.9,7.9,10.65,0,2.64,0.71,1.02,0.54
11,41.2,10.3,25.68,0.9,1.5,-4.4,0.8,6.0,4.0,2.58,0,1.28,1.09,1.03,0.56
12,35.1,11.4,28.7,1.0,2.9,-7.8,-2.1,3.6,2.9,3.72,0,-0.14,1.6,1.08,0.64
13,46.5,12.7,22.22,1.6,8.7,-3.4,3.0,9.4,4.1,5.77,3,-1.73,2.47,0.71,0.35
14,49.5,14.5,16.86,2.7,1.8,0.4,7.6,14.9,4.6,1.46,1,-1.45,-0.59,0.61,0.23
15,62.6,13.5,3.61,3.2,24.9,5.9,12.6,19.4,7.9,6.82,2,-1.75,-1.69,0.31,0.13
16,61.6,14.5,0.0,4.2,26.0,12.1,19.3,26.6,11.8,6.95,1,-1.36,-1.66,-0.44,0.29
17,58.8,13.1,0.0,4.9,47.7,17.9,24.4,31.0,15.8,8.36,0,-1.0,-1.47,-0.19,0.17
18,72.0,10.2,0.0,3.9,120.5,21.1,26.2,31.3,24.2,12.46,0,0.6,-0.59,0.66,0.41
