date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,36.3,13.2,28.7,1.3,0.1,-7.8,-1.2,5.4,2.8,0.14,3,-1.97,-0.92,-0.76,-0.58
1,34.8,14.4,22.42,1.9,1.2,-3.6,3.6,10.8,4.1,1.95,0,-1.44,-0.95,-0.81,-0.65
2,64.4,12.9,10.53,2.6,14.3,2.8,9.2,15.7,6.7,4.55,2,-1.27,-1.55,-0.85,-0.76
3,47.6,14.8,0.22,4.4,18.1,9.0,16.4,23.8,9.4,5.53,2,-1.19,-1.85,-1.06,-1.01
4,51.0,15.0,0.0,5.2,19.7,14.2,21.7,29.2,13.5,4.05,0,-0.5,-0.95,-0.63,-1.2
5,66.8,12.3,0.0,5.1,73.2,20.4,26.5,32.7,20.9,8.16,0,0.9,0.29,-0.63,-0.36
6,63.4,9.8,0.0,4.4,244.9,23.9,28.8,33.7,30.1,15.25,0,1.48,0.8,0.32,-0.04
7,62.0,9.2,0.0,3.7,185.6,21.7,26.3,30.9,27.5,12.92,0,1.74,1.16,0.83,0.31
8,51.5,10.6,0.0,3.0,104.5,15.5,20.8,26.1,18.9,11.48,0,1.84,1.83,1.22,0.72
9,67.8,8.7,0.0,1.8,79.5,10.7,15.0,19.4,13.1,10.79,0,2.18,2.23,1.41,0.71
10,55.4,8.4,6.49,1.2,37.5,4.4,8.6,12.8,8.8,9.31,0,2.13,2.24,1.48,0.63
11,39.8,9.3,25.47,0.9,4.0,-4.2,0.5,5.2,4.3,3.4,1,1.09,1.93,1.51,0.59
12,28.7,12.1,28.91,1.1,0.2,-8.1,-2.0,4.1,3.1,0.31,0,0.18,2.22,1.66,0.74
13,45.2,10.8,21.6,1.5,13.9,-2.8,2.6,8.0,4.5,6.5,3,-1.21,1.72,1.53,0.58
14,39.1,14.8,17.13,3.0,0.8,0.3,7.7,15.1,4.8,0.73,0,-0.85,-0.1,1.66,0.68
15,52.0,14.1,1.97,4.0,20.9,7.0,14.0,21.1,8.0,5.99,4,-1.94,-1.8,1.48,0.4
16,43.3,15.6,0.0,5.7,7.8,14.0,21.8,29.6,11.5,2.64,1,-1.57,-1.8,1.19,0.42
17,44.9,13.2,0.0,5.8,46.3,19.0,25.6,32.2,18.2,6.73,0,-0.9,-1.11,0.79,0.12
18,68.4,10.1,0.0,4.2,184.6,22.8,27.8,32.9,28.4,13.7,0,0.51,-0.45,0.84,0.75
19,58.3,9.0,0.0,3.7,192.8,21.4,25.9,30.4,27.2,13.15,0,0.95,-0.07,0.58,0.9
20,59.6,10.0,0.0,2.9,65.9,16.2,21.2,26.2,19.2,9.36,0,1.07,0.19,0.16,0.94
21,52.5,10.2,0.11,2.0,34.7,9.3,14.4,19.5,12.1,7.44,0,1.44,1.13,0.28,1.16
22,59.5,8.2,12.19,1.1,53.0,2.0,6.1,10.2,7.0,10.98,0,1.6,1.4,0.23,1.18
23,35.9,10.1,23.8,1.0,1.7,-2.7,2.4,7.5,4.9,2.0,4,1.23,1.28,0.16,1.16
24,13.3,13.8,29.72,1.4,0.1,-9.4,-2.5,4.4,2.0,0.11,2,-1.78,0.89,-0.02,1.18
25,33.6,14.5,24.84,1.8,1.3,-6.3,1.0,8.3,3.2,1.9,0,-1.05,1.03,0.28,1.23
26,42.8,13.2,12.33,2.7,26.6,2.1,8.7,15.3,6.2,5.99,0,1.17,1.49,0.79,1.57
27,74.7,9.6,0.5,2.9,47.5,8.5,13.3,18.1,9.9,8.72,0,2.51,1.99,1.83,2.07
28,73.5,10.8,0.0,3.5,108.6,13.7,19.1,24.5,15.9,9.24,0,2.01,1.69,1.96,2.0
29,52.7,12.9,0.0,5.6,62.0,19.8,26.2,32.7,19.6,7.65,0,1.96,2.0,2.17,1.87
30,61.1,9.4,0.0,4.4,242.8,22.8,27.5,32.2,27.6,15.53,0,1.57,2.23,2.31,2.01
31,67.9,7.4,0.0,3.4,216.0,22.6,26.3,30.0,28.9,13.83,0,1.5,2.16,2.16,1.86
32,66.3,9.3,0.0,2.8,33.8,16.5,21.1,25.8,18.9,6.64,2,0.55,1.76,1.91,1.5
33,29.1,13.6,1.21,2.5,1.9,7.7,14.5,21.3,10.5,1.98,0,-0.97,0.94,1.66,1.36
34,37.4,11.5,11.68,1.4,9.8,2.2,7.9,13.7,7.5,4.97,0,-0.98,1.06,1.7,1.36
35,35.2,10.1,25.36,1.0,7.6,-4.1,1.0,6.1,4.3,4.92,0,0.71,0.68,1.88,1.46
36,52.9,7.9,26.58,0.8,15.2,-5.3,-1.3,2.7,4.1,5.19,0,1.83,-0.17,2.05,1.52
37,58.3,8.3,26.78,1.0,9.7,-7.7,-3.5,0.7,3.2,5.52,0,1.96,0.5,2.1,1.68
38,61.4,10.0,11.81,2.1,14.5,2.3,7.3,12.3,6.9,4.56,0,3.02,2.92,2.55,2.26
39,84.7,8.7,0.02,2.4,130.6,9.7,14.0,18.4,12.3,13.9,0,2.94,2.87,2.3,2.57
40,60.3,10.7,0.0,4.2,79.0,15.3,20.6,26.0,16.1,7.92,1,2.16,2.35,2.19,2.58
41,53.9,13.8,0.0,5.6,33.1,19.1,26.0,32.9,19.0,5.47,0,1.98,2.7,2.51,2.72
42,77.7,8.9,0.0,3.8,307.7,23.2,27.6,32.1,28.4,17.34,0,1.96,2.64,2.49,2.76
43,66.0,8.6,0.0,3.5,212.1,21.9,26.2,30.5,28.2,13.5,0,2.76,2.95,2.76,2.98
44,73.5,7.9,0.0,2.4,110.7,16.6,20.5,24.5,19.9,11.72,0,2.19,2.66,2.96,3.14
45,76.9,7.1,0.0,1.6,60.1,11.2,14.7,18.3,13.6,9.7,0,1.96,2.42,3.07,3.06
46,38.9,10.3,10.93,1.4,9.1,2.5,7.6,12.8,7.5,4.81,0,1.42,2.75,3.1,3.09
47,38.8,8.6,24.03,0.9,3.7,-2.9,1.4,5.7,4.6,3.59,0,-0.21,2.05,3.03,3.17
48,35.1,9.4,26.58,1.0,2.9,-5.3,-0.6,4.1,3.7,2.43,0,0.13,1.98,2.98,3.26
49,48.5,10.3,21.7,1.5,7.4,-2.9,2.3,7.5,4.6,4.84,2,-0.73,0.95,2.89,3.16
50,33.2,13.9,16.86,2.8,6.1,0.4,7.3,14.3,5.1,2.99,0,0.83,0.6,2.54,3.11
51,68.0,11.9,2.24,3.2,50.3,6.8,12.7,18.7,9.0,8.83,3,-0.41,-0.3,2.04,2.69
52,46.3,15.0,0.0,5.4,6.3,14.0,21.5,29.0,13.1,2.47,2,-0.65,-0.83,2.04,2.63
53,54.3,13.8,0.0,5.8,36.5,19.5,26.4,33.3,17.5,6.14,1,-1.58,-1.0,0.97,2.19
54,67.0,9.6,0.0,4.2,136.9,22.6,27.4,32.2,27.4,11.7,1,-1.23,-1.22,0.01,1.83
55,53.2,10.8,0.0,4.0,107.3,20.2,25.6,31.0,25.4,10.04,4,-1.49,-1.57,-1.18,1.71
56,36.2,14.4,0.0,3.8,14.7,14.4,21.6,28.8,16.7,4.56,1,-1.53,-1.99,-1.68,1.76
57,40.8,13.1,0.0,2.5,16.1,9.9,16.4,23.0,12.3,5.19,0,-1.07,-1.48,-1.41,1.88
58,50.9,10.4,9.94,1.4,40.7,2.9,8.1,13.3,7.6,9.74,2,0.11,-1.37,-1.51,1.83
59,30.7,11.7,26.87,1.2,0.2,-5.6,0.3,6.2,3.0,0.35,2,0.31,-1.35,-1.57,1.74
60,38.1,11.8,27.92,1.2,1.3,-6.8,-0.9,5.0,3.2,0.98,1,-1.47,-1.52,-1.63,1.65
61,41.4,13.5,22.62,1.7,5.1,-3.8,3.0,9.8,4.4,4.0,0,0.49,0.26,-1.36,1.69
62,62.6,11.4,13.12,2.2,29.6,1.8,7.5,13.2,6.5,6.33,0,0.54,0.59,-1.75,1.07
63,64.0,13.1,0.89,3.6,17.5,8.0,14.5,21.1,9.5,5.56,2,-0.15,-0.67,-1.64,0.58
64,59.3,13.3,0.0,5.0,8.6,14.3,20.9,27.6,12.4,2.9,0,-0.66,-0.42,-1.43,0.73
65,59.0,12.9,0.0,5.5,57.1,19.9,26.3,32.8,18.8,7.64,0,0.0,0.22,-0.85,0.11
66,70.1,9.6,0.0,4.1,200.5,22.9,27.7,32.5,27.9,14.4,2,-0.44,-0.41,-1.06,-0.7
67,55.1,10.2,0.0,4.1,85.6,22.3,27.4,32.5,28.1,9.04,3,-0.99,-1.15,-0.98,-1.42
68,48.7,13.5,0.0,3.4,12.1,13.4,20.1,26.9,15.4,4.16,1,-1.74,-1.32,-0.98,-1.74
69,46.5,13.4,0.59,2.5,11.1,8.4,15.1,21.8,10.8,4.36,1,-1.73,-1.16,-1.25,-1.74
70,30.7,13.4,15.54,1.7,12.9,0.7,7.4,14.1,5.9,5.72,0,-1.0,-1.19,-1.19,-1.75
71,49.4,9.1,27.05,1.0,4.0,-5.8,-1.2,3.4,3.3,3.5,0,-0.73,-1.77,-1.16,-1.75
72,31.5,13.2,29.37,1.2,6.0,-8.8,-2.2,4.4,2.6,3.4,0,0.45,-1.48,-1.01,-1.69
73,44.4,10.0,23.47,1.4,16.1,-4.7,0.3,5.3,3.7,6.95,0,1.03,-0.26,-1.12,-1.58
74,54.1,11.8,14.45,2.4,23.5,1.3,7.2,13.1,5.9,5.41,0,1.34,0.85,-0.94,-1.71
75,66.5,12.2,0.5,3.3,35.0,8.5,14.6,20.7,10.5,7.55,2,0.22,0.38,-0.91,-1.63
76,54.5,14.2,0.0,5.2,17.0,15.6,22.7,29.8,14.9,3.64,0,0.27,0.57,-0.71,-1.39
77,57.8,13.2,0.0,5.5,81.1,20.1,26.7,33.3,19.8,8.88,0,-0.13,0.51,-0.99,-1.17
78,67.2,8.9,0.0,4.1,165.1,23.1,27.5,32.0,28.3,13.09,0,0.49,0.51,-0.22,-0.86
79,69.2,8.4,0.0,3.6,160.7,23.6,27.8,32.0,29.7,12.06,0,0.78,0.73,0.62,-0.25
80,61.0,10.9,0.0,2.9,95.7,14.4,19.8,25.3,17.1,10.89,2,0.55,0.27,0.56,-0.32
81,36.9,13.3,0.59,2.5,5.1,8.4,15.0,21.7,11.0,2.76,0,1.02,0.87,0.86,-0.29
82,64.3,8.4,14.25,1.2,42.0,1.2,5.4,9.6,6.3,9.89,1,0.19,0.72,0.83,-0.26
83,13.9,11.3,29.49,1.0,0.1,-9.0,-3.3,2.4,2.6,0.2,0,1.09,0.79,0.83,-0.24
84,37.2,11.3,28.7,1.1,2.8,-7.8,-2.1,3.6,3.0,2.18,1,-0.99,0.66,0.68,-0.26
85,27.1,12.7,26.91,1.6,0.6,-7.9,-1.5,4.9,2.5,1.08,2,-1.54,-0.87,0.41,-0.52
86,54.9,13.7,12.86,2.9,3.5,1.9,8.7,15.6,5.4,2.05,0,-0.88,-0.12,0.21,-0.51
87,57.4,13.8,0.44,4.1,33.7,8.6,15.5,22.4,8.9,7.2,1,-0.86,-1.14,0.33,-0.42
88,57.8,14.2,0.0,4.9,20.8,13.9,21.0,28.1,13.6,4.13,2,-1.02,-1.44,-0.19,-0.63
89,48.0,14.3,0.0,6.2,43.3,20.1,27.2,34.4,17.9,6.43,3,-1.97,-2.03,-0.93,-1.21
90,57.8,10.2,0.0,4.7,96.7,22.5,27.6,32.7,26.3,10.07,2,-1.97,-2.09,-1.59,-1.23
91,58.5,10.3,0.0,3.9,85.6,20.4,25.5,30.7,24.1,8.97,0,-1.71,-1.91,-2.05,-1.03
92,56.9,10.0,0.0,3.1,42.6,16.1,21.1,26.1,18.1,7.29,0,-0.12,-1.4,-1.3,-0.55
93,44.6,11.5,1.21,2.2,88.4,7.7,13.4,19.2,10.6,11.48,0,1.21,-1.17,-1.43,-0.42
94,45.9,10.7,10.68,1.3,24.2,2.6,7.9,13.3,7.8,7.67,0,2.07,-0.7,-1.28,-0.33
95,60.9,6.7,19.5,0.8,16.0,-0.6,2.8,6.2,5.6,6.89,0,1.43,0.3,-1.22,-0.29
96,45.0,9.1,28.91,0.9,4.4,-8.1,-3.5,1.1,2.9,2.87,0,1.79,1.67,-1.04,-0.28
97,65.5,8.3,24.99,1.1,10.8,-6.5,-2.3,1.9,3.4,5.72,0,1.44,2.57,-0.77,-0.27
98,53.3,11.3,18.45,2.0,10.5,-0.2,5.5,11.2,6.0,3.9,0,2.12,2.3,-0.19,-0.02
99,57.6,12.0,0.89,3.5,84.6,8.0,14.0,20.0,9.4,11.37,0,1.65,1.91,0.06,0.21
100,53.8,12.6,0.0,4.6,38.4,14.5,20.8,27.1,15.4,5.67,1,0.83,1.16,0.17,-0.05
101,49.6,13.6,0.0,5.7,40.4,18.7,25.5,32.3,17.7,6.36,0,-0.53,0.72,0.71,-0.13
102,68.1,9.7,0.0,4.0,141.8,21.7,26.5,31.4,27.1,12.27,0,-0.7,0.34,1.06,-0.33
103,44.5,10.7,0.0,4.3,148.0,20.9,26.2,31.6,25.8,11.75,0,0.91,1.12,1.8,0.04
104,66.6,9.5,0.0,2.8,159.0,16.2,20.9,25.7,19.0,13.95,1,0.99,0.35,1.27,0.05
105,36.7,12.1,0.15,2.4,6.3,9.2,15.2,21.3,12.0,3.27,1,1.37,0.15,1.1,-0.23
106,35.3,12.6,19.37,1.6,7.3,-0.8,5.5,11.8,5.1,3.7,2,-1.51,0.34,0.91,-0.27
107,25.6,12.6,27.76,1.2,0.0,-6.6,-0.3,6.0,3.0,0.02,2,-1.47,0.53,0.81,-0.31
108,30.6,13.5,29.77,1.2,0.7,-9.5,-2.7,4.1,2.6,1.04,0,-1.18,1.0,0.69,-0.27
109,50.4,11.3,22.32,1.5,5.4,-3.5,2.2,7.9,4.3,4.25,0,-0.5,-1.48,0.59,-0.15
110,61.6,11.3,19.75,2.2,2.8,-0.7,5.0,10.7,4.9,2.08,0,0.32,-0.55,0.14,-0.07
111,68.3,13.0,0.89,3.5,26.9,8.0,14.5,21.0,9.4,6.74,0,0.86,0.44,0.32,0.21
112,63.8,12.0,0.0,4.4,53.3,14.9,20.9,26.9,15.2,6.66,0,0.68,0.47,0.54,0.43
113,62.3,12.1,0.0,4.9,41.8,18.7,24.7,30.8,19.6,6.6,0,0.7,0.7,0.84,0.94
114,58.1,10.2,0.0,4.4,194.5,21.6,26.7,31.8,26.7,13.69,0,0.11,0.51,0.85,1.2
115,69.3,8.2,0.0,3.4,122.1,21.6,25.7,29.8,26.9,10.4,0,-0.03,0.35,-0.15,1.23
116,51.4,11.3,0.0,3.1,44.4,15.0,20.6,26.3,18.1,7.63,0,-0.35,0.19,0.01,0.89
117,44.7,12.0,0.11,2.3,20.3,9.3,15.3,21.3,12.4,5.87,1,-0.57,-0.21,-0.01,0.75
118,29.7,13.1,18.36,1.5,5.4,-0.4,6.2,12.8,6.0,3.9,0,-0.6,-0.25,0.04,0.64
