date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,55.2,11.2,24.37,1.4,13.7,-3.2,2.4,8.0,4.0,6.15,2,-1.85,-0.22,0.14,-0.49
1,66.6,12.2,17.61,1.8,11.9,-0.6,5.5,11.6,5.4,5.55,0,-0.33,-0.61,-0.09,-0.49
2,82.6,8.9,4.64,2.0,85.5,5.4,9.8,14.3,8.5,13.12,1,-0.6,-0.68,-0.26,-0.61
3,66.0,12.4,0.0,3.3,56.5,10.5,16.7,22.9,12.8,10.42,1,-0.48,-1.19,-0.44,-0.98
4,61.9,12.0,0.0,4.0,72.3,14.9,20.9,26.9,16.8,10.35,0,-1.28,-1.24,-1.39,-1.43
5,72.4,10.1,0.0,4.1,93.1,21.4,26.4,31.5,25.0,9.56,2,-1.41,-1.4,-1.64,-1.05
6,67.0,9.3,0.0,4.4,106.3,24.5,29.1,33.8,30.6,10.87,0,-1.03,-1.11,-1.08,-0.69
7,59.2,8.8,0.0,3.9,122.4,22.8,27.2,31.6,29.5,12.05,0,-0.67,-1.13,-1.2,-0.45
8,62.8,9.3,0.0,2.9,109.9,17.0,21.6,26.3,21.2,13.7,0,0.11,-0.91,-1.03,-0.34
9,68.3,8.1,0.0,2.0,54.7,12.5,16.5,20.6,14.7,11.1,0,1.05,-0.33,-0.87,-0.24
10,72.0,6.5,0.8,1.3,91.0,8.1,11.3,14.6,10.7,14.27,0,1.12,-0.11,-0.78,-0.32
11,58.4,8.5,16.59,1.1,22.1,0.5,4.7,9.0,6.1,9.91,2,0.98,0.47,-0.81,-0.39
12,39.4,10.9,25.15,1.4,11.3,-3.9,1.6,7.1,3.9,5.75,1,-0.74,0.69,-0.7,-0.39
13,56.1,12.0,16.19,1.8,31.9,0.0,6.0,12.0,5.8,8.9,4,-2.3,-0.54,-1.2,-0.94
14,53.5,13.0,10.02,2.7,5.5,3.0,9.5,16.0,6.9,3.45,0,-1.19,-0.42,-1.03,-0.9
15,65.1,11.5,0.57,3.0,91.6,8.4,14.1,19.9,11.1,13.01,1,-1.23,-1.34,-1.05,-0.98
16,70.9,11.3,0.0,3.7,66.1,14.6,20.2,25.9,16.3,10.0,0,-0.26,-1.29,-0.9,-1.44
17,71.1,10.1,0.0,4.0,121.7,19.6,24.6,29.7,22.6,10.95,0,-0.1,-0.68,-0.21,-1.22
18,70.0,9.5,0.0,4.1,198.3,23.6,28.3,33.1,30.3,14.42,0,0.67,-0.05,0.28,-0.62
19,61.8,8.1,0.0,3.7,203.0,22.3,26.3,30.4,28.7,15.66,0,0.82,0.46,0.2,-0.76
20,61.7,9.2,0.0,2.9,108.9,17.3,21.9,26.5,21.3,14.03,0,0.73,0.33,0.09,-0.72
21,64.0,9.4,0.0,2.0,33.3,11.2,15.9,20.6,14.1,8.75,0,0.97,0.96,0.16,-0.55
22,67.4,7.5,5.06,1.3,105.1,5.1,8.8,12.6,8.8,15.07,0,0.92,1.1,0.13,-0.47
23,46.8,9.7,16.33,1.2,19.7,0.6,5.4,10.3,6.2,9.28,4,0.72,0.92,-0.0,-0.57
24,24.4,13.2,26.29,1.7,0.2,-5.0,1.6,8.2,2.7,0.37,3,-2.17,-0.03,-0.14,-0.59
25,48.2,13.5,20.96,2.0,11.4,-2.2,4.6,11.4,4.6,5.54,0,-1.57,-0.24,0.34,-0.66
26,54.9,10.0,5.64,2.4,76.6,4.9,9.9,14.9,8.1,12.46,0,0.42,0.77,0.62,-0.3
27,83.4,7.2,0.0,2.4,114.3,10.7,14.3,17.9,12.5,14.34,0,2.0,1.16,1.46,0.35
28,78.2,7.2,0.0,2.8,193.6,16.4,20.0,23.6,19.7,15.91,4,0.92,0.2,1.01,0.11
29,67.0,10.6,0.0,4.2,32.3,19.6,24.9,30.2,22.0,5.76,0,0.37,0.46,0.94,0.47
30,73.7,8.0,0.0,3.8,179.8,23.3,27.3,31.3,29.0,14.01,0,0.71,1.58,1.4,1.18
31,77.5,6.8,0.0,3.2,297.5,23.3,26.7,30.1,29.7,18.92,0,1.54,1.65,1.43,1.2
32,69.3,7.0,0.0,2.8,106.9,18.9,22.4,25.9,21.8,13.45,2,1.34,1.06,1.2,0.98
33,52.7,11.4,0.0,2.4,7.5,10.3,16.0,21.7,12.6,4.24,0,-0.55,0.28,0.76,0.71
34,62.4,10.2,3.95,1.5,27.7,5.7,10.8,15.9,10.0,8.06,0,-1.21,0.96,0.75,0.7
35,49.7,10.2,18.98,1.2,16.9,-0.4,4.7,9.8,5.9,8.72,0,0.25,1.33,1.11,0.86
36,70.2,7.0,20.27,1.1,48.1,-0.9,2.6,6.1,5.2,11.12,0,1.57,0.25,1.49,1.05
37,85.8,5.5,23.52,1.1,62.9,-3.9,-1.1,1.7,3.7,12.06,0,1.47,-0.06,1.46,1.3
