date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,56.5,11.9,24.03,1.3,9.2,-2.9,3.1,9.1,4.3,6.26,2,-1.52,0.77,0.43,-0.44
1,66.1,12.4,16.19,1.7,6.1,0.0,6.2,12.4,5.5,4.82,0,-0.0,-0.29,0.23,-0.45
2,82.9,9.6,4.45,1.9,57.5,5.5,10.3,15.1,8.8,11.52,1,-0.33,-0.41,0.0,-0.44
3,65.0,12.7,0.0,3.4,59.1,11.0,17.3,23.7,12.6,11.25,0,0.05,-0.5,0.14,-0.64
4,62.1,13.4,0.0,4.0,89.3,14.8,21.5,28.2,16.5,11.54,1,-0.86,-0.72,-0.46,-1.15
5,73.5,11.5,0.0,4.2,57.9,20.9,26.6,32.4,23.5,7.95,1,-0.89,-0.89,-0.59,-0.5
6,67.0,10.1,0.0,4.3,122.1,24.2,29.2,34.3,29.9,11.65,1,-1.18,-0.99,-0.45,-0.43
7,57.4,9.1,0.0,4.1,83.7,23.1,27.6,32.2,28.2,10.54,0,-1.04,-1.24,-1.22,-0.42
8,60.4,10.4,0.0,3.0,81.6,16.7,21.9,27.1,20.2,12.75,0,-0.42,-0.86,-0.92,-0.18
9,80.3,7.5,0.0,1.7,77.9,12.6,16.3,20.1,14.6,13.43,0,0.72,-0.51,-0.7,-0.03
10,72.3,7.7,0.98,1.3,72.3,7.9,11.7,15.6,10.7,14.21,0,1.42,-0.29,-0.65,-0.09
11,58.7,9.9,17.13,1.1,11.8,0.3,5.2,10.2,6.2,7.86,1,1.09,-0.03,-0.66,-0.12
12,40.6,12.2,24.82,1.3,8.5,-3.6,2.5,8.6,4.3,6.04,0,-0.4,0.53,-0.55,-0.1
13,58.0,13.4,16.67,1.8,25.3,-0.2,6.5,13.2,5.9,9.23,4,-2.09,0.1,-1.05,-0.66
14,53.1,14.9,10.53,2.7,5.7,2.8,10.2,17.7,6.9,3.71,0,-0.89,-0.1,-0.86,-0.66
15,68.1,11.7,0.22,3.0,82.5,9.0,14.8,20.7,11.0,13.1,2,-1.34,-1.35,-1.21,-0.79
16,68.3,12.2,0.0,3.8,42.1,15.0,21.1,27.2,15.7,8.31,0,-0.79,-1.45,-1.2,-1.16
17,68.6,11.9,0.0,4.4,73.9,19.8,25.7,31.7,20.9,9.28,1,-1.3,-1.43,-1.19,-1.2
18,69.3,11.2,0.0,4.2,117.1,23.0,28.6,34.2,29.1,11.4,0,0.11,-0.66,-0.32,-0.54
19,67.0,8.8,0.0,3.6,180.6,22.0,26.4,30.8,27.2,15.02,0,0.16,-0.26,-0.23,-1.12
20,61.3,10.0,0.0,2.9,93.7,16.7,21.7,26.7,20.4,13.97,0,0.58,-0.37,-0.42,-1.07
21,71.7,9.4,0.0,1.9,50.3,11.5,16.2,20.9,14.2,11.1,0,0.72,0.41,-0.29,-0.8
22,69.9,8.4,4.87,1.3,91.2,5.2,9.4,13.6,8.9,15.85,0,1.07,0.59,-0.32,-0.76
23,48.8,11.3,17.13,1.2,9.7,0.3,5.9,11.6,6.2,7.43,4,1.07,0.84,-0.43,-0.85
24,23.9,14.5,26.09,1.5,0.0,-4.8,2.5,9.8,3.2,0.0,3,-2.39,-0.01,-0.58,-0.87
25,50.2,14.7,20.96,1.9,5.0,-2.2,5.2,12.6,4.8,4.12,0,-1.12,0.29,-0.1,-0.91
26,55.7,11.8,6.93,2.4,64.2,4.3,10.2,16.1,8.0,12.14,0,0.7,1.14,0.08,-0.61
27,84.5,7.9,0.0,2.3,85.4,10.5,14.4,18.4,12.4,13.37,0,2.38,1.57,1.1,-0.01
28,81.5,8.2,0.0,2.9,164.6,16.2,20.3,24.4,19.0,15.13,2,1.49,0.9,1.01,-0.07
29,67.1,12.4,0.0,4.4,52.1,19.6,25.8,32.0,21.2,7.77,0,0.56,0.74,1.11,0.04
30,71.3,9.1,0.0,4.0,129.3,23.1,27.6,32.2,27.4,12.04,0,0.64,1.64,1.41,0.86
31,75.7,7.6,0.0,3.4,234.1,23.4,27.2,31.0,28.3,16.92,0,1.27,1.65,1.69,1.17
32,78.4,7.4,0.0,2.5,133.6,18.3,22.0,25.7,21.1,16.15,3,1.14,1.11,1.35,0.79
33,52.6,11.4,0.0,2.3,15.2,10.7,16.4,22.1,12.8,5.98,0,-0.04,0.39,0.98,0.56
34,62.5,10.1,3.12,1.4,30.5,6.2,11.2,16.3,9.9,9.4,0,-1.2,0.75,1.01,0.56
35,51.6,11.4,18.98,1.2,11.7,-0.4,5.3,11.0,6.0,8.08,0,0.33,1.16,1.21,0.65
36,71.9,8.3,20.01,1.0,22.7,-0.8,3.4,7.6,5.4,9.51,0,1.24,0.31,1.43,0.74
37,86.6,6.5,23.01,1.1,23.9,-3.4,-0.1,3.2,3.9,8.95,0,1.24,-0.42,1.38,1.01
38,66.9,11.2,6.49,2.1,45.6,4.5,10.1,15.7,8.8,10.38,0,2.46,2.2,1.75,1.39
39,89.2,6.7,0.0,2.2,149.1,13.1,16.4,19.8,15.0,16.91,0,2.56,2.56,1.61,1.76
40,74.1,9.8,0.0,3.2,134.0,15.3,20.2,25.1,17.8,13.91,0,2.07,2.0,1.76,1.76
41,69.4,11.6,0.0,4.2,70.7,19.3,25.1,30.9,20.5,9.17,0,1.36,2.15,2.09,1.99
42,71.4,8.9,0.0,4.0,221.6,23.9,28.3,32.8,28.7,15.41,0,0.75,1.81,1.71,1.99
43,61.1,8.8,0.0,3.9,146.5,22.9,27.3,31.7,27.9,13.43,0,1.6,2.12,2.02,2.39
44,86.6,5.5,0.0,2.2,183.0,18.8,21.5,24.3,21.2,18.31,0,1.97,2.06,2.55,2.66
45,91.7,5.0,0.0,1.5,165.7,14.1,16.6,19.1,15.6,19.13,1,1.96,1.69,2.48,2.49
46,59.2,10.1,3.44,1.5,14.6,6.0,11.0,16.1,9.4,6.81,0,1.86,1.93,2.48,2.47
47,59.3,10.3,18.19,1.1,10.0,-0.1,5.1,10.3,5.9,7.64,0,-0.91,1.75,2.4,2.52
48,53.3,9.7,18.98,1.2,10.1,-0.4,4.5,9.4,5.6,6.48,0,-0.03,1.95,2.33,2.56
49,72.7,9.0,13.06,1.4,17.8,1.3,5.8,10.3,6.2,7.82,0,-0.1,1.69,2.23,2.43
50,63.7,12.3,9.03,2.3,42.1,3.4,9.5,15.7,7.3,9.82,0,1.01,0.33,2.09,2.5
51,81.4,9.6,0.06,2.4,93.4,9.5,14.3,19.1,12.3,13.84,2,-0.16,-0.17,1.64,2.07
