date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,43.9,11.7,26.87,1.4,2.4,-5.6,0.3,6.2,3.3,1.49,3,-1.85,-0.45,-0.3,-0.7
1,48.6,13.7,21.28,2.0,1.7,-2.5,4.4,11.3,4.4,2.2,0,-1.25,-0.94,-0.48,-0.78
2,69.5,11.6,8.55,2.4,23.8,3.6,9.4,15.2,7.3,6.38,1,-1.15,-1.24,-0.49,-0.82
3,57.4,14.1,0.06,4.1,27.9,9.5,16.5,23.6,10.4,7.13,0,-0.6,-1.29,-0.47,-0.98
4,56.6,14.0,0.0,4.8,47.5,14.5,21.5,28.5,14.7,6.52,0,0.31,-0.15,0.09,-1.07
5,72.1,10.1,0.0,4.7,116.6,21.6,26.6,31.7,22.2,10.01,1,-0.05,-0.56,-0.85,-0.72
6,67.9,10.1,0.0,4.3,134.7,24.1,29.1,34.2,31.1,10.99,0,0.2,-0.13,-0.34,-0.4
7,61.4,9.1,0.0,3.8,149.3,22.2,26.7,31.3,28.4,11.19,0,0.17,0.26,-0.04,-0.02
8,55.9,10.2,0.0,3.0,120.0,16.2,21.3,26.4,19.9,11.66,0,1.13,0.74,0.22,0.22
9,69.5,9.0,0.0,1.9,52.0,11.2,15.7,20.2,13.9,8.31,0,1.68,1.08,0.34,0.19
10,61.8,8.3,3.78,1.3,38.3,5.8,9.9,14.1,9.4,9.39,0,1.42,0.7,0.39,0.09
11,42.7,9.7,24.03,1.0,4.8,-2.9,2.0,6.9,4.9,4.09,1,0.76,1.24,0.43,0.04
12,28.6,11.9,27.92,1.2,0.8,-6.8,-0.8,5.2,3.3,0.79,0,-0.16,1.59,0.64,0.21
13,47.2,12.3,21.18,1.7,20.7,-2.4,3.8,10.0,4.9,6.85,3,-1.56,0.38,0.36,-0.1
14,42.9,14.9,15.79,3.0,0.5,0.8,8.2,15.7,5.4,0.6,0,-1.12,-0.51,0.49,-0.02
15,58.4,14.0,2.24,3.7,30.3,6.8,13.8,20.8,9.0,7.4,3,-1.9,-1.88,0.14,-0.24
16,55.7,15.3,0.0,5.1,8.0,13.6,21.2,28.9,12.9,3.07,0,-1.1,-1.54,-0.34,-0.16
17,56.0,12.3,0.0,5.3,80.5,19.4,25.5,31.7,19.5,8.29,0,-1.07,-1.34,-0.13,-0.6
18,71.5,9.7,0.0,4.1,152.8,23.3,28.1,33.0,29.6,11.98,0,0.5,-0.55,0.35,-0.0
19,66.1,8.9,0.0,3.5,199.1,21.6,26.0,30.5,28.2,12.96,0,0.79,0.02,0.18,0.05
20,61.7,10.1,0.0,2.9,93.0,16.5,21.5,26.6,20.3,10.53,0,1.44,0.33,0.12,0.17
21,57.9,10.4,0.0,2.1,52.0,9.9,15.1,20.3,13.0,9.17,0,1.75,1.36,0.34,0.44
22,62.2,7.7,8.51,1.2,71.7,3.5,7.3,11.2,7.8,12.47,0,1.81,1.42,0.3,0.45
23,38.9,10.7,22.49,1.2,6.2,-1.8,3.6,9.0,5.4,4.68,4,1.48,1.7,0.23,0.41
24,12.9,13.2,28.63,1.5,0.0,-7.7,-1.1,5.5,2.2,0.01,3,-1.83,1.16,0.05,0.43
25,37.4,14.1,23.65,1.9,1.0,-4.9,2.2,9.3,3.5,1.42,0,-1.19,1.16,0.41,0.47
26,45.6,12.8,11.04,2.7,37.8,2.6,9.0,15.4,6.9,7.87,0,0.73,1.26,0.84,0.82
27,81.5,9.0,0.27,2.6,51.9,8.9,13.4,17.9,10.8,9.53,0,2.63,2.0,2.06,1.51
28,79.1,9.4,0.0,3.2,171.8,14.5,19.2,23.9,17.0,12.4,0,2.38,1.86,2.21,1.38
29,59.9,11.8,0.0,5.1,83.4,19.9,25.8,31.7,20.5,8.32,0,2.26,2.09,2.47,1.65
30,71.0,8.8,0.0,4.0,210.1,23.0,27.4,31.8,28.4,13.53,0,1.78,2.51,2.61,2.08
31,73.8,7.0,0.0,3.2,270.5,23.0,26.5,30.0,29.6,14.95,0,1.81,2.51,2.46,1.97
32,68.9,8.2,0.0,2.8,71.5,17.4,21.5,25.6,19.9,9.36,2,1.4,2.25,2.23,1.73
33,39.2,13.2,0.52,2.6,1.6,8.5,15.1,21.7,11.0,1.68,0,-0.67,1.3,1.98,1.61
34,45.8,11.4,8.04,1.6,10.2,3.7,9.4,15.1,8.2,5.17,0,-1.44,1.29,2.0,1.6
35,39.6,11.0,24.15,1.2,6.5,-3.0,2.5,8.0,4.8,4.98,0,0.46,1.41,2.18,1.73
36,57.1,7.3,24.71,0.9,25.5,-3.5,0.2,3.9,4.6,6.43,0,1.68,0.12,2.41,1.81
37,69.4,7.3,25.81,1.1,22.6,-6.4,-2.7,1.0,3.3,7.35,0,1.74,0.07,2.44,1.96
38,62.2,9.9,9.77,2.1,18.6,3.1,8.0,13.0,7.6,5.71,0,2.93,2.74,2.93,2.5
39,88.2,7.8,0.0,2.3,171.6,10.8,14.7,18.6,13.3,16.33,0,2.81,2.69,2.48,2.71
40,64.7,10.0,0.0,3.8,88.1,15.1,20.1,25.1,16.7,9.19,2,2.21,2.24,2.43,2.72
41,58.7,13.0,0.0,5.2,35.5,19.1,25.6,32.1,19.6,5.7,0,1.14,2.42,2.57,2.79
