date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,46.1,12.3,27.14,1.4,2.4,-5.9,0.3,6.5,3.2,1.72,3,-1.76,-0.55,-0.15,-0.74
1,50.9,14.1,21.5,2.0,2.0,-2.7,4.4,11.5,4.4,2.26,0,-1.12,-0.9,-0.37,-0.83
2,74.1,12.0,9.03,2.4,23.6,3.4,9.4,15.4,7.4,6.43,1,-1.1,-1.22,-0.38,-0.85
3,57.3,14.6,0.08,4.1,30.1,9.4,16.7,24.0,10.5,7.33,0,-0.66,-1.32,-0.34,-1.04
4,56.7,14.8,0.0,4.8,42.0,14.2,21.6,29.0,14.6,6.74,0,0.35,-0.09,0.18,-1.12
5,74.0,10.5,0.0,4.7,105.9,21.5,26.7,32.0,21.7,9.77,2,-0.2,-0.71,-0.87,-0.75
6,69.1,10.2,0.0,4.3,111.9,23.8,28.9,34.0,30.4,10.53,0,-0.16,-0.48,-0.71,-0.62
7,58.7,9.5,0.0,3.8,121.3,21.7,26.4,31.2,27.8,10.57,0,-0.52,-0.27,-0.56,-0.33
8,55.2,10.5,0.0,3.0,96.7,15.9,21.1,26.4,19.4,11.21,0,0.91,0.51,-0.04,0.11
9,73.1,8.8,0.0,1.8,81.7,10.9,15.3,19.7,13.8,10.47,0,1.7,0.89,0.16,0.14
10,62.9,8.5,4.68,1.3,43.5,5.3,9.5,13.8,9.4,9.08,0,1.81,0.42,0.21,0.04
11,43.9,10.5,24.6,1.1,3.7,-3.4,1.9,7.2,4.8,2.9,2,0.67,1.02,0.22,-0.01
12,30.4,12.4,28.01,1.3,1.2,-6.9,-0.7,5.5,3.4,1.09,0,-0.56,1.5,0.39,0.14
13,50.2,12.6,21.39,1.7,13.4,-2.6,3.7,10.0,4.9,5.61,3,-1.79,0.85,0.07,-0.23
14,46.0,15.6,16.59,3.0,0.4,0.5,8.3,16.1,5.4,0.54,1,-1.37,-0.71,0.17,-0.16
15,59.5,14.5,2.24,3.7,27.8,6.8,14.0,21.3,9.0,7.06,3,-1.98,-2.04,-0.14,-0.35
16,55.5,16.2,0.0,5.2,14.1,13.4,21.5,29.6,12.8,3.95,0,-1.09,-1.67,-0.64,-0.3
17,56.6,13.0,0.0,5.4,75.2,19.4,25.9,32.4,18.9,8.27,0,-0.66,-1.2,-0.09,-0.58
