date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,51.1,11.7,25.88,1.4,4.6,-4.6,1.3,7.2,3.7,3.0,3,-1.83,-0.12,-0.42,-1.13
1,59.2,13.9,20.32,2.0,3.2,-1.8,5.2,12.2,5.0,2.72,0,-0.97,-0.91,-0.7,-1.22
2,75.8,11.2,7.84,2.2,38.0,3.9,9.5,15.1,7.9,8.56,1,-0.99,-1.08,-0.73,-1.25
3,62.4,14.3,0.06,3.7,37.1,9.5,16.6,23.8,11.5,8.2,0,-0.36,-1.09,-0.64,-1.43
4,61.1,14.4,0.0,4.4,61.1,14.1,21.3,28.5,15.8,8.7,0,0.23,-0.14,-0.59,-1.59
5,76.6,10.5,0.0,4.4,115.6,21.8,27.0,32.3,23.4,9.91,3,-0.71,-1.03,-1.35,-1.3
6,69.3,10.3,0.0,4.3,79.0,24.2,29.3,34.5,31.1,9.13,1,-0.98,-1.01,-0.98,-1.11
7,57.3,9.4,0.0,3.9,93.4,22.0,26.7,31.4,28.8,9.7,0,-1.33,-0.97,-1.19,-0.88
8,59.1,10.2,0.0,2.9,85.4,16.2,21.3,26.4,20.6,10.74,0,-0.29,-0.65,-0.97,-0.69
9,71.8,9.4,0.0,1.9,49.1,11.3,16.0,20.7,14.5,8.84,0,1.02,-0.3,-0.76,-0.61
10,65.9,8.3,2.96,1.3,59.7,6.3,10.4,14.6,10.3,10.7,0,1.19,-0.72,-0.71,-0.72
11,47.2,9.8,22.25,1.1,8.5,-1.7,3.2,8.1,5.4,4.92,2,0.8,0.01,-0.72,-0.78
12,30.3,11.7,26.77,1.4,2.7,-5.5,0.4,6.3,3.5,2.3,1,-0.91,0.64,-0.6,-0.71
13,50.7,12.8,19.88,1.8,15.9,-1.6,4.8,11.2,5.4,5.98,4,-2.21,-0.33,-0.99,-1.14
14,47.1,15.1,14.45,2.9,1.0,1.3,8.8,16.4,6.2,1.16,0,-1.46,-0.76,-0.91,-1.09
15,61.0,14.1,2.1,3.4,44.4,6.9,13.9,21.0,10.1,8.78,3,-1.75,-1.91,-1.21,-1.2
16,64.8,15.3,0.0,4.5,23.3,13.3,20.9,28.6,14.5,5.39,0,-0.63,-1.49,-1.46,-1.33
17,65.3,12.4,0.0,4.8,97.0,19.4,25.6,31.8,20.8,9.28,0,-0.68,-1.21,-0.96,-1.46
18,71.9,9.9,0.0,4.0,144.1,23.4,28.3,33.3,30.2,12.06,0,0.47,-0.48,-0.16,-0.77
19,66.0,9.0,0.0,3.4,184.8,21.4,25.9,30.4,28.5,13.25,0,0.37,-0.09,-0.17,-0.96
20,61.2,10.5,0.0,2.9,79.5,16.3,21.5,26.8,21.0,10.74,0,0.88,0.12,-0.19,-0.82
21,61.7,10.9,0.0,2.0,49.3,10.0,15.4,20.9,13.6,9.08,0,1.37,1.04,0.03,-0.51
22,65.0,7.9,7.36,1.2,94.7,4.0,7.9,11.9,8.4,13.14,0,1.69,1.01,0.01,-0.48
23,42.5,10.9,21.27,1.2,8.4,-1.3,4.2,9.7,5.8,5.24,4,1.52,1.29,-0.04,-0.54
24,16.4,13.4,27.84,1.6,0.0,-6.7,0.0,6.7,2.5,0.0,3,-1.97,0.6,-0.17,-0.54
25,42.4,14.2,22.62,2.0,2.5,-3.8,3.3,10.4,4.1,2.16,0,-1.36,0.9,0.24,-0.54
26,49.6,12.5,10.02,2.5,46.6,3.0,9.2,15.5,7.6,9.42,0,0.56,1.27,0.64,-0.19
27,84.1,9.1,0.18,2.4,66.0,9.1,13.6,18.2,11.7,10.68,0,2.45,1.82,1.73,0.58
28,80.4,9.3,0.0,3.0,182.0,14.9,19.5,24.2,18.4,14.31,0,2.02,1.5,1.69,0.32
29,65.6,12.2,0.0,4.8,67.8,19.7,25.8,31.9,21.0,7.46,0,1.52,1.52,1.9,0.82
30,73.4,9.0,0.0,3.8,171.7,22.8,27.3,31.8,28.8,12.74,0,1.39,2.28,2.37,1.65
31,75.8,7.3,0.0,3.1,290.4,22.6,26.2,29.9,30.0,16.44,0,1.71,2.31,2.35,1.71
32,72.4,7.8,0.0,2.7,105.1,17.9,21.8,25.7,21.0,12.02,3,1.69,1.91,2.09,1.46
33,46.1,13.5,0.28,2.5,2.0,8.9,15.6,22.4,11.8,1.97,1,-0.47,0.99,1.69,1.27
34,53.4,11.9,7.14,1.6,10.8,4.1,10.0,16.0,9.0,4.93,0,-1.57,1.15,1.68,1.26
35,43.6,11.7,23.56,1.2,7.1,-2.5,3.4,9.3,5.3,4.76,0,0.08,1.59,1.89,1.4
36,61.8,7.3,23.21,1.0,31.0,-2.2,1.5,5.2,4.9,7.99,0,1.82,0.37,2.17,1.55
37,79.8,6.9,25.13,1.0,34.5,-5.6,-2.1,1.4,3.5,8.57,0,1.89,-0.11,2.15,1.73
38,64.3,9.8,8.08,2.0,28.1,3.8,8.7,13.6,8.2,7.49,0,3.46,2.83,2.6,2.25
