date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,47.8,11.6,26.39,1.3,5.1,-5.1,0.7,6.5,3.5,2.67,3,-1.79,-0.08,0.47,-0.36
1,53.1,13.5,20.85,2.0,2.6,-2.1,4.7,11.5,4.8,2.51,0,-1.16,-0.8,0.27,-0.48
2,70.1,11.4,8.55,2.4,31.7,3.6,9.3,15.0,7.3,7.22,1,-1.09,-0.91,0.31,-0.5
3,61.5,13.7,0.04,3.9,31.6,9.6,16.4,23.3,10.8,7.58,0,-0.12,-0.86,0.46,-0.63
4,57.4,13.4,0.0,4.7,73.9,14.6,21.3,28.0,15.0,9.09,0,0.45,-0.01,0.56,-0.59
5,71.9,9.9,0.0,4.6,122.8,21.7,26.6,31.6,23.3,10.18,2,-0.42,-0.82,-0.68,-0.36
6,68.6,9.5,0.0,4.3,114.2,24.5,29.2,34.0,31.6,10.44,0,-0.53,-0.5,-0.5,-0.06
7,63.2,8.5,0.0,3.8,130.6,22.9,27.1,31.4,29.1,11.03,0,-0.39,-0.11,-0.33,0.32
8,59.5,9.1,0.0,2.9,126.3,17.1,21.6,26.2,20.7,11.9,0,0.6,0.07,-0.23,0.43
9,65.5,9.8,0.0,2.0,28.1,11.2,16.1,21.0,14.2,6.39,0,1.39,0.21,-0.22,0.38
10,62.2,8.6,3.44,1.3,39.7,6.0,10.3,14.6,9.9,9.79,0,0.81,-0.09,-0.14,0.26
11,43.0,9.2,22.73,1.0,11.0,-1.9,2.7,7.3,5.3,5.97,2,0.54,0.74,-0.15,0.2
12,28.9,12.2,27.59,1.3,1.1,-6.4,-0.3,5.8,3.3,0.95,1,-0.76,1.07,-0.01,0.29
13,46.1,12.9,21.07,1.8,18.3,-2.3,4.2,10.7,5.0,6.14,3,-2.11,-0.72,-0.34,-0.05
14,44.5,14.8,15.26,3.0,1.2,1.0,8.4,15.8,5.5,1.17,0,-1.32,-0.81,-0.23,0.05
15,58.9,13.8,2.1,3.6,38.6,6.9,13.8,20.7,9.4,8.35,3,-1.74,-1.88,-0.67,-0.15
16,59.5,14.5,0.0,4.9,13.8,14.0,21.2,28.5,13.6,4.15,0,-0.61,-1.36,-0.84,-0.21
17,60.1,11.6,0.0,5.0,113.7,19.5,25.3,31.1,20.6,9.84,0,-0.52,-1.0,-0.29,-0.6
18,73.1,9.2,0.0,4.0,183.6,23.6,28.2,32.8,30.4,13.33,0,0.99,-0.0,0.46,-0.04
19,65.9,8.4,0.0,3.5,226.8,22.1,26.3,30.5,29.0,14.22,0,1.15,0.57,0.33,-0.04
20,65.1,9.0,0.0,2.8,102.6,17.3,21.8,26.3,21.0,10.97,0,1.82,0.81,0.45,0.11
21,56.6,10.1,0.0,2.1,52.4,10.2,15.2,20.3,13.3,8.86,0,1.84,1.72,0.65,0.3
22,60.2,8.0,7.82,1.3,78.6,3.8,7.8,11.8,8.0,13.34,0,1.77,1.7,0.64,0.34
23,40.9,9.8,20.52,1.1,12.2,-1.0,3.9,8.8,5.7,6.31,4,1.48,2.0,0.6,0.29
24,12.3,12.8,28.32,1.5,0.0,-7.3,-0.9,5.5,2.3,0.01,3,-1.71,1.22,0.49,0.3
25,39.2,13.7,23.38,1.9,2.0,-4.6,2.3,9.2,3.7,1.85,0,-1.21,1.04,0.86,0.34
26,45.6,12.3,10.53,2.6,45.1,2.8,8.9,15.1,7.0,8.46,0,0.6,1.18,1.2,0.66
27,81.9,8.8,0.18,2.6,59.4,9.1,13.5,17.9,11.1,10.11,0,2.41,1.83,2.19,1.25
28,83.0,8.8,0.0,3.0,169.2,15.0,19.4,23.8,17.5,13.39,1,1.94,1.4,2.02,0.99
29,63.3,11.1,0.0,4.8,54.9,20.0,25.5,31.1,21.1,6.93,0,2.38,2.21,2.64,1.75
