date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,51.2,10.1,23.68,1.4,19.7,-2.6,2.5,7.6,4.4,6.19,3,-1.93,-0.4,0.26,-0.36
1,64.3,11.5,16.43,1.9,8.1,-0.1,5.7,11.5,5.7,4.03,0,-0.7,-0.37,-0.05,-0.37
2,79.9,8.5,3.91,2.1,89.4,5.8,10.0,14.3,8.8,13.2,2,-0.99,-0.69,-0.13,-0.45
3,67.9,11.2,0.0,3.3,47.3,11.3,16.9,22.5,13.0,9.09,1,-0.57,-1.35,-0.42,-0.87
4,61.4,11.7,0.0,4.1,76.8,15.5,21.3,27.2,17.4,9.8,0,-1.2,-1.33,-1.29,-1.04
5,69.4,9.3,0.0,4.2,106.0,22.1,26.7,31.4,26.2,9.53,2,-1.3,-1.44,-1.53,-0.75
6,65.2,9.7,0.0,4.4,110.8,24.7,29.5,34.4,32.1,9.79,0,-0.89,-1.0,-1.05,-0.47
7,62.5,8.3,0.0,3.9,139.5,23.9,28.0,32.2,31.1,11.41,0,-0.25,-0.86,-0.88,-0.18
8,64.3,7.8,0.0,2.9,132.4,18.5,22.4,26.3,22.2,13.3,0,0.69,-0.6,-0.75,-0.03
9,60.1,8.7,0.0,2.2,52.9,13.0,17.3,21.7,15.3,8.86,0,1.29,-0.11,-0.78,-0.07
10,70.3,6.4,0.38,1.4,82.8,8.7,11.9,15.1,11.0,12.1,0,0.85,0.14,-0.68,-0.19
11,56.1,7.8,15.26,1.1,26.3,1.0,4.9,8.8,6.3,8.79,2,0.53,0.84,-0.72,-0.3
12,36.2,10.5,24.82,1.4,11.0,-3.6,1.7,7.0,4.0,4.6,1,-1.06,0.69,-0.61,-0.28
13,52.6,12.6,16.67,2.0,32.5,-0.2,6.1,12.4,5.8,7.96,4,-2.37,-0.95,-1.11,-0.82
14,53.6,12.3,9.03,2.7,8.2,3.4,9.5,15.7,7.0,4.24,0,-1.31,-0.81,-0.89,-0.7
15,64.9,11.3,0.38,3.0,91.8,8.7,14.3,20.0,11.4,12.31,1,-1.22,-1.45,-0.94,-0.87
16,71.2,11.0,0.0,3.8,60.8,15.3,20.8,26.3,16.8,8.8,0,-0.27,-1.36,-0.79,-1.27
17,70.5,9.2,0.0,4.1,140.2,20.6,25.2,29.8,23.7,10.87,0,-0.12,-0.72,-0.14,-1.11
18,70.7,8.2,0.0,4.0,202.0,24.5,28.6,32.7,31.8,13.16,0,0.74,-0.04,0.27,-0.6
19,58.9,8.0,0.0,3.8,204.2,22.9,26.9,30.9,30.2,13.74,0,1.15,0.63,0.2,-0.52
20,65.2,8.5,0.0,2.9,125.8,18.3,22.5,26.8,22.4,13.15,0,1.2,0.52,0.12,-0.51
21,59.0,9.1,0.0,2.2,39.1,12.0,16.5,21.1,14.7,7.69,0,1.25,1.17,0.18,-0.49
22,63.2,7.7,3.95,1.4,98.8,5.7,9.5,13.4,9.1,12.95,0,0.83,1.39,0.15,-0.4
23,46.2,9.7,15.52,1.3,29.0,0.9,5.7,10.6,6.5,9.17,4,0.37,1.24,0.03,-0.5
24,24.0,13.0,26.39,1.7,0.1,-5.1,1.4,7.9,2.9,0.2,3,-2.0,0.08,-0.08,-0.51
25,47.0,12.7,20.74,2.1,13.1,-2.0,4.4,10.8,4.5,5.01,0,-1.38,-0.24,0.44,-0.52
26,53.2,10.0,5.43,2.4,95.3,5.0,10.0,15.0,8.4,13.67,0,0.65,0.72,0.79,-0.11
27,82.4,8.2,0.0,2.4,130.0,10.4,14.5,18.6,12.9,14.41,0,2.07,1.3,1.72,0.57
28,83.8,7.3,0.0,2.7,215.3,16.7,20.3,24.0,20.2,15.6,3,1.19,0.54,1.35,0.38
29,67.9,10.2,0.0,4.2,48.0,20.1,25.2,30.3,23.1,6.45,0,1.21,1.23,1.67,1.05
30,77.3,7.7,0.0,3.6,271.3,23.7,27.5,31.4,30.4,15.09,0,1.17,1.91,1.84,1.51
31,74.7,7.0,0.0,3.2,266.9,23.6,27.1,30.6,31.2,15.64,0,2.01,2.03,1.74,1.39
32,63.4,7.1,0.0,3.0,94.0,19.5,23.0,26.6,22.6,11.36,2,1.22,1.52,1.51,1.19
33,50.0,11.6,0.0,2.6,7.2,10.7,16.5,22.3,12.9,3.4,1,-0.78,0.62,1.17,0.98
34,58.9,9.1,2.1,1.6,25.7,6.9,11.4,16.0,10.2,6.95,0,-1.27,1.37,1.17,0.96
35,50.3,9.7,17.66,1.2,19.5,0.1,4.9,9.8,6.1,7.64,0,-0.11,1.05,1.46,1.11
36,69.1,6.1,17.66,1.1,46.5,0.1,3.1,6.2,5.6,9.39,0,1.61,0.2,1.92,1.42
37,79.3,5.1,23.22,1.1,92.8,-3.6,-1.0,1.6,4.0,12.97,0,1.48,0.01,1.88,1.66
38,65.1,8.9,5.03,2.1,59.6,5.2,9.6,14.1,8.9,11.05,0,3.03,2.31,2.31,2.15
39,87.9,6.7,0.0,2.3,243.9,13.2,16.5,19.9,15.5,19.16,0,2.42,2.53,2.29,2.57
40,70.6,8.4,0.0,3.4,214.6,16.1,20.3,24.5,18.4,15.91,0,2.15,2.15,2.71,2.47
41,72.7,9.2,0.0,4.1,102.6,20.3,24.9,29.5,22.5,9.24,2,0.13,1.5,1.82,2.16
42,65.1,9.0,0.0,4.4,115.2,24.6,29.1,33.6,31.1,10.15,0,-1.09,0.95,0.95,1.91
43,57.9,9.2,0.0,4.0,112.9,23.0,27.6,32.2,30.5,9.84,0,-0.99,0.91,0.82,1.76
44,75.4,7.3,0.0,2.8,66.5,19.4,23.0,26.7,22.8,9.69,0,0.77,0.45,1.48,2.1
45,79.6,5.7,0.0,1.8,140.8,14.2,17.0,19.9,16.2,13.99,2,0.72,-0.6,1.38,1.83
46,45.1,10.0,3.78,1.8,7.2,5.8,10.8,15.8,8.8,3.98,1,0.74,-0.59,1.37,1.8
47,51.2,9.2,17.13,1.3,13.2,0.3,4.9,9.5,5.7,6.42,0,-1.38,0.01,1.26,1.92
48,51.7,9.6,20.01,1.3,27.9,-0.8,4.0,8.8,5.5,7.43,0,-0.06,0.58,1.03,2.12
49,71.3,7.5,12.57,1.4,54.8,1.5,5.2,9.0,6.6,10.19,1,-0.29,0.39,0.95,1.96
50,59.6,11.1,9.03,2.5,47.1,3.4,8.9,14.5,7.0,9.51,0,0.48,-0.4,0.24,1.86
51,78.3,8.4,0.08,2.5,111.1,9.4,13.6,17.8,11.8,13.49,3,-0.69,-0.62,-0.9,1.12
52,55.2,12.4,0.0,4.3,39.6,15.3,21.5,27.7,17.3,7.38,2,-1.18,-1.13,-1.15,1.2
53,66.5,11.4,0.0,4.5,73.0,19.2,24.9,30.6,21.0,7.69,0,-0.63,-0.28,-0.23,1.12
54,77.6,8.2,0.0,3.6,249.0,23.7,27.8,31.9,31.0,13.83,0,0.39,-0.07,0.19,0.72
55,65.1,8.5,0.0,3.5,167.3,21.8,26.0,30.3,28.4,12.45,2,0.58,-0.3,-0.09,0.48
56,54.3,11.1,0.0,3.4,39.6,16.3,21.8,27.4,19.5,7.59,0,-0.02,-0.51,-0.56,0.69
57,57.4,10.0,0.0,2.3,62.8,12.4,17.4,22.4,15.3,9.67,0,-0.36,0.07,-0.29,0.81
58,58.1,8.8,1.97,1.5,55.0,7.0,11.4,15.8,10.5,9.91,1,0.13,0.54,-0.32,0.8
59,47.4,9.3,20.52,1.3,12.6,-1.0,3.7,8.4,5.0,6.09,0,-0.11,-0.1,-0.31,0.7
60,52.3,9.6,21.52,1.2,27.0,-1.4,3.4,8.2,5.5,7.21,1,-1.01,-0.88,-0.51,0.36
61,59.2,12.1,15.95,1.8,26.1,0.1,6.1,12.2,6.5,7.33,0,0.69,0.54,-0.08,0.61
62,69.0,9.6,5.23,2.1,121.3,5.1,9.9,14.7,9.1,14.77,0,0.63,0.46,-0.25,-0.05
63,75.0,9.2,0.0,2.7,81.0,10.5,15.1,19.7,12.9,11.7,0,0.6,0.09,0.07,-0.56
64,69.9,9.9,0.0,3.8,83.1,15.6,20.5,25.5,16.2,10.31,1,-0.73,-0.26,0.17,-0.65
65,68.3,10.2,0.0,4.4,88.1,20.4,25.5,30.6,22.5,8.45,1,-1.25,-0.71,-0.65,-0.58
66,68.6,9.6,0.0,4.1,116.4,23.6,28.4,33.2,30.7,10.18,4,-2.02,-1.32,-1.53,-0.97
67,41.7,11.6,0.0,5.0,27.2,23.2,29.0,34.8,29.0,5.08,4,-2.25,-1.97,-1.66,-1.25
68,43.1,13.0,0.0,3.9,8.7,15.0,21.5,28.0,16.7,3.66,1,-2.34,-2.12,-1.77,-1.57
69,53.4,12.0,0.0,2.6,28.4,11.1,17.1,23.1,13.6,6.58,0,-1.81,-2.21,-1.81,-1.51
70,51.9,11.1,5.06,1.9,41.3,5.1,10.6,16.2,8.1,8.76,0,-0.6,-2.12,-1.75,-1.47
71,71.2,7.1,20.52,1.1,32.4,-1.0,2.6,6.2,5.1,9.56,1,-0.45,-2.26,-1.79,-1.49
72,45.3,10.4,24.82,1.4,18.4,-3.6,1.6,6.8,4.0,6.01,0,0.28,-1.51,-1.65,-1.49
73,59.4,9.1,18.76,1.5,59.2,-1.1,3.5,8.1,5.4,10.46,0,0.35,-0.3,-1.86,-1.4
74,67.5,9.9,8.08,2.1,76.6,3.8,8.7,13.7,8.2,12.36,0,1.01,0.58,-1.87,-1.42
75,78.4,8.6,0.0,2.5,102.2,10.4,14.7,19.0,12.9,12.84,0,0.35,0.38,-1.9,-1.26
76,72.7,9.1,0.0,3.6,71.6,17.4,21.9,26.5,19.5,9.39,1,-0.31,-0.07,-1.86,-1.19
77,69.4,11.0,0.0,4.5,106.7,21.1,26.6,32.1,24.1,8.32,1,-1.01,-0.34,-1.8,-1.54
78,71.9,9.0,0.0,3.9,128.7,23.5,28.0,32.5,30.9,10.69,2,-1.27,-0.84,-1.43,-1.79
79,41.6,10.9,0.0,4.9,95.2,24.4,29.8,35.3,32.8,9.13,0,-0.87,-0.82,-0.82,-1.62
80,59.7,10.3,0.0,3.2,109.5,16.8,21.9,27.1,19.9,12.36,0,-0.77,-1.12,-0.72,-1.65
81,48.8,10.6,0.0,2.6,41.7,11.1,16.4,21.7,12.8,8.07,0,1.36,-0.39,-0.14,-1.44
82,73.5,5.8,3.78,1.3,141.6,5.8,8.7,11.6,8.7,15.41,2,0.95,-0.38,-0.36,-1.5
83,31.1,9.5,25.04,1.3,0.5,-3.8,1.0,5.8,3.8,1.02,0,1.56,0.06,-0.28,-1.48
84,60.9,8.1,23.09,1.2,30.1,-2.1,2.0,6.1,4.6,7.62,3,-1.75,0.38,-0.61,-1.54
85,51.2,11.1,23.11,1.8,0.6,-3.5,2.1,7.7,3.8,0.72,1,-1.51,-0.22,-0.83,-1.75
86,68.3,10.3,4.84,2.5,50.3,5.3,10.4,15.6,8.0,10.08,1,-1.61,-0.44,-1.21,-1.86
87,58.3,11.6,0.0,3.4,55.9,10.0,15.8,21.6,11.9,9.76,0,-0.98,-1.57,-1.21,-1.86
88,68.4,10.2,0.0,3.7,77.5,15.6,20.7,25.8,17.6,9.98,1,-1.11,-1.63,-1.26,-1.88
89,60.3,12.1,0.0,4.9,116.9,20.3,26.3,32.4,22.0,9.19,0,0.41,-0.47,-0.36,-1.4
90,61.1,7.4,0.0,4.1,294.9,23.2,26.9,30.6,29.2,15.37,0,0.48,-0.14,0.04,-0.99
91,56.7,8.3,0.0,4.0,131.8,22.6,26.7,30.9,28.5,11.13,0,0.72,-0.16,-0.21,-0.73
92,59.1,8.7,0.0,3.2,69.8,18.3,22.6,27.0,21.1,9.94,0,0.02,0.25,0.05,-0.53
93,51.1,9.8,0.0,2.3,80.8,10.5,15.4,20.3,13.0,10.5,1,-0.17,0.25,-0.63,-0.59
94,53.3,10.2,2.24,1.7,20.8,6.8,11.9,17.0,10.0,6.33,0,0.81,0.99,-0.29,-0.47
95,73.8,5.8,7.61,1.0,66.6,4.0,6.9,9.8,7.9,13.39,0,1.58,0.83,0.01,-0.2
96,64.2,6.9,24.03,1.0,83.2,-2.9,0.6,4.1,4.5,12.18,0,2.37,1.35,0.41,-0.17
97,72.0,6.3,22.32,1.1,55.3,-3.5,-0.3,2.9,4.3,10.26,0,1.29,1.46,0.47,-0.29
98,71.1,8.6,8.31,1.9,38.7,3.7,8.0,12.3,8.0,8.95,0,1.25,1.75,1.11,-0.12
99,63.9,9.7,0.0,2.9,154.7,10.4,15.2,20.1,12.9,15.53,0,0.77,1.63,1.26,-0.0
100,61.0,9.6,0.0,3.8,108.3,17.0,21.8,26.6,19.7,11.67,2,0.12,0.7,1.17,-0.11
101,64.4,9.8,0.0,4.4,71.1,19.8,24.7,29.6,21.4,7.93,0,0.75,1.09,1.37,0.68
102,70.5,7.7,0.0,3.7,330.0,23.2,27.0,30.9,30.2,16.07,0,0.49,0.73,1.21,0.83
103,60.9,8.5,0.0,3.9,113.6,23.2,27.4,31.7,30.0,10.39,0,1.79,1.33,1.67,1.09
104,64.7,8.0,0.0,2.9,173.0,18.9,22.9,26.9,22.9,14.95,3,0.14,0.59,1.27,0.93
105,41.1,10.6,0.0,2.6,2.7,12.1,17.4,22.7,14.4,2.2,0,0.29,0.47,1.29,0.48
106,53.4,9.4,7.36,1.7,29.3,4.0,8.7,13.4,7.2,7.51,1,-1.56,0.95,0.99,0.51
107,41.0,11.1,22.25,1.5,10.9,-1.7,3.9,9.5,4.5,5.7,2,-1.45,-0.58,0.56,0.4
108,48.6,9.1,24.6,1.3,7.5,-3.4,1.2,5.8,4.0,4.02,0,-0.9,-0.26,0.48,0.63
109,65.5,9.5,14.51,1.7,58.2,0.7,5.4,10.2,6.0,10.5,0,-0.43,-1.58,0.55,0.7
110,81.0,7.0,9.77,1.8,45.9,3.1,6.6,10.1,6.7,9.71,0,0.42,-0.5,0.32,0.94
111,64.8,9.8,0.01,2.9,104.9,9.8,14.7,19.6,12.1,13.09,0,0.82,0.35,0.57,1.18
112,78.2,8.8,0.0,3.3,137.9,16.5,20.9,25.3,18.8,12.76,0,0.79,0.53,1.01,1.34
113,76.7,8.4,0.0,3.6,118.9,19.6,23.8,28.0,22.9,9.83,0,0.43,0.52,0.12,0.97
114,66.6,8.4,0.0,4.0,181.4,23.0,27.2,31.4,29.5,12.58,0,-0.18,0.28,0.14,0.89
115,54.3,8.2,0.0,4.1,120.2,23.7,27.8,31.9,30.5,10.68,0,0.74,0.92,0.18,1.33
116,76.0,5.7,0.0,2.5,176.3,19.0,21.8,24.7,22.5,15.32,0,1.11,0.86,0.54,1.26
117,57.3,9.1,0.0,2.3,63.8,12.8,17.3,21.9,14.9,9.8,1,1.13,0.37,0.43,1.25
118,53.3,10.1,5.66,1.7,13.0,4.8,9.8,14.9,8.5,4.99,0,-0.47,0.41,0.53,1.09
119,56.5,8.3,15.79,1.2,21.2,0.8,4.9,9.1,6.1,7.99,0,-0.96,0.55,0.63,0.84
120,41.3,9.5,23.21,1.3,28.5,-2.2,2.6,7.4,4.9,7.56,0,-0.27,0.9,0.56,0.73
121,68.1,7.5,17.84,1.5,38.0,-0.7,3.1,6.9,5.1,8.68,0,-0.36,-0.65,0.56,0.76
122,61.4,9.1,9.28,2.1,51.4,3.3,7.8,12.4,7.4,10.27,0,-0.36,-0.81,0.43,0.47
123,71.0,9.1,0.0,2.8,70.8,10.7,15.2,19.8,12.9,10.98,0,0.02,-0.12,0.21,0.49
124,56.1,10.2,0.0,4.0,121.0,15.8,20.9,26.0,17.6,11.9,0,1.5,1.18,1.15,1.33
125,79.5,7.8,0.0,3.5,274.2,21.2,25.1,29.0,25.8,14.64,3,0.39,0.16,0.44,0.33
126,54.7,9.4,0.0,4.9,83.3,25.1,29.8,34.5,31.7,8.62,0,0.33,0.23,0.6,0.42
127,63.4,8.5,0.0,3.8,142.3,22.9,27.1,31.4,28.7,11.75,0,-0.7,0.48,0.19,0.21
128,67.4,8.0,0.0,2.9,117.5,17.8,21.8,25.8,20.4,12.48,0,0.88,0.71,0.28,0.52
129,56.9,9.2,0.0,2.2,79.7,10.9,15.5,20.1,13.3,10.53,0,0.88,0.64,0.41,0.57
130,43.3,10.3,4.31,1.7,42.8,5.5,10.6,15.8,9.1,8.88,0,0.23,-0.55,0.36,0.64
131,41.6,9.3,20.52,1.3,16.5,-1.0,3.7,8.4,4.9,7.11,0,-0.22,0.68,0.41,0.74
132,69.3,7.6,21.52,1.1,33.6,-1.4,2.4,6.2,5.3,8.07,0,0.28,0.9,0.52,0.76
133,82.3,5.5,21.26,1.1,44.9,-1.9,0.9,3.7,4.8,9.29,0,1.89,1.56,1.07,1.13
134,68.3,8.4,4.45,2.0,149.6,5.5,9.7,13.9,9.0,16.73,1,1.07,0.75,0.96,0.91
135,65.7,9.5,0.0,2.9,45.1,10.2,14.9,19.7,12.6,8.55,0,0.82,0.78,0.98,0.76
136,75.2,8.7,0.0,3.4,103.0,16.0,20.3,24.7,17.5,11.25,0,0.61,1.31,0.56,1.07
137,69.4,9.7,0.0,4.3,218.2,21.3,26.1,31.0,24.1,13.28,0,0.87,1.12,1.32,1.12
138,70.8,7.5,0.0,3.8,193.5,23.2,26.9,30.7,29.2,12.48,0,0.69,0.9,1.17,1.16
139,61.5,7.7,0.0,3.8,127.4,23.0,26.8,30.7,28.8,10.83,1,-0.17,0.19,0.84,0.68
140,58.9,9.6,0.0,3.1,56.0,16.4,21.2,26.0,19.5,8.99,0,-0.13,0.55,0.78,0.7
141,59.0,9.8,0.0,2.3,76.7,11.5,16.4,21.3,14.0,10.56,0,0.64,0.81,1.01,1.01
142,58.0,7.9,2.24,1.5,89.9,6.8,10.7,14.7,9.9,12.54,0,1.13,0.36,1.07,1.04
143,56.8,7.8,15.26,1.2,22.7,1.0,4.9,8.8,5.9,8.06,0,1.06,0.38,1.06,1.05
144,70.6,6.1,18.19,1.1,31.0,-0.1,3.0,6.1,5.6,7.85,0,0.65,0.86,1.1,1.16
145,78.1,5.7,10.2,1.2,57.7,2.5,5.3,8.2,7.2,10.3,0,0.51,1.19,0.64,1.18
146,70.9,8.0,3.06,2.1,55.2,6.3,10.3,14.3,9.3,10.65,0,2.12,2.07,1.52,1.64
147,79.8,8.7,0.0,2.7,208.7,12.2,16.5,20.9,14.4,17.62,0,1.28,1.31,1.45,1.56
148,78.5,7.1,0.0,3.1,73.2,16.0,19.5,23.1,17.4,9.7,0,1.32,1.27,1.19,1.1
149,71.5,8.3,0.0,3.9,140.4,20.6,24.7,28.9,23.5,10.79,0,0.09,1.02,1.1,1.51
150,73.3,7.5,0.0,3.6,174.6,23.6,27.3,31.1,30.9,12.42,2,-0.48,0.36,0.69,1.22
151,46.2,9.0,0.0,4.5,76.5,23.7,28.2,32.7,30.1,8.59,0,-0.15,0.7,1.08,1.29
152,66.2,7.5,0.0,2.7,131.5,17.3,21.0,24.8,20.9,13.33,1,-0.57,-0.32,0.79,1.07
153,64.3,9.1,0.0,2.2,18.4,11.7,16.2,20.8,13.4,5.43,3,-0.39,-0.65,0.22,0.88
154,40.3,12.4,5.86,2.2,2.5,4.7,10.9,17.1,7.4,2.07,3,-1.94,-1.1,0.01,0.79
155,26.5,12.6,22.97,1.7,0.1,-2.0,4.3,10.6,3.9,0.25,0,-2.01,-1.38,-0.01,0.76
156,58.0,8.0,23.33,1.2,31.3,-2.3,1.7,5.7,4.6,7.58,0,-0.52,-0.67,-0.05,0.76
157,65.7,7.9,18.07,1.4,55.0,-0.8,3.2,7.2,5.6,10.23,0,0.35,-1.51,-0.04,0.41
158,65.1,9.9,7.15,2.3,65.0,4.2,9.1,14.1,7.5,11.48,0,0.86,-0.55,-0.52,0.72
159,53.0,11.0,0.0,3.7,146.9,11.7,17.2,22.7,12.8,15.08,0,1.73,1.39,0.31,1.16
160,65.7,9.2,0.0,3.5,233.1,16.7,21.3,25.9,20.5,16.43,1,1.31,1.22,-0.04,0.75
161,66.0,9.1,0.0,4.3,94.6,20.4,24.9,29.5,22.1,8.79,1,0.42,0.69,-0.28,0.53
162,74.4,7.9,0.0,3.6,124.5,23.0,26.9,30.9,29.9,10.59,0,-0.62,0.61,0.26,0.57
163,55.5,9.0,0.0,4.1,155.9,22.0,26.5,31.0,27.0,11.58,1,-0.62,0.37,-0.29,0.54
164,59.0,10.7,0.0,3.4,56.7,17.2,22.5,27.9,20.0,9.1,0,0.39,0.46,0.19,0.64
165,70.7,8.4,0.0,2.1,104.8,12.0,16.2,20.4,13.9,11.94,0,0.26,-0.45,0.44,0.44
166,64.5,8.3,1.84,1.5,35.3,7.1,11.2,15.4,10.3,8.08,0,1.34,0.07,0.81,0.59
167,70.3,4.9,16.06,0.9,49.3,0.7,3.1,5.6,5.8,11.73,2,0.15,0.4,0.7,0.49
168,60.0,8.2,18.71,1.1,6.8,-0.3,3.8,7.9,6.0,3.78,0,0.26,0.3,0.59,0.37
169,56.4,8.6,14.02,1.7,44.1,0.9,5.2,9.5,5.7,9.3,2,-1.29,0.3,0.42,0.26
170,63.1,9.4,4.84,2.5,35.2,5.3,10.0,14.7,7.7,8.7,0,0.42,0.44,0.62,0.03
171,77.9,8.2,0.0,2.7,144.9,11.2,15.3,19.4,12.6,15.15,1,-0.08,0.02,-0.43,-0.1
172,71.8,8.6,0.0,3.5,49.3,15.4,19.7,24.0,16.3,8.02,0,1.51,0.9,0.65,0.39
173,73.3,8.5,0.0,4.1,272.9,21.2,25.4,29.7,23.4,14.51,0,0.64,0.68,0.81,0.32
174,75.2,7.5,0.0,3.6,151.3,23.7,27.4,31.2,30.8,11.64,0,1.25,0.94,0.98,0.79
175,60.5,6.8,0.0,3.8,190.9,24.2,27.6,31.0,30.7,13.25,0,0.72,1.39,1.34,0.74
176,65.1,7.6,0.0,2.9,123.8,20.3,24.1,27.9,25.3,12.79,0,2.19,1.63,1.5,1.22
177,64.6,6.7,0.0,2.0,154.1,13.8,17.1,20.5,15.9,14.47,1,1.53,1.75,1.41,1.35
178,60.5,8.3,3.28,1.6,14.9,6.1,10.2,14.4,9.0,4.74,0,1.6,1.39,1.41,1.58
179,37.4,8.8,21.77,1.2,49.4,-1.5,2.9,7.3,4.9,11.74,4,-0.94,1.68,1.33,1.45
180,44.6,10.3,23.33,1.6,5.4,-2.3,2.9,8.1,3.9,2.63,0,0.8,1.77,1.54,1.55
181,66.0,7.6,12.52,1.5,87.4,1.7,5.5,9.3,6.6,12.61,1,-0.41,1.1,1.64,1.46
182,74.4,8.2,6.93,2.0,28.6,4.3,8.4,12.5,7.8,7.77,0,0.29,-0.28,1.37,1.32
183,73.8,9.7,0.04,2.8,82.2,9.6,14.4,19.3,11.8,11.73,0,-0.38,0.02,1.55,0.78
184,66.0,9.5,0.0,3.8,91.2,16.3,21.0,25.8,17.4,10.63,0,-0.12,-0.25,0.86,0.94
185,72.0,8.4,0.0,4.0,123.7,20.5,24.7,28.9,22.6,10.2,2,-1.05,-0.7,0.4,0.75
186,65.0,9.0,0.0,4.0,81.5,22.0,26.5,31.0,27.8,8.6,0,-1.01,-1.0,-0.02,0.61
187,63.2,8.2,0.0,3.9,117.5,23.3,27.4,31.5,28.9,10.47,0,-1.21,-0.97,-0.42,0.66
188,59.4,9.5,0.0,3.2,63.8,17.2,21.9,26.7,19.7,9.6,0,-0.7,-1.11,-1.04,0.34
189,51.4,10.4,0.0,2.5,38.3,12.2,17.4,22.6,14.2,7.38,0,-0.78,-1.19,-0.97,0.3
190,50.9,9.6,10.43,1.6,28.0,2.7,7.5,12.3,7.0,7.36,1,-0.92,-1.41,-1.19,0.12
191,54.2,9.7,18.71,1.4,12.5,-0.3,4.6,9.5,5.1,6.15,0,-0.94,-1.03,-1.06,0.15
192,73.5,6.4,25.15,1.0,17.4,-3.9,-0.7,2.5,3.7,5.68,3,-1.69,-1.52,-1.45,-0.02
193,52.0,10.9,20.32,1.9,4.1,-1.8,3.7,9.2,4.3,2.2,0,-0.87,-1.3,-1.32,0.18
194,59.7,9.8,3.06,2.7,93.7,6.3,11.2,16.1,8.2,13.51,0,1.3,0.56,-0.81,0.39
195,75.5,8.4,0.0,2.8,199.5,12.4,16.6,20.8,14.3,17.52,0,1.91,1.21,-0.37,0.82
196,82.2,7.1,0.0,2.8,143.9,15.7,19.2,22.8,18.1,13.01,3,1.09,0.63,-0.84,-0.0
197,69.0,9.1,0.0,4.2,52.3,20.6,25.1,29.7,22.6,6.75,0,0.35,0.82,0.11,0.29
198,75.1,7.4,0.0,3.7,226.6,24.4,28.1,31.8,31.5,13.87,0,-0.38,0.91,0.13,-0.01
199,63.8,7.6,0.0,3.6,109.9,22.4,26.2,30.0,27.9,10.19,0,0.42,0.9,0.3,-0.13
200,61.0,8.0,0.0,3.1,97.8,18.5,22.5,26.5,21.5,11.56,0,0.22,0.32,0.52,-0.45
201,53.9,9.7,0.0,2.5,82.9,13.8,18.6,23.5,16.1,11.0,0,0.59,-0.11,0.59,-0.35
202,41.7,10.2,4.87,1.8,52.9,5.2,10.3,15.4,8.6,9.88,0,0.68,0.66,0.76,-0.39
203,59.0,8.0,11.04,1.3,42.6,2.6,6.6,10.6,6.9,11.01,1,0.07,0.2,0.71,-0.31
