date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,46.9,12.2,29.61,1.4,2.3,-9.2,-3.1,3.0,1.1,3.26,2,-1.47,-0.83,-0.8,-1.09
1,48.9,13.5,24.52,1.9,2.2,-5.9,0.9,7.7,2.1,2.91,0,-0.67,-0.46,-0.96,-1.14
2,75.5,10.3,14.19,2.3,18.4,1.4,6.5,11.7,4.9,6.61,1,-0.71,-0.67,-0.93,-1.06
3,57.5,13.7,2.24,3.8,33.1,6.8,13.6,20.5,7.3,8.54,0,-0.4,-0.82,-0.89,-1.19
4,56.8,14.2,0.0,4.5,49.5,11.1,18.2,25.3,10.4,9.65,0,0.79,0.49,0.13,-1.11
5,72.3,9.9,0.0,4.1,105.7,17.3,22.2,27.2,16.4,13.14,1,0.58,0.14,-0.09,-0.73
6,66.0,9.4,0.0,3.9,101.6,20.2,24.9,29.6,23.7,12.75,0,0.33,0.09,-0.45,-0.97
7,57.6,9.5,0.0,3.6,90.4,18.2,22.9,27.7,21.3,12.11,0,-0.56,0.04,-0.18,-0.76
8,56.0,10.1,0.0,2.8,84.7,12.5,17.5,22.6,14.3,13.22,0,1.33,1.27,0.93,0.13
9,77.8,6.3,0.66,1.6,137.1,8.3,11.4,14.6,9.9,17.15,0,1.94,1.61,1.12,0.25
10,57.3,7.9,12.19,1.3,43.6,2.0,5.9,9.9,6.2,9.89,0,2.47,1.12,1.14,0.19
11,37.8,10.6,27.92,1.2,1.1,-6.8,-1.5,3.8,2.5,2.14,0,1.07,1.5,1.15,0.17
12,29.2,11.9,29.98,1.3,1.9,-9.9,-3.9,2.1,1.4,2.85,0,-0.09,1.91,1.26,0.31
13,46.1,12.8,24.43,1.7,11.1,-5.8,0.6,7.0,2.7,6.08,3,-1.54,2.15,0.96,-0.03
14,45.2,14.6,22.73,2.9,0.8,-1.9,5.4,12.7,2.9,0.86,2,-1.55,-0.67,0.87,-0.06
15,57.5,13.8,7.36,3.5,15.0,4.0,10.9,17.8,5.7,5.67,3,-1.99,-1.95,0.62,-0.2
16,57.8,14.8,0.0,4.6,19.9,10.7,18.1,25.5,9.0,6.42,0,-1.32,-1.65,-0.06,0.03
17,56.9,12.3,0.0,4.8,55.1,15.9,22.0,28.2,13.7,9.7,0,-0.45,-1.13,0.39,0.18
18,71.1,9.7,0.0,3.8,142.4,19.4,24.2,29.1,22.5,14.71,0,0.64,-0.55,0.87,0.29
19,59.5,9.0,0.0,3.5,139.7,17.7,22.2,26.7,20.8,14.96,0,1.15,0.18,1.17,0.66
20,57.7,10.6,0.0,2.7,112.0,12.2,17.5,22.8,14.7,14.83,0,1.21,0.59,0.28,0.78
21,61.7,8.7,2.04,1.8,49.8,7.0,11.3,15.7,9.3,10.91,0,1.6,1.52,0.53,1.08
22,63.1,7.5,18.11,1.2,68.6,-0.3,3.5,7.3,4.8,12.15,0,1.68,1.71,0.53,1.08
23,37.1,11.0,27.14,1.2,1.3,-5.9,-0.4,5.1,2.9,2.0,4,1.59,1.57,0.4,1.02
24,14.5,13.4,30.34,1.6,0.0,-10.7,-4.0,2.7,0.4,0.01,3,-2.02,1.2,0.25,1.0
25,38.6,14.4,26.05,1.9,0.0,-8.0,-0.8,6.4,1.6,0.1,0,-1.32,1.08,0.55,0.98
26,47.5,12.3,18.19,2.6,24.8,-0.1,6.1,12.3,4.4,7.64,0,0.73,1.43,1.06,1.28
27,78.6,8.4,3.61,2.6,48.3,5.9,10.1,14.3,7.5,10.28,0,2.86,2.24,2.18,1.89
28,73.5,9.2,0.0,3.0,135.3,11.3,15.9,20.5,13.1,15.52,0,2.26,1.77,2.2,1.59
29,59.5,13.0,0.0,4.7,49.5,15.6,22.1,28.6,14.9,8.94,0,1.51,1.56,2.09,1.61
30,62.7,10.1,0.0,4.1,121.1,18.9,23.9,29.0,21.1,13.45,0,0.27,1.79,2.13,1.89
31,72.9,8.3,0.0,3.2,135.5,19.0,23.1,27.3,22.3,14.65,0,1.24,2.19,2.4,2.24
32,77.7,7.3,0.0,2.2,129.2,13.6,17.2,20.9,15.2,15.92,3,0.94,1.58,1.89,1.52
33,39.9,13.5,5.85,2.3,5.6,4.8,11.5,18.3,7.6,3.8,0,0.5,0.43,1.51,1.37
34,47.1,10.7,17.6,1.5,21.8,-0.1,5.3,10.7,5.1,7.22,0,-0.92,0.71,1.58,1.41
35,35.1,10.7,28.01,1.2,10.7,-6.9,-1.5,3.9,2.5,5.94,0,0.86,1.07,1.74,1.47
36,57.5,7.8,28.17,1.1,8.2,-7.1,-3.2,0.7,2.3,6.08,0,1.77,0.93,1.91,1.53
37,72.6,6.7,27.36,1.3,11.3,-8.6,-5.2,-1.9,1.3,6.16,0,1.8,0.23,2.0,1.77
38,64.4,9.8,16.59,2.0,22.7,0.5,5.4,10.3,5.3,7.2,0,2.61,2.44,2.34,2.26
39,85.2,7.9,1.17,2.2,83.5,7.7,11.6,15.6,10.0,12.94,0,3.19,3.1,2.08,2.67
40,69.4,9.7,0.0,3.4,114.8,11.8,16.6,21.5,12.4,14.3,2,2.2,2.38,2.0,2.61
41,59.7,13.1,0.0,4.7,28.6,15.3,21.8,28.4,13.9,7.3,0,2.07,2.73,2.68,2.79
42,73.2,8.2,0.0,3.5,215.1,19.4,23.5,27.6,22.4,18.02,0,0.98,2.35,2.5,2.72
43,61.1,9.2,0.0,3.4,105.0,18.1,22.7,27.3,22.0,13.13,0,2.15,2.66,2.65,3.02
44,80.4,5.9,0.0,2.0,133.8,13.7,16.6,19.6,15.5,16.32,0,1.94,2.61,3.0,3.23
45,79.1,5.5,0.19,1.5,101.4,9.1,11.8,14.6,10.7,15.02,1,1.93,2.0,2.97,3.07
46,46.9,10.3,17.09,1.5,7.3,0.1,5.2,10.4,5.2,4.15,0,1.55,2.39,2.97,3.09
47,40.2,10.1,27.41,1.2,2.9,-6.2,-1.1,4.0,2.6,3.37,1,-0.71,1.71,2.93,3.18
48,41.1,10.8,28.4,1.3,1.1,-7.4,-2.0,3.4,2.2,1.93,0,-0.2,1.88,2.8,3.18
49,56.4,10.6,23.65,1.6,5.5,-4.9,0.4,5.7,2.6,4.34,0,-0.31,1.33,2.69,3.12
50,47.8,12.9,22.25,2.6,20.2,-1.7,4.8,11.3,3.4,6.6,0,1.43,0.83,2.63,3.17
51,75.7,11.1,5.46,2.7,68.8,4.9,10.4,16.0,7.5,11.95,2,0.42,0.34,1.83,2.46
52,54.6,14.2,0.0,4.4,18.2,10.9,18.0,25.1,10.7,6.18,3,-0.49,-0.54,1.77,2.36
53,58.6,13.7,0.0,5.0,24.0,15.6,22.4,29.3,12.8,6.58,0,-1.15,-0.24,1.17,2.37
54,67.8,9.1,0.0,3.8,134.7,19.1,23.6,28.2,21.6,14.18,3,-1.31,-0.92,0.54,2.01
