date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,50.6,11.7,25.88,1.4,4.2,-4.6,1.3,7.2,3.7,2.77,3,-1.85,-0.32,-0.33,-1.14
1,59.3,13.9,20.32,1.9,2.4,-1.8,5.2,12.2,5.1,2.5,0,-0.91,-0.81,-0.62,-1.21
2,75.5,11.1,7.61,2.3,41.4,4.0,9.5,15.1,7.8,8.75,1,-0.88,-0.98,-0.57,-1.24
3,63.4,14.3,0.08,3.7,36.7,9.4,16.5,23.7,11.5,8.0,0,-0.35,-1.08,-0.52,-1.43
4,59.9,14.2,0.0,4.5,62.5,14.1,21.2,28.3,15.8,8.69,0,0.19,-0.14,-0.54,-1.5
5,74.4,10.7,0.0,4.5,123.9,21.5,26.8,32.2,23.5,10.01,3,-0.83,-1.06,-1.47,-1.24
6,68.9,10.2,0.0,4.3,80.8,24.1,29.2,34.3,31.3,8.94,1,-0.97,-0.99,-1.05,-1.0
7,58.6,9.2,0.0,3.8,97.4,22.2,26.8,31.4,29.0,9.76,0,-1.22,-0.89,-1.08,-0.75
8,58.8,10.2,0.0,2.9,92.2,16.3,21.4,26.5,20.6,11.12,0,-0.12,-0.61,-0.88,-0.57
9,70.5,10.2,0.0,1.9,47.2,10.9,16.0,21.1,14.6,8.39,0,1.1,-0.28,-0.73,-0.51
10,65.9,8.5,2.96,1.3,51.6,6.3,10.5,14.8,10.1,10.53,0,1.11,-0.69,-0.68,-0.62
11,46.0,9.5,22.01,1.1,9.5,-1.6,3.2,8.0,5.4,5.44,2,0.64,0.12,-0.68,-0.69
12,30.1,11.9,26.87,1.4,2.9,-5.6,0.4,6.4,3.5,2.22,1,-0.93,0.7,-0.58,-0.63
13,50.5,13.2,20.32,1.8,18.1,-1.8,4.8,11.4,5.4,6.39,3,-2.21,-0.44,-0.95,-1.05
14,47.5,15.0,14.45,2.9,1.4,1.3,8.8,16.3,6.0,1.49,0,-1.34,-0.78,-0.86,-0.95
15,61.4,14.2,2.37,3.4,46.0,6.7,13.8,20.9,10.1,8.74,2,-1.58,-1.79,-1.1,-1.05
16,63.8,14.7,0.0,4.5,23.6,13.5,20.8,28.2,14.5,5.35,0,-0.56,-1.39,-1.37,-1.24
17,63.9,12.1,0.0,4.8,99.3,19.5,25.5,31.6,20.9,9.15,0,-0.51,-1.02,-0.74,-1.37
18,72.2,9.6,0.0,4.0,166.4,23.4,28.2,33.0,30.4,12.56,0,0.53,-0.36,-0.02,-0.73
19,65.7,8.7,0.0,3.5,183.7,21.7,26.0,30.4,28.7,13.05,0,0.5,0.02,-0.1,-0.82
20,61.4,10.0,0.0,2.9,82.3,16.6,21.6,26.6,21.0,10.72,0,0.89,0.19,-0.12,-0.7
21,61.1,11.1,0.0,2.0,47.7,9.9,15.4,21.0,13.7,8.59,0,1.3,1.03,0.06,-0.47
22,64.4,8.5,7.82,1.3,82.9,3.8,8.0,12.3,8.3,12.96,0,1.58,1.04,0.05,-0.43
23,41.7,10.6,20.77,1.2,10.1,-1.1,4.2,9.5,5.8,5.93,4,1.31,1.24,-0.0,-0.49
24,15.8,13.4,27.84,1.6,0.0,-6.7,0.0,6.7,2.5,0.0,3,-2.0,0.48,-0.14,-0.51
25,42.8,14.2,22.62,2.0,2.6,-3.8,3.3,10.4,4.1,2.19,0,-1.42,0.69,0.24,-0.51
26,49.5,12.4,10.02,2.5,48.7,3.0,9.2,15.4,7.5,9.47,0,0.58,1.14,0.64,-0.16
27,84.3,9.2,0.27,2.4,69.7,8.9,13.5,18.1,11.7,10.72,0,2.43,1.86,1.8,0.68
28,80.7,9.1,0.0,2.9,196.0,14.9,19.4,24.0,18.4,14.65,0,2.08,1.58,1.76,0.45
29,64.6,12.0,0.0,4.8,70.9,19.7,25.7,31.7,21.1,7.48,0,1.84,1.8,2.07,1.07
30,74.4,8.7,0.0,3.8,206.0,22.8,27.1,31.5,29.0,13.52,0,1.6,2.44,2.48,1.83
31,75.6,7.1,0.0,3.1,288.8,22.8,26.3,29.9,30.2,16.18,0,1.89,2.53,2.47,1.84
32,70.2,7.9,0.0,2.7,104.1,18.0,21.9,25.9,21.0,11.77,3,1.75,2.13,2.21,1.59
33,46.2,13.4,0.28,2.5,1.6,8.9,15.6,22.3,11.9,1.78,1,-0.47,1.2,1.91,1.45
34,53.0,11.8,6.92,1.6,9.7,4.2,10.1,16.0,8.9,4.94,0,-1.57,1.37,1.9,1.45
35,43.1,11.7,23.56,1.2,7.9,-2.5,3.4,9.3,5.3,5.27,0,0.27,1.69,2.11,1.59
36,62.1,7.4,23.21,1.0,33.2,-2.2,1.5,5.2,4.9,7.89,0,1.89,0.48,2.4,1.75
37,78.8,6.8,25.04,1.0,40.4,-5.5,-2.1,1.3,3.5,9.31,0,1.84,-0.05,2.41,1.92
38,64.5,10.0,8.31,2.1,29.6,3.7,8.7,13.7,8.1,7.56,0,3.29,2.81,2.78,2.39
39,89.2,7.8,0.0,2.2,204.9,11.3,15.2,19.1,14.2,17.45,0,2.69,2.71,2.48,2.59
40,67.9,10.4,0.0,3.6,129.8,14.8,20.0,25.2,17.2,12.19,1,2.24,2.3,2.49,2.55
41,62.8,12.8,0.0,4.9,47.9,18.9,25.3,31.7,20.3,6.46,0,0.61,2.11,2.48,2.59
42,72.2,9.6,0.0,4.1,180.3,23.7,28.5,33.3,30.0,13.08,0,-0.23,1.64,1.7,2.6
43,62.1,8.8,0.0,3.7,139.6,22.5,26.9,31.3,29.5,11.24,0,0.53,1.79,1.67,2.62
44,80.4,7.0,0.0,2.4,102.9,18.1,21.6,25.1,21.5,11.65,0,1.79,1.42,2.31,2.77
45,84.0,6.8,0.0,1.6,135.2,12.4,15.8,19.2,15.2,14.07,1,1.81,0.8,2.36,2.71
46,48.8,10.9,7.36,1.6,8.6,4.0,9.4,14.9,8.4,4.53,0,1.71,1.14,2.36,2.73
47,50.9,10.3,22.49,1.2,6.5,-1.8,3.4,8.6,5.3,4.98,0,-0.81,1.46,2.22,2.81
48,46.9,9.8,23.45,1.2,12.4,-2.4,2.5,7.4,4.8,4.9,0,0.15,1.83,2.1,2.9
49,65.2,9.2,17.14,1.5,23.9,-0.4,4.2,8.8,5.7,7.34,1,-0.37,1.43,2.04,2.81
50,55.7,13.3,13.39,2.6,19.8,1.7,8.3,15.0,6.2,5.89,0,0.42,-0.06,1.3,2.65
51,77.0,10.8,1.38,2.6,64.9,7.5,12.9,18.3,10.8,10.42,3,-0.72,-0.56,0.46,2.03
52,52.8,14.7,0.0,4.7,23.2,14.1,21.4,28.8,15.6,5.49,3,-1.24,-1.22,0.31,1.95
53,61.9,14.8,0.0,5.2,33.6,18.2,25.6,33.0,18.9,5.11,0,0.36,0.43,1.28,2.24
54,70.9,7.4,0.0,3.9,316.0,23.8,27.5,31.2,29.5,16.48,0,0.95,0.44,1.27,1.88
55,58.8,9.1,0.0,3.7,151.0,20.9,25.4,30.0,26.8,11.78,3,0.91,0.05,0.57,1.51
56,46.6,13.0,0.0,3.5,22.9,14.8,21.3,27.8,18.1,5.81,0,-0.75,-0.24,-0.24,1.61
57,50.6,11.7,0.0,2.3,35.8,10.8,16.6,22.5,14.1,7.62,0,-0.97,0.32,-0.05,1.75
58,52.9,11.0,6.07,1.5,39.8,4.6,10.1,15.6,9.2,9.17,2,-0.19,0.74,-0.13,1.72
59,45.5,11.3,24.37,1.4,2.1,-3.2,2.5,8.2,4.0,2.31,1,-0.34,-0.79,-0.18,1.59
60,47.4,11.1,24.71,1.3,6.0,-3.5,2.1,7.7,4.5,3.12,1,-1.39,-1.49,-0.31,1.4
61,50.5,13.7,19.88,1.8,12.3,-1.6,5.3,12.2,5.7,5.45,0,0.52,0.05,0.06,1.53
62,64.7,11.4,9.28,2.2,61.4,3.3,9.0,14.7,8.0,10.39,0,0.47,0.24,-0.13,0.81
63,69.4,12.6,0.57,3.1,46.4,8.4,14.7,21.0,11.6,8.89,1,0.19,-0.36,0.1,0.34
64,65.5,12.7,0.0,4.3,42.8,14.2,20.5,26.9,14.7,7.26,3,-1.25,-0.86,0.11,0.25
65,64.0,13.3,0.0,5.1,37.4,19.4,26.0,32.7,20.4,5.64,1,-1.44,-1.01,-1.3,0.05
66,71.5,11.0,0.0,4.1,138.7,22.7,28.2,33.7,29.5,11.37,4,-1.96,-1.55,-1.95,-0.57
67,48.9,11.4,0.0,4.6,44.0,22.7,28.4,34.1,28.3,6.64,4,-2.18,-2.08,-2.01,-1.11
68,50.6,13.7,0.0,3.5,4.9,13.8,20.6,27.5,16.3,2.86,1,-2.3,-2.23,-1.97,-1.6
69,48.5,13.6,0.11,2.5,25.8,9.3,16.1,22.9,12.3,6.57,1,-1.96,-2.26,-2.02,-1.57
70,45.4,13.4,10.43,1.9,18.2,2.7,9.4,16.1,7.1,6.49,0,-0.92,-2.18,-1.98,-1.57
71,66.2,8.7,24.6,1.1,9.8,-3.4,1.0,5.4,4.1,5.84,1,-0.95,-2.39,-1.99,-1.58
72,45.1,12.0,26.96,1.4,9.2,-5.7,0.3,6.3,3.4,4.35,0,0.51,-1.68,-1.85,-1.53
73,56.9,9.4,20.96,1.5,38.6,-2.2,2.5,7.2,4.8,9.11,0,1.32,0.03,-1.93,-1.37
74,62.8,11.7,12.07,2.2,57.0,2.2,8.0,13.9,7.2,10.04,0,1.71,1.04,-1.89,-1.38
75,73.4,10.9,0.22,2.8,70.3,9.0,14.4,19.9,12.0,10.7,1,0.55,0.68,-1.98,-1.28
76,68.2,12.9,0.0,4.2,32.5,15.7,22.1,28.6,17.3,6.21,0,0.24,0.72,-1.6,-1.01
77,65.1,13.4,0.0,5.1,107.4,20.3,27.0,33.7,21.9,9.28,0,0.25,0.95,-1.1,-1.47
78,69.3,8.6,0.0,4.0,218.3,23.3,27.6,31.9,29.7,14.17,0,0.41,0.54,-0.32,-1.55
79,51.7,9.5,0.0,4.4,144.5,24.3,29.0,33.8,31.7,11.75,0,0.98,0.81,0.79,-0.96
80,63.8,10.3,0.0,2.9,149.0,15.7,20.8,26.0,18.8,13.92,1,0.55,0.46,0.77,-0.98
81,46.4,13.4,0.33,2.5,29.1,8.8,15.5,22.2,12.1,6.84,0,1.64,1.14,1.2,-0.81
82,71.0,7.6,8.51,1.2,74.1,3.5,7.3,11.1,7.6,12.41,1,0.68,1.09,1.14,-0.8
83,19.5,10.6,27.32,1.2,0.1,-6.1,-0.8,4.5,3.1,0.28,0,1.43,0.99,1.17,-0.78
84,58.6,9.3,25.25,1.2,9.9,-4.0,0.7,5.4,3.9,4.51,3,-1.55,1.12,0.89,-0.83
85,46.2,12.3,24.68,1.8,0.3,-5.1,1.1,7.3,3.2,0.43,2,-1.78,-0.58,0.57,-1.09
86,60.1,13.5,9.77,2.7,15.4,3.1,9.8,16.6,7.0,5.37,2,-1.75,-0.7,0.18,-1.21
87,62.2,13.9,0.5,3.6,28.2,8.5,15.4,22.4,10.9,7.12,0,-1.13,-1.64,0.32,-1.15
88,64.4,13.2,0.0,4.1,43.9,14.0,20.6,27.2,15.9,7.35,1,-1.15,-1.71,-0.01,-1.08
89,51.2,14.8,0.0,5.8,76.7,19.6,27.0,34.4,19.8,7.21,0,0.16,-0.7,0.14,-0.61
90,61.3,9.0,0.0,4.3,245.9,22.4,26.9,31.4,27.6,14.36,0,0.34,-0.3,0.24,-0.06
91,56.9,9.3,0.0,3.9,149.3,21.5,26.1,30.8,26.6,11.89,0,0.75,-0.05,-0.21,0.39
92,62.6,9.7,0.0,3.0,89.2,17.0,21.8,26.7,19.6,10.89,0,0.85,0.58,0.27,0.71
93,53.7,11.1,0.28,2.2,92.2,8.9,14.4,20.0,12.0,11.87,1,0.78,0.59,-0.27,0.71
