date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,46.7,12.2,29.31,1.5,2.3,-8.7,-2.6,3.5,1.3,3.35,3,-1.73,-0.82,-0.83,-1.17
1,48.4,13.4,23.92,2.0,2.2,-5.2,1.5,8.2,2.3,2.9,0,-0.72,-0.46,-1.0,-1.21
2,75.3,10.4,13.12,2.3,19.2,1.8,7.0,12.2,5.1,6.8,1,-0.66,-0.7,-0.95,-1.12
3,57.0,13.6,1.6,3.9,33.4,7.3,14.1,20.9,7.5,8.48,0,-0.31,-0.85,-0.91,-1.23
4,56.6,14.3,0.0,4.6,48.7,11.7,18.8,26.0,10.7,9.16,0,0.78,0.47,0.1,-1.17
5,73.3,10.0,0.0,4.2,107.4,17.9,22.9,27.9,17.1,12.78,1,0.49,0.1,-0.16,-0.79
6,67.7,9.3,0.0,3.9,105.3,20.7,25.3,30.0,24.6,12.8,0,0.21,0.04,-0.48,-1.03
7,57.2,9.4,0.0,3.6,93.0,18.3,23.0,27.7,22.2,11.95,0,-0.58,-0.01,-0.21,-0.82
8,56.5,10.0,0.0,2.8,85.6,12.9,17.9,22.9,14.8,12.9,0,1.29,1.19,0.86,0.04
9,75.7,6.6,0.39,1.6,132.5,8.7,12.0,15.3,10.3,16.36,0,1.97,1.53,1.04,0.17
10,58.7,7.7,10.68,1.3,41.3,2.6,6.4,10.3,6.5,10.01,0,2.44,1.05,1.08,0.13
11,38.2,10.5,27.5,1.2,1.3,-6.3,-1.0,4.3,2.6,2.18,0,1.11,1.48,1.11,0.13
12,28.0,11.8,29.66,1.3,1.8,-9.3,-3.4,2.5,1.7,2.88,0,-0.12,1.92,1.23,0.26
13,46.8,12.6,23.92,1.8,11.1,-5.2,1.1,7.4,2.9,6.09,3,-1.47,2.11,0.93,-0.09
14,44.8,14.4,21.52,2.9,0.7,-1.4,5.8,13.0,3.1,0.83,2,-1.59,-0.69,0.81,-0.12
15,56.5,13.7,6.28,3.7,15.2,4.5,11.3,18.2,5.9,5.66,3,-2.01,-1.99,0.54,-0.27
