date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,48.7,12.2,28.48,1.4,3.8,-7.5,-1.4,4.7,2.1,3.45,2,-1.63,-0.14,-0.5,-1.18
1,53.5,13.6,23.1,1.9,2.6,-4.3,2.5,9.3,3.2,2.95,0,-0.59,-0.53,-0.7,-1.25
2,77.0,10.5,10.78,2.2,22.5,2.7,7.9,13.2,6.2,7.1,0,-0.51,-0.67,-0.74,-1.11
3,59.2,13.6,0.72,3.7,40.2,8.2,15.0,21.8,8.8,8.97,0,-0.07,-0.6,-0.53,-1.25
4,57.7,14.4,0.0,4.4,57.5,12.3,19.5,26.7,12.2,10.15,0,0.69,0.4,0.24,-1.37
5,74.0,10.1,0.0,4.3,95.6,19.4,24.4,29.5,18.4,11.54,0,0.49,0.16,0.13,-0.77
6,66.3,9.4,0.0,4.1,113.9,22.0,26.7,31.4,25.8,12.59,1,-0.02,-0.06,-0.21,-0.97
7,55.9,9.5,0.0,3.9,82.6,20.2,24.9,29.7,23.8,11.13,0,-0.76,-0.22,-0.44,-0.74
8,57.1,10.2,0.0,2.9,83.2,14.2,19.3,24.4,16.1,12.52,0,0.85,0.88,0.57,0.12
9,79.6,6.4,0.0,1.6,125.4,10.2,13.4,16.6,11.4,15.91,0,1.71,1.14,0.8,0.24
10,61.1,8.1,8.04,1.3,47.2,3.7,7.7,11.8,7.5,10.54,0,2.33,0.78,0.84,0.2
11,41.2,10.8,25.99,1.1,1.9,-4.7,0.7,6.1,3.6,2.58,0,1.14,1.07,0.86,0.2
12,30.6,11.9,28.98,1.2,2.8,-8.2,-2.2,3.8,2.3,2.84,0,-0.31,1.63,0.94,0.3
13,47.7,13.0,22.71,1.8,10.4,-3.9,2.6,9.1,3.7,5.56,3,-1.73,1.88,0.61,-0.09
14,46.9,14.8,18.71,2.9,1.4,-0.3,7.1,14.5,4.0,1.22,1,-1.51,-0.66,0.52,-0.15
15,59.8,13.8,4.49,3.5,26.9,5.4,12.3,19.2,7.2,7.18,2,-1.84,-1.82,0.22,-0.24
16,60.6,15.0,0.0,4.5,22.0,11.6,19.1,26.6,10.8,6.56,0,-1.19,-1.61,-0.35,-0.08
