date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,37.3,12.9,28.4,1.3,0.7,-7.4,-0.9,5.6,2.8,0.48,3,-1.82,-0.86,-0.46,-0.37
1,35.1,14.3,22.42,1.9,1.5,-3.6,3.6,10.8,4.1,2.16,0,-1.24,-0.86,-0.44,-0.42
2,65.6,12.5,9.28,2.6,12.2,3.3,9.5,15.8,6.7,4.53,2,-1.13,-1.35,-0.45,-0.47
3,49.5,14.6,0.11,4.4,17.5,9.3,16.6,23.9,9.3,5.45,2,-1.16,-1.82,-0.68,-0.7
4,52.3,15.1,0.0,5.2,22.5,14.4,21.9,29.5,13.5,4.28,0,-0.57,-0.95,-0.2,-0.89
5,68.3,12.1,0.0,5.0,66.9,20.4,26.4,32.5,20.7,8.03,0,0.37,-0.16,-0.62,-0.32
6,63.7,9.8,0.0,4.4,201.9,23.7,28.6,33.5,29.8,13.89,0,1.15,0.53,0.06,-0.05
7,61.1,9.1,0.0,3.7,184.0,21.5,26.0,30.6,27.3,12.92,0,1.36,0.83,0.51,0.22
8,51.0,10.7,0.0,3.1,92.9,15.6,20.9,26.3,18.8,10.78,0,1.88,1.6,1.04,0.68
9,69.6,8.2,0.0,1.8,84.4,11.0,15.1,19.2,13.1,11.17,0,2.14,2.03,1.24,0.72
10,55.5,8.2,5.66,1.2,38.4,4.8,8.9,13.0,8.7,8.48,0,2.19,2.06,1.3,0.63
11,39.4,9.4,25.15,0.9,3.4,-3.9,0.8,5.5,4.3,2.76,1,1.02,1.96,1.33,0.58
12,28.3,12.0,28.7,1.1,0.6,-7.8,-1.8,4.2,3.1,0.58,0,0.06,2.17,1.48,0.75
13,44.7,10.9,21.5,1.6,15.1,-2.7,2.8,8.3,4.5,6.26,2,-1.08,1.84,1.33,0.63
14,39.7,14.8,16.86,3.0,0.5,0.4,7.8,15.2,4.8,0.49,0,-0.74,-0.01,1.44,0.72
15,53.0,14.1,1.97,3.9,16.7,7.0,14.0,21.1,8.0,5.36,3,-1.74,-1.63,1.31,0.48
16,45.4,15.6,0.0,5.6,12.2,14.0,21.8,29.6,11.5,3.14,1,-1.48,-1.69,1.0,0.54
17,46.8,13.2,0.0,5.7,42.7,19.0,25.6,32.2,18.0,6.63,0,-0.54,-0.78,1.04,0.31
18,68.5,10.1,0.0,4.1,196.6,22.6,27.6,32.7,28.0,13.97,0,0.49,-0.35,0.91,0.65
19,56.4,9.1,0.0,3.8,174.1,21.3,25.8,30.4,27.0,12.59,0,1.05,0.1,0.8,0.82
20,58.4,10.3,0.0,3.0,74.9,16.3,21.4,26.6,19.1,9.75,0,0.9,0.29,0.27,0.85
21,53.6,10.3,0.04,2.1,31.6,9.6,14.7,19.9,12.1,7.27,0,1.51,1.21,0.44,1.1
22,60.1,8.0,11.68,1.1,55.0,2.2,6.2,10.2,7.0,10.09,0,1.53,1.47,0.39,1.12
23,36.0,10.1,23.8,1.0,1.7,-2.7,2.4,7.5,4.9,1.77,4,1.27,1.15,0.31,1.08
24,13.1,13.8,29.49,1.4,0.0,-9.0,-2.1,4.8,2.1,0.0,2,-1.86,0.93,0.12,1.09
25,33.9,14.5,24.6,1.8,1.2,-6.0,1.3,8.6,3.2,1.46,0,-1.18,0.86,0.38,1.12
26,42.5,13.1,11.04,2.8,23.3,2.6,9.1,15.7,6.2,6.03,0,1.03,1.41,0.83,1.45
27,75.7,9.5,0.38,2.9,42.3,8.7,13.4,18.2,9.9,8.27,0,2.49,1.95,1.84,1.98
28,73.9,10.8,0.0,3.5,109.1,14.0,19.4,24.8,15.9,9.28,0,2.11,1.72,2.01,1.94
