date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,54.9,11.9,26.77,1.3,6.4,-5.5,0.5,6.5,2.7,5.97,2,-1.25,0.79,0.09,-0.81
1,64.3,12.9,21.6,1.7,4.7,-2.8,3.7,10.2,3.9,4.54,0,0.12,-0.14,-0.06,-0.82
2,81.9,9.7,9.28,1.9,44.2,3.3,8.1,13.0,6.9,11.72,0,-0.21,-0.32,-0.3,-0.74
3,63.9,12.9,0.5,3.2,54.0,8.5,14.9,21.4,10.2,11.19,0,0.29,-0.15,0.0,-0.88
4,61.0,13.6,0.0,3.9,92.7,12.1,18.9,25.7,13.7,13.4,0,-0.25,-0.14,-0.03,-1.34
5,75.1,10.6,0.0,3.9,74.8,18.5,23.8,29.1,20.0,10.35,0,-0.36,-0.42,-0.04,-0.63
6,68.2,10.1,0.0,3.9,118.7,21.5,26.5,31.6,26.6,13.73,2,-1.03,-0.74,-0.19,-0.74
7,58.2,9.4,0.0,3.7,69.2,20.3,25.0,29.7,24.6,11.33,1,-1.27,-1.19,-1.14,-0.75
8,61.3,10.2,0.0,2.8,70.6,14.2,19.3,24.4,16.9,12.95,0,-0.28,-0.43,-0.54,-0.21
9,82.9,6.7,0.0,1.6,114.4,10.4,13.7,17.1,12.1,16.56,0,0.89,-0.2,-0.29,-0.06
10,68.4,8.0,5.26,1.3,59.6,5.0,9.0,13.0,8.4,14.63,0,1.94,-0.17,-0.26,-0.1
11,53.1,10.6,23.68,1.1,6.2,-2.6,2.7,8.0,4.3,5.32,1,1.05,0.03,-0.28,-0.1
12,38.9,12.4,27.5,1.3,4.9,-6.3,-0.1,6.1,2.8,5.23,0,-0.41,0.73,-0.18,-0.08
13,54.1,13.9,21.91,1.8,19.5,-3.1,3.9,10.9,4.3,8.78,4,-2.03,0.91,-0.67,-0.58
14,52.2,15.3,17.39,2.7,4.7,0.2,7.8,15.5,4.9,3.87,0,-1.09,-0.34,-0.56,-0.64
15,67.1,12.3,2.81,3.0,65.9,6.4,12.5,18.7,8.6,12.2,3,-1.58,-1.59,-1.03,-0.76
16,68.6,13.0,0.0,3.8,35.3,12.2,18.7,25.2,12.5,8.75,1,-1.17,-1.67,-1.26,-0.94
17,67.8,11.9,0.0,4.3,62.8,17.5,23.4,29.4,17.4,10.18,1,-1.8,-1.86,-1.52,-1.08
18,72.5,10.7,0.0,3.8,93.9,20.6,25.9,31.3,25.6,12.41,0,-0.21,-1.13,-0.56,-0.49
19,69.3,8.9,0.0,3.3,165.1,19.4,23.8,28.3,23.7,16.87,0,-0.12,-0.78,-0.4,-1.11
20,63.0,10.2,0.0,2.6,82.5,13.8,18.9,24.0,17.2,13.99,0,0.48,-0.76,-0.84,-1.05
21,73.1,9.1,0.11,1.8,58.7,9.3,13.8,18.4,11.8,12.51,0,0.63,0.14,-0.66,-0.74
22,69.0,8.2,10.68,1.2,77.5,2.6,6.7,10.8,6.8,16.54,0,1.22,0.41,-0.67,-0.7
23,47.8,12.0,23.68,1.2,7.3,-2.6,3.4,9.4,4.5,5.91,4,1.29,0.78,-0.76,-0.78
24,21.5,14.8,28.63,1.5,0.0,-7.7,-0.3,7.1,1.8,0.01,3,-2.31,0.01,-0.89,-0.81
25,45.8,15.1,23.74,1.9,3.0,-5.0,2.6,10.2,3.2,3.07,0,-1.19,0.48,-0.47,-0.87
26,54.5,12.4,13.12,2.4,49.3,1.8,8.0,14.2,6.2,12.23,0,0.68,1.24,-0.23,-0.59
27,82.8,8.4,1.17,2.3,77.6,7.7,11.9,16.1,10.1,13.29,0,2.54,1.83,1.01,0.03
28,81.0,8.6,0.0,2.7,158.1,13.1,17.4,21.7,16.1,17.06,1,1.74,1.15,1.01,-0.11
29,66.9,12.5,0.0,4.2,56.8,17.0,23.2,29.5,18.2,9.54,0,0.79,0.94,1.21,-0.08
30,72.8,9.4,0.0,3.7,114.6,20.5,25.2,29.9,23.9,13.55,0,0.46,1.65,1.42,0.71
31,74.6,7.9,0.0,3.1,193.9,20.5,24.4,28.4,25.0,18.11,0,1.12,1.7,1.83,1.14
32,81.3,6.8,0.0,2.2,135.2,15.7,19.1,22.5,18.0,17.52,3,0.93,1.09,1.39,0.52
33,52.2,11.9,0.92,2.2,15.7,8.0,13.9,19.9,10.4,6.48,0,0.01,0.24,1.01,0.3
34,60.3,9.9,8.04,1.4,29.6,3.7,8.6,13.6,7.5,10.51,0,-1.16,0.59,1.06,0.34
35,49.5,11.8,24.49,1.2,12.9,-3.3,2.6,8.5,4.2,7.8,0,0.55,0.98,1.21,0.4
36,67.9,8.3,24.6,1.1,14.0,-3.4,0.8,5.0,3.7,8.56,0,1.23,0.3,1.4,0.48
37,83.9,6.5,25.13,1.2,14.9,-5.6,-2.3,1.0,2.6,7.72,0,1.22,-0.48,1.4,0.78
38,66.4,11.0,11.55,2.0,36.7,2.4,7.9,13.4,7.1,10.67,0,2.35,2.21,1.72,1.17
39,87.1,7.5,0.0,2.1,119.4,10.0,13.7,17.5,12.7,15.76,0,2.87,2.8,1.66,1.75
40,74.7,9.7,0.0,3.0,149.8,12.6,17.4,22.3,15.3,16.47,1,2.17,2.09,1.68,1.73
41,68.7,11.8,0.0,4.1,57.9,16.6,22.5,28.4,17.3,9.84,0,1.7,2.39,2.12,2.05
42,74.3,8.5,0.0,3.6,204.6,21.4,25.6,29.9,25.3,17.54,0,0.74,1.99,1.92,2.07
43,61.3,9.2,0.0,3.6,139.3,20.0,24.6,29.2,24.5,15.52,0,1.81,2.31,2.29,2.5
44,88.0,4.9,0.0,2.0,200.3,16.1,18.5,21.0,18.1,20.53,0,2.09,2.28,2.74,2.71
45,91.1,4.8,0.0,1.4,154.5,11.7,14.1,16.5,13.0,19.47,1,2.08,1.85,2.68,2.59
46,59.0,10.3,9.22,1.4,15.0,3.2,8.3,13.5,7.3,7.78,0,1.9,2.12,2.66,2.54
47,57.0,10.6,23.8,1.2,8.2,-2.7,2.6,7.9,4.1,6.49,0,-0.72,1.91,2.61,2.59
48,50.8,10.1,24.37,1.2,4.8,-3.2,1.9,7.0,3.9,4.77,0,-0.34,2.06,2.53,2.62
49,70.5,9.7,19.88,1.5,9.4,-1.6,3.3,8.2,4.4,6.19,0,-0.18,1.8,2.41,2.51
50,61.6,12.7,15.52,2.3,37.3,0.9,7.2,13.6,5.4,10.64,0,1.04,0.45,2.37,2.6
51,79.0,10.2,2.1,2.3,82.3,6.9,12.0,17.1,10.3,13.57,2,0.01,-0.12,1.8,2.19
52,59.6,13.7,0.0,3.9,42.2,12.2,19.0,25.9,14.1,9.39,3,-0.96,-0.88,1.66,2.07
53,67.5,13.2,0.0,4.3,36.2,16.4,23.0,29.6,16.4,7.86,0,-0.52,0.05,1.67,2.26
54,70.8,8.4,0.0,3.7,203.7,21.0,25.2,29.4,24.9,17.63,0,0.4,0.31,1.73,2.22
55,59.9,9.9,0.0,3.6,138.7,18.5,23.4,28.4,21.9,15.43,3,0.16,-0.4,0.34,1.85
56,58.9,11.4,0.0,2.9,40.6,13.4,19.1,24.8,15.4,10.04,0,-0.58,-0.75,-0.54,2.0
57,55.0,11.1,0.15,2.1,66.1,9.2,14.7,20.3,11.9,13.14,0,-0.97,-0.33,-0.39,2.02
58,54.9,11.0,9.22,1.5,35.6,3.2,8.7,14.2,7.4,11.62,0,-0.01,0.14,-0.41,1.96
59,52.9,11.8,25.68,1.3,8.2,-4.4,1.5,7.4,3.0,6.15,2,-0.36,-0.67,-0.46,1.9
60,48.9,12.2,25.68,1.3,2.4,-4.4,1.7,7.8,3.4,3.46,1,-1.06,-1.2,-0.48,1.82
61,50.4,13.4,20.74,1.8,15.4,-2.0,4.7,11.4,4.6,7.93,0,-0.9,-0.57,-0.52,1.74
62,67.8,11.9,11.81,2.2,26.2,2.3,8.2,14.2,6.7,9.01,0,-0.19,-0.38,-0.85,1.47
63,70.8,12.5,1.72,2.8,62.1,7.2,13.4,19.7,10.2,11.76,0,0.18,-0.19,-0.44,1.13
64,69.9,10.4,0.0,3.5,81.6,13.0,18.2,23.4,13.0,12.5,2,-0.5,-0.7,-0.31,1.08
