date,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24
0,52.6,11.9,26.09,1.4,5.7,-4.8,1.2,7.2,3.6,3.43,3,-1.81,0.27,-0.02,-0.93
1,59.2,13.7,20.53,2.0,3.6,-1.9,5.0,11.9,4.8,2.85,0,-0.85,-0.79,-0.35,-1.0
2,77.3,11.0,7.84,2.1,38.2,3.9,9.4,14.9,8.0,8.43,1,-0.9,-0.96,-0.49,-1.0
3,62.7,14.3,0.04,3.7,42.2,9.6,16.7,23.9,11.6,8.7,0,-0.41,-1.11,-0.38,-1.22
4,61.0,14.3,0.0,4.4,55.1,14.2,21.3,28.5,15.6,8.55,0,-0.24,-0.51,-0.49,-1.57
5,76.3,10.6,0.0,4.4,88.6,21.6,26.9,32.2,23.0,8.74,1,-0.56,-0.89,-1.03,-1.03
6,69.7,10.3,0.0,4.2,117.1,23.9,29.0,34.2,30.7,10.9,2,-0.89,-0.97,-0.76,-0.86
7,57.1,9.3,0.0,3.9,82.8,22.0,26.6,31.3,28.4,9.52,0,-1.16,-1.07,-1.26,-0.7
8,58.3,10.2,0.0,3.0,74.5,16.3,21.4,26.5,20.0,10.35,0,-0.58,-0.73,-1.02,-0.51
9,74.5,8.8,0.0,1.8,49.2,11.3,15.7,20.1,14.3,9.34,0,0.87,-0.28,-0.77,-0.39
10,67.2,7.9,3.12,1.3,65.9,6.2,10.1,14.1,10.0,10.71,0,1.26,-0.49,-0.72,-0.47
11,47.3,10.0,22.49,1.1,7.7,-1.8,3.2,8.2,5.4,4.74,1,1.0,-0.16,-0.7,-0.53
12,31.8,11.8,26.77,1.3,4.7,-5.5,0.4,6.3,3.7,2.96,1,-0.7,0.55,-0.57,-0.45
13,51.0,12.9,20.53,1.8,16.6,-1.9,4.6,11.1,5.3,6.06,4,-2.09,-0.13,-1.0,-0.96
14,47.9,15.2,14.99,2.9,1.9,1.1,8.7,16.3,6.0,1.66,0,-1.33,-0.5,-0.89,-0.95
15,61.8,13.7,1.84,3.3,50.5,7.1,13.9,20.8,10.0,9.33,3,-1.7,-1.78,-1.15,-1.03
16,64.6,14.9,0.0,4.5,23.9,13.6,21.0,28.5,14.2,5.63,0,-0.64,-1.44,-1.27,-1.16
17,64.4,12.4,0.0,4.9,93.4,19.6,25.8,32.0,20.2,9.13,1,-1.06,-1.44,-1.26,-1.46
18,71.8,10.4,0.0,4.1,119.8,23.0,28.2,33.4,29.6,11.28,0,0.37,-0.57,-0.26,-0.69
19,67.6,8.8,0.0,3.4,195.5,21.4,25.8,30.2,28.0,14.01,0,0.3,-0.12,-0.16,-1.01
20,59.9,10.5,0.0,2.9,82.1,16.2,21.4,26.7,20.4,11.21,0,1.0,0.03,-0.19,-0.88
21,63.5,10.7,0.0,2.0,47.3,10.0,15.3,20.7,13.5,9.43,0,1.4,0.98,0.06,-0.52
22,66.9,7.9,8.04,1.2,103.0,3.7,7.6,11.6,8.3,13.09,0,1.72,0.97,0.05,-0.5
23,42.1,11.2,21.52,1.2,8.0,-1.4,4.2,9.8,5.8,5.18,4,1.59,1.42,-0.05,-0.57
24,18.4,13.1,27.59,1.6,0.0,-6.4,0.2,6.8,2.6,0.02,3,-2.04,0.64,-0.19,-0.56
25,42.0,14.4,22.71,2.0,3.0,-3.9,3.3,10.5,4.0,2.26,0,-1.3,0.98,0.26,-0.56
26,50.8,12.4,10.27,2.5,49.6,2.9,9.1,15.3,7.4,9.5,0,0.62,1.4,0.61,-0.22
27,85.0,8.7,0.18,2.4,67.5,9.1,13.4,17.8,11.6,10.89,0,2.52,1.86,1.7,0.58
28,78.8,9.3,0.0,3.0,173.3,14.8,19.4,24.1,18.0,14.26,0,2.03,1.49,1.65,0.42
29,64.3,12.4,0.0,4.9,66.7,19.8,26.0,32.2,20.6,7.51,0,1.15,1.22,1.78,0.56
30,72.4,9.4,0.0,4.0,132.3,22.7,27.4,32.1,28.0,11.42,0,1.18,2.16,2.26,1.53
31,77.3,7.4,0.0,3.1,295.4,22.7,26.4,30.1,29.5,17.14,0,1.62,2.21,2.35,1.72
32,73.4,7.7,0.0,2.6,118.1,17.7,21.5,25.4,20.6,13.13,3,1.85,1.78,2.04,1.45
33,47.3,13.4,0.33,2.5,2.8,8.8,15.5,22.2,11.7,2.32,1,-0.24,0.87,1.59,1.23
34,55.1,11.9,7.59,1.6,15.0,3.9,9.8,15.8,8.9,5.42,0,-1.52,1.03,1.58,1.22
35,42.9,11.9,23.91,1.2,6.6,-2.8,3.2,9.2,5.3,4.6,0,0.08,1.74,1.8,1.34
36,62.6,7.7,23.68,1.0,29.6,-2.6,1.3,5.2,4.9,7.42,0,1.79,0.53,2.06,1.49
37,80.9,6.9,25.04,1.0,32.3,-5.5,-2.0,1.5,3.6,8.24,0,1.87,-0.18,2.02,1.67
38,65.4,10.1,8.31,2.0,28.9,3.7,8.7,13.8,8.2,7.44,0,3.59,2.9,2.5,2.19
39,90.0,7.5,0.0,2.1,191.7,11.3,15.0,18.8,14.2,17.34,0,2.91,2.95,2.26,2.45
40,68.7,10.0,0.0,3.5,116.4,14.9,19.9,24.9,17.0,12.05,1,2.38,2.39,2.35,2.43
41,62.6,13.1,0.0,4.9,55.0,19.0,25.5,32.1,19.8,7.12,0,1.24,2.57,2.76,2.56
42,74.0,9.1,0.0,3.9,223.4,23.4,27.9,32.5,29.3,14.91,0,0.66,2.11,2.18,2.65
43,63.1,8.6,0.0,3.6,162.1,22.3,26.6,30.9,28.8,12.8,0,1.38,2.25,2.16,2.78
44,82.2,6.3,0.0,2.3,124.4,17.9,21.0,24.2,21.0,13.22,0,2.09,1.97,2.67,2.94
45,86.9,6.1,0.0,1.5,138.7,12.8,15.8,18.9,15.1,15.53,1,2.03,1.55,2.75,2.85
46,52.0,10.4,6.92,1.5,10.1,4.2,9.4,14.6,8.5,4.55,0,1.8,1.81,2.73,2.86
47,53.4,10.0,22.25,1.1,6.1,-1.7,3.3,8.3,5.3,4.62,0,-0.72,1.81,2.61,2.94
48,48.0,9.3,23.33,1.2,10.3,-2.3,2.4,7.1,4.8,4.46,0,0.2,2.06,2.51,2.97
49,65.5,9.6,17.84,1.5,21.9,-0.7,4.1,8.9,5.5,6.86,1,-0.23,1.61,2.41,2.84
50,57.4,13.2,13.92,2.5,23.3,1.5,8.1,14.7,6.3,6.28,0,0.65,0.1,1.91,2.77
51,78.2,10.5,0.98,2.6,66.9,7.9,13.1,18.4,11.0,10.83,3,-0.49,-0.35,1.33,2.28
52,55.5,14.3,0.0,4.6,25.6,14.3,21.4,28.6,15.4,5.98,3,-1.25,-1.17,1.18,2.22
53,63.4,14.6,0.0,5.2,27.8,18.5,25.8,33.1,18.6,4.84,0,0.25,0.45,1.62,2.5
54,69.5,8.0,0.0,3.9,292.6,23.4,27.4,31.4,28.8,16.66,0,0.76,0.4,1.44,2.24
55,58.8,9.8,0.0,3.7,144.0,20.4,25.3,30.2,26.1,12.16,3,0.74,-0.04,0.58,1.9
56,48.6,13.0,0.0,3.4,27.1,14.8,21.3,27.8,17.9,6.61,0,-0.77,-0.33,-0.28,1.99
57,50.0,12.1,0.0,2.3,41.6,10.5,16.5,22.6,13.9,8.86,0,-0.87,0.18,-0.06,2.14
58,53.5,10.9,6.28,1.5,44.9,4.5,9.9,15.4,9.0,8.79,2,-0.05,0.62,-0.15,2.12
59,49.3,11.6,24.6,1.4,3.0,-3.4,2.4,8.2,4.0,2.7,1,-0.24,-0.8,-0.19,2.02
60,48.2,11.6,24.82,1.3,5.9,-3.6,2.2,8.0,4.4,3.41,2,-1.48,-1.36,-0.35,1.84
61,48.5,13.7,19.66,1.9,12.4,-1.5,5.4,12.3,5.6,5.34,0,-0.16,-0.23,-0.11,1.85
62,65.8,11.8,10.02,2.2,45.4,3.0,8.9,14.8,7.9,8.82,0,0.03,-0.11,-0.36,1.24
63,69.7,13.0,0.64,3.1,47.1,8.3,14.8,21.3,11.6,9.2,0,0.15,-0.46,-0.07,0.88
64,67.2,12.5,0.0,4.2,51.9,14.4,20.6,26.9,14.5,8.23,2,-0.97,-0.87,0.02,0.81
65,64.2,13.3,0.0,5.1,39.4,19.7,26.3,33.0,19.9,5.91,1,-1.31,-1.07,-1.37,0.34
66,71.5,10.7,0.0,4.1,122.8,22.8,28.1,33.5,28.8,11.2,3,-1.97,-1.58,-1.93,-0.41
67,51.8,11.5,0.0,4.4,50.6,22.2,27.9,33.7,27.6,7.58,4,-2.23,-2.17,-2.04,-1.16
68,53.3,13.8,0.0,3.4,8.0,13.6,20.5,27.4,16.1,3.61,0,-2.29,-2.37,-2.05,-1.7
69,50.5,12.9,0.08,2.5,39.6,9.4,15.8,22.3,12.0,8.63,1,-1.88,-2.37,-2.13,-1.68
70,45.8,13.4,11.18,1.9,17.6,2.4,9.1,15.8,6.9,5.89,0,-0.81,-2.19,-2.1,-1.68
71,68.0,9.1,24.82,1.1,7.8,-3.6,1.0,5.6,4.0,5.03,1,-1.09,-2.4,-2.13,-1.7
72,47.5,12.1,27.14,1.4,7.5,-5.9,0.2,6.3,3.3,3.67,0,0.73,-1.51,-1.92,-1.62
73,58.0,9.3,21.28,1.4,39.8,-2.5,2.2,6.9,4.7,9.09,0,1.51,0.19,-1.92,-1.46
74,62.6,11.6,12.07,2.2,58.6,2.2,8.0,13.8,7.2,10.22,0,1.86,0.94,-1.86,-1.5
75,73.3,10.7,0.18,2.8,66.7,9.1,14.4,19.8,12.0,10.82,0,0.79,0.95,-1.9,-1.35
76,69.0,13.1,0.0,4.2,47.8,15.7,22.2,28.8,17.1,7.79,0,0.35,0.9,-1.55,-1.05
77,65.4,13.5,0.0,5.0,93.0,20.2,26.9,33.7,21.3,8.81,0,0.5,1.21,-0.92,-1.46
78,68.5,8.4,0.0,4.0,210.4,23.3,27.5,31.7,28.9,14.49,1,0.2,0.49,-0.38,-1.65
79,55.8,9.1,0.0,4.2,112.2,24.2,28.7,33.3,30.6,10.78,0,0.88,0.83,0.85,-0.97
80,68.0,10.1,0.0,2.8,157.5,15.4,20.4,25.5,18.5,15.0,1,0.32,0.52,0.78,-1.02
81,48.7,13.2,0.33,2.4,29.1,8.8,15.4,22.0,12.0,7.47,0,1.83,1.14,1.36,-0.73
